epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_ms
1,0.70418331,0.51333333,0.72185314,0.54000000,391
2,0.69853168,0.53666667,0.71913752,0.53000000,390
3,0.69178787,0.55000000,0.71519070,0.59000000,395
4,0.69177560,0.54000000,0.71847830,0.55000000,396
5,0.68756053,0.54333333,0.71647441,0.47000000,395
6,0.68188372,0.58000000,0.71309526,0.59000000,390
7,0.67916613,0.59333333,0.71293669,0.58000000,389
8,0.68064306,0.56000000,0.71658896,0.53000000,390
9,0.67434709,0.58666667,0.71184421,0.56000000,400
10,0.67243279,0.59000000,0.71182523,0.56000000,389
11,0.67154072,0.58333333,0.71286356,0.53000000,389
12,0.66747405,0.61000000,0.71035970,0.54000000,390
13,0.66558971,0.60333333,0.71015068,0.57000000,403
14,0.66343134,0.62666667,0.70975291,0.57000000,395
15,0.66229759,0.61333333,0.71016549,0.55000000,388
16,0.65969500,0.63000000,0.70874899,0.57000000,391
17,0.66162041,0.59666667,0.71220205,0.50000000,391
18,0.65581776,0.62666667,0.70828232,0.56000000,392
19,0.65496974,0.63666667,0.70987267,0.56000000,388
20,0.65196593,0.64000000,0.70882348,0.54000000,389
21,0.65008453,0.65000000,0.70845620,0.54000000,389
22,0.65211771,0.63000000,0.71222282,0.52000000,393
23,0.64886377,0.64333333,0.71030321,0.53000000,393
24,0.64469643,0.64333333,0.70689747,0.54000000,392
25,0.64395630,0.65000000,0.70768254,0.53000000,389
26,0.64140644,0.67000000,0.70640708,0.55000000,388
27,0.64256634,0.65666667,0.70939852,0.54000000,389
28,0.64741849,0.61333333,0.71366658,0.50000000,391
29,0.63725166,0.66666667,0.70687209,0.53000000,391
30,0.63544850,0.68666667,0.70585719,0.54000000,388
31,0.63335676,0.68666667,0.70559226,0.55000000,393
32,0.63355439,0.68333333,0.70621793,0.59000000,392
33,0.63034198,0.71666667,0.70456069,0.56000000,397
34,0.63339219,0.65333333,0.70846612,0.55000000,388
35,0.62783745,0.71000000,0.70497071,0.54000000,388
36,0.63139161,0.64666667,0.71027911,0.53000000,390
37,0.62404934,0.71333333,0.70407949,0.56000000,387
38,0.62270575,0.71000000,0.70381231,0.56000000,390
39,0.62128625,0.72000000,0.70381422,0.55000000,388
40,0.62040564,0.70666667,0.70408288,0.58000000,390
41,0.61849263,0.73666667,0.70307813,0.55000000,393
42,0.61677716,0.73333333,0.70357144,0.56000000,395
43,0.61531754,0.72666667,0.70339238,0.56000000,396
44,0.61390579,0.73000000,0.70337506,0.56000000,389
45,0.62249752,0.66333333,0.71285287,0.52000000,388
46,0.61180987,0.74000000,0.70265336,0.56000000,387
47,0.61042360,0.74000000,0.70276097,0.56000000,389
48,0.61093645,0.70666667,0.70543867,0.52000000,388
49,0.60710707,0.75000000,0.70286142,0.55000000,389
50,0.60594701,0.74333333,0.70246739,0.56000000,388
51,0.60434344,0.77333333,0.70202651,0.59000000,398
52,0.60975218,0.69666667,0.70804091,0.52000000,394
53,0.60540996,0.72333333,0.70425316,0.53000000,391
54,0.60344272,0.73000000,0.70360282,0.54000000,388
55,0.59792191,0.76666667,0.70062275,0.57000000,388
56,0.59726340,0.75000000,0.70155305,0.55000000,392
57,0.59620970,0.75000000,0.70208522,0.55000000,390
58,0.59494669,0.74666667,0.70176078,0.56000000,388
59,0.59849155,0.71666667,0.70672521,0.53000000,390
60,0.59474372,0.73333333,0.70531030,0.53000000,390
61,0.59354012,0.74000000,0.70465694,0.52000000,396
62,0.58814903,0.77333333,0.70128918,0.56000000,397
63,0.58713455,0.76000000,0.70202227,0.55000000,395
