epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.68498185,0.53333333,0.59259259,0.21333333,0.31372549,0.68613167,0.55000000,0.66666667,0.20000000,0.30769231,493
2,0.67202900,0.59666667,0.56502242,0.84000000,0.67560322,0.68615566,0.56000000,0.53846154,0.84000000,0.65625000,488
3,0.67344612,0.55666667,0.53068592,0.98000000,0.68852459,0.69710726,0.54000000,0.52173913,0.96000000,0.67605634,496
4,0.65239841,0.67333333,0.64606742,0.76666667,0.70121951,0.68561065,0.57000000,0.55555556,0.70000000,0.61946903,491
5,0.65226776,0.62000000,0.57317073,0.94000000,0.71212121,0.69221177,0.52000000,0.51190476,0.86000000,0.64179104,486
6,0.65261011,0.60333333,0.87804878,0.24000000,0.37696335,0.69443115,0.57000000,0.76923077,0.20000000,0.31746032,486
7,0.64378397,0.62333333,0.57312253,0.96666667,0.71960298,0.70184698,0.53000000,0.51724138,0.90000000,0.65693431,495
8,0.63567376,0.64666667,0.84375000,0.36000000,0.50467290,0.69426741,0.56000000,0.65000000,0.26000000,0.37142857,487
9,0.62625176,0.68333333,0.83950617,0.45333333,0.58874459,0.68914239,0.56000000,0.62500000,0.30000000,0.40540541,490
10,0.62075352,0.68000000,0.61739130,0.94666667,0.74736842,0.69492880,0.56000000,0.53947368,0.82000000,0.65079365,487
11,0.60800841,0.76333333,0.82113821,0.67333333,0.73992674,0.68514054,0.53000000,0.53658537,0.44000000,0.48351648,488
12,0.64161309,0.57000000,1.00000000,0.14000000,0.24561404,0.71259289,0.53000000,0.66666667,0.12000000,0.20338983,488
13,0.59578459,0.74000000,0.68750000,0.88000000,0.77192982,0.69154082,0.55000000,0.53731343,0.72000000,0.61538462,486
14,0.58843763,0.76333333,0.71823204,0.86666667,0.78549849,0.69064682,0.55000000,0.53731343,0.72000000,0.61538462,492
15,0.60539073,0.64000000,0.58400000,0.97333333,0.73000000,0.70754248,0.57000000,0.54430380,0.86000000,0.66666667,499
16,0.58018898,0.76000000,0.69897959,0.91333333,0.79190751,0.70348492,0.55000000,0.53731343,0.72000000,0.61538462,483
17,0.57129263,0.77000000,0.71204188,0.90666667,0.79765396,0.69490964,0.55000000,0.53623188,0.74000000,0.62184874,491
18,0.57432127,0.71000000,0.64253394,0.94666667,0.76549865,0.70724529,0.55000000,0.53521127,0.76000000,0.62809917,494
19,0.60034820,0.62000000,0.56976744,0.98000000,0.72058824,0.73967923,0.55000000,0.53012048,0.88000000,0.66165414,483
20,0.57798948,0.66000000,0.59836066,0.97333333,0.74111675,0.72312047,0.57000000,0.54545455,0.84000000,0.66141732,488
21,0.53773813,0.82666667,0.82236842,0.83333333,0.82781457,0.69409898,0.60000000,0.58928571,0.66000000,0.62264151,485
22,0.53600985,0.80333333,0.74074074,0.93333333,0.82595870,0.70533562,0.55000000,0.53623188,0.74000000,0.62184874,493
23,0.54878004,0.71666667,0.64317181,0.97333333,0.77453581,0.72749559,0.58000000,0.55405405,0.82000000,0.66129032,493
24,0.53226582,0.77000000,0.69565217,0.96000000,0.80672269,0.71658112,0.56000000,0.54166667,0.78000000,0.63934426,485
25,0.59946452,0.60000000,0.55597015,0.99333333,0.71291866,0.77636802,0.52000000,0.51111111,0.92000000,0.65714286,493
26,0.49897388,0.88000000,0.85625000,0.91333333,0.88387097,0.69761868,0.57000000,0.56363636,0.62000000,0.59047619,482
27,0.52112403,0.75666667,1.00000000,0.51333333,0.67841410,0.72671317,0.52000000,0.55000000,0.22000000,0.31428571,488
28,0.48782635,0.88666667,0.96774194,0.80000000,0.87591241,0.69960704,0.53000000,0.54054054,0.40000000,0.45977011,484
29,0.49853204,0.78000000,0.70388350,0.96666667,0.81460674,0.73635154,0.57000000,0.54929577,0.78000000,0.64462810,485
30,0.46597542,0.89666667,0.88387097,0.91333333,0.89836066,0.69972761,0.58000000,0.58000000,0.58000000,0.58000000,487
31,0.47902702,0.82333333,0.74871795,0.97333333,0.84637681,0.72820770,0.58000000,0.55714286,0.78000000,0.65000000,489
32,0.49310526,0.76666667,0.68518519,0.98666667,0.80874317,0.75068503,0.56000000,0.53947368,0.82000000,0.65079365,494
