epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.68445469,0.54333333,0.56701031,0.36666667,0.44534413,0.69219549,0.55000000,0.56410256,0.44000000,0.49438202,940
2,0.66994986,0.58000000,0.55084746,0.86666667,0.67357513,0.69729945,0.58000000,0.55263158,0.84000000,0.66666667,908
3,0.68022998,0.54000000,0.52127660,0.98000000,0.68055556,0.72105325,0.50000000,0.50000000,0.92000000,0.64788732,911
4,0.64720468,0.63333333,0.60752688,0.75333333,0.67261905,0.69889142,0.53000000,0.52727273,0.58000000,0.55238095,919
5,0.64912576,0.62666667,0.57600000,0.96000000,0.72000000,0.71367340,0.54000000,0.52439024,0.86000000,0.65151515,932
6,0.64147839,0.63333333,0.84482759,0.32666667,0.47115385,0.70405486,0.49000000,0.47826087,0.22000000,0.30136986,937
7,0.64179632,0.61000000,0.56273764,0.98666667,0.71670702,0.72533312,0.52000000,0.51190476,0.86000000,0.64179104,915
8,0.63130982,0.63666667,0.87272727,0.32000000,0.46829268,0.71423044,0.48000000,0.45833333,0.22000000,0.29729730,915
9,0.61262953,0.70666667,0.83695652,0.51333333,0.63636364,0.70421721,0.49000000,0.48571429,0.34000000,0.40000000,915
10,0.60590626,0.68666667,0.62173913,0.95333333,0.75263158,0.71131854,0.50000000,0.50000000,0.72000000,0.59016393,912
11,0.59266777,0.74666667,0.81896552,0.63333333,0.71428571,0.70578945,0.50000000,0.50000000,0.42000000,0.45652174,926
12,0.63397585,0.60000000,1.00000000,0.20000000,0.33333333,0.73480855,0.52000000,0.58333333,0.14000000,0.22580645,921
13,0.58236131,0.73000000,0.66197183,0.94000000,0.77685950,0.71586132,0.50000000,0.50000000,0.72000000,0.59016393,912
14,0.56810405,0.80333333,0.75418994,0.90000000,0.82066869,0.71043590,0.52000000,0.51612903,0.64000000,0.57142857,924
15,0.58612497,0.65333333,0.59200000,0.98666667,0.74000000,0.73196448,0.49000000,0.49382716,0.80000000,0.61068702,909
16,0.55906972,0.77666667,0.71065990,0.93333333,0.80691643,0.72785425,0.53000000,0.52173913,0.72000000,0.60504202,915
17,0.54693212,0.83000000,0.77653631,0.92666667,0.84498480,0.71797842,0.53000000,0.52307692,0.68000000,0.59130435,920
18,0.54357047,0.79666667,0.72361809,0.96000000,0.82521490,0.72352209,0.53000000,0.52238806,0.70000000,0.59829060,913
19,0.58203468,0.63666667,0.57976654,0.99333333,0.73218673,0.76701488,0.49000000,0.49425287,0.86000000,0.62773723,914
20,0.57244641,0.65000000,0.58964143,0.98666667,0.73815461,0.75746403,0.50000000,0.50000000,0.86000000,0.63235294,911
21,0.51766241,0.86000000,0.86486486,0.85333333,0.85906040,0.71822781,0.51000000,0.50980392,0.52000000,0.51485149,923
22,0.51585718,0.80666667,0.73469388,0.96000000,0.83236994,0.72838526,0.52000000,0.51470588,0.70000000,0.59322034,926
23,0.53748911,0.70000000,0.62711864,0.98666667,0.76683938,0.75639609,0.47000000,0.48101266,0.76000000,0.58914729,922
24,0.49675768,0.84333333,0.77837838,0.96000000,0.85970149,0.73232895,0.54000000,0.53125000,0.68000000,0.59649123,916
25,0.57713151,0.63333333,0.57692308,1.00000000,0.73170732,0.80308594,0.51000000,0.50549451,0.92000000,0.65248227,916
26,0.47946156,0.91333333,0.90259740,0.92666667,0.91447368,0.72404931,0.49000000,0.49019608,0.50000000,0.49504950,913
27,0.49546239,0.81333333,0.98958333,0.63333333,0.77235772,0.74521395,0.54000000,0.57692308,0.30000000,0.39473684,917
28,0.47101495,0.87000000,0.96638655,0.76666667,0.85501859,0.73013986,0.51000000,0.51428571,0.36000000,0.42352941,917
29,0.46875592,0.84000000,0.77127660,0.96666667,0.85798817,0.75236637,0.52000000,0.51470588,0.70000000,0.59322034,917
30,0.44814781,0.92000000,0.93750000,0.90000000,0.91836735,0.72778073,0.49000000,0.48888889,0.44000000,0.46315789,920
31,0.49031861,0.73666667,0.65777778,0.98666667,0.78933333,0.77157731,0.49000000,0.49382716,0.80000000,0.61068702,936
32,0.44890236,0.84666667,0.77659574,0.97333333,0.86390533,0.74922845,0.52000000,0.51470588,0.70000000,0.59322034,921
33,0.44690412,0.86333333,0.99099099,0.73333333,0.84291188,0.76187078,0.51000000,0.51724138,0.30000000,0.37974684,920
34,0.46158792,0.80666667,1.00000000,0.61333333,0.76033058,0.77648700,0.54000000,0.59090909,0.26000000,0.36111111,918
35,0.47282561,0.76666667,1.00000000,0.53333333,0.69565217,0.80191320,0.55000000,0.64705882,0.22000000,0.32835821,918
36,0.40509432,0.93666667,0.92258065,0.95333333,0.93770492,0.74668941,0.50000000,0.50000000,0.52000000,0.50980392,921
37,0.41701298,0.85333333,0.78191489,0.98000000,0.86982249,0.76816209,0.51000000,0.50746269,0.68000000,0.58119658,921
38,0.39657294,0.94333333,0.97841727,0.90666667,0.94117647,0.75705456,0.51000000,0.51282051,0.40000000,0.44943820,925
39,0.37909221,0.93333333,0.93918919,0.92666667,0.93288591,0.75869066,0.51000000,0.51063830,0.48000000,0.49484536,923
40,0.39155779,0.91000000,0.99200000,0.82666667,0.90181818,0.78592296,0.50000000,0.50000000,0.30000000,0.37500000,916
41,0.47521524,0.72333333,1.00000000,0.44666667,0.61751152,0.86334637,0.55000000,0.77777778,0.14000000,0.23728814,914
42,0.40025319,0.84000000,0.75757576,1.00000000,0.86206897,0.80420075,0.50000000,0.50000000,0.72000000,0.59016393,923
43,0.52078341,0.66000000,1.00000000,0.32000000,0.48484848,0.93137602,0.51000000,0.60000000,0.06000000,0.10909091,917
44,0.36978100,0.88333333,0.81420765,0.99333333,0.89489489,0.79492513,0.49000000,0.49253731,0.66000000,0.56410256,915
45,0.38984024,0.82666667,0.74257426,1.00000000,0.85227273,0.81202416,0.53000000,0.52000000,0.78000000,0.62400000,922
46,0.32521816,0.95666667,0.97902098,0.93333333,0.95563140,0.78640520,0.52000000,0.52173913,0.48000000,0.50000000,917
47,0.31736532,0.94666667,0.93506494,0.96000000,0.94736842,0.77890982,0.52000000,0.51851852,0.56000000,0.53846154,921
48,0.32113507,0.96000000,0.99285714,0.92666667,0.95862069,0.78642745,0.50000000,0.50000000,0.34000000,0.40476190,911
49,0.39977037,0.79333333,0.70754717,1.00000000,0.82872928,0.85501903,0.56000000,0.53571429,0.90000000,0.67164179,917
50,0.30067621,0.97000000,0.96078431,0.98000000,0.97029703,0.80006957,0.49000000,0.48979592,0.48000000,0.48484848,924
51,0.30499465,0.94333333,0.90303030,0.99333333,0.94603175,0.80909772,0.52000000,0.51562500,0.66000000,0.57894737,913
52,0.47529607,0.70333333,0.62761506,1.00000000,0.77120823,0.97784237,0.50000000,0.50000000,0.90000000,0.64285714,910
53,0.28838437,0.96333333,0.93710692,0.99333333,0.96440129,0.78260788,0.54000000,0.53448276,0.62000000,0.57407407,915
54,0.29005798,0.95000000,1.00000000,0.90000000,0.94736842,0.84284835,0.51000000,0.51851852,0.28000000,0.36363636,915
55,0.33120953,0.88666667,1.00000000,0.77333333,0.87218045,0.88311333,0.52000000,0.55000000,0.22000000,0.31428571,916
56,0.29404944,0.93333333,1.00000000,0.86666667,0.92857143,0.86651969,0.51000000,0.52000000,0.26000000,0.34666667,914
57,0.31441097,0.89333333,1.00000000,0.78666667,0.88059701,0.88771424,0.57000000,0.68421053,0.26000000,0.37681159,913
58,0.29391499,0.93666667,0.99248120,0.88000000,0.93286219,0.89360365,0.48000000,0.46153846,0.24000000,0.31578947,909
59,0.30831782,0.91333333,1.00000000,0.82666667,0.90510949,0.93311688,0.53000000,0.57894737,0.22000000,0.31884058,920
60,0.23658296,0.97666667,0.96129032,0.99333333,0.97704918,0.83707152,0.54000000,0.53846154,0.56000000,0.54901961,919
61,0.24962922,0.96333333,1.00000000,0.92666667,0.96193772,0.87149988,0.49000000,0.48148148,0.26000000,0.33766234,908
62,0.29129695,0.90333333,0.83798883,1.00000000,0.91185410,0.90242303,0.50000000,0.50000000,0.72000000,0.59016393,924
63,0.21273721,0.99333333,0.99333333,0.99333333,0.99333333,0.84358008,0.50000000,0.50000000,0.44000000,0.46808511,923
64,0.47051943,0.72000000,0.64102564,1.00000000,0.78125000,1.11183298,0.50000000,0.50000000,0.92000000,0.64788732,912
65,0.20441112,0.99000000,0.98675497,0.99333333,0.99003322,0.84269633,0.52000000,0.52083333,0.50000000,0.51020408,920
66,0.20763032,0.98000000,0.96753247,0.99333333,0.98026316,0.86903630,0.54000000,0.53703704,0.58000000,0.55769231,928
67,0.22670790,0.96333333,1.00000000,0.92666667,0.96193772,0.89529004,0.50000000,0.50000000,0.26000000,0.34210526,917
68,0.23600037,0.95333333,0.91463415,1.00000000,0.95541401,0.91189321,0.54000000,0.53125000,0.68000000,0.59649123,910
69,0.18633709,0.98666667,0.98026316,0.99333333,0.98675497,0.87489900,0.53000000,0.52830189,0.56000000,0.54368932,914
70,0.28206109,0.88666667,0.81521739,1.00000000,0.89820359,0.97860539,0.56000000,0.53846154,0.84000000,0.65625000,928
71,0.17326964,0.99666667,1.00000000,0.99333333,0.99665552,0.86786624,0.50000000,0.50000000,0.42000000,0.45652174,916
72,0.16855586,0.99666667,0.99337748,1.00000000,0.99667774,0.88010261,0.49000000,0.48936170,0.46000000,0.47422680,915
73,0.17308444,0.98666667,0.97402597,1.00000000,0.98684211,0.90255010,0.51000000,0.50909091,0.56000000,0.53333333,907
74,0.25644656,0.90333333,1.00000000,0.80666667,0.89298893,1.05670963,0.52000000,0.57142857,0.16000000,0.25000000,921
75,0.16708189,0.98333333,0.96774194,1.00000000,0.98360656,0.92745495,0.51000000,0.50909091,0.56000000,0.53333333,909
76,0.58099655,0.64666667,1.00000000,0.29333333,0.45360825,1.44468700,0.53000000,1.00000000,0.06000000,0.11320755,931
77,0.19080222,0.97000000,1.00000000,0.94000000,0.96907216,0.97934634,0.50000000,0.50000000,0.22000000,0.30555556,909
78,0.14326545,0.99000000,0.98039216,1.00000000,0.99009901,0.91985761,0.52000000,0.52083333,0.50000000,0.51020408,921
79,0.13448315,0.99666667,0.99337748,1.00000000,0.99667774,0.92916797,0.53000000,0.53191489,0.50000000,0.51546392,929
80,0.15801419,0.97333333,0.94936709,1.00000000,0.97402597,0.95255064,0.54000000,0.53333333,0.64000000,0.58181818,912
81,0.13736867,0.99666667,0.99337748,1.00000000,0.99667774,0.94436731,0.51000000,0.50943396,0.54000000,0.52427184,922
82,0.51596715,0.71000000,0.63291139,1.00000000,0.77519380,1.35776654,0.51000000,0.50537634,0.94000000,0.65734266,910
83,0.14160191,0.99000000,0.98039216,1.00000000,0.99009901,0.95688253,0.50000000,0.50000000,0.58000000,0.53703704,921
84,0.12232071,1.00000000,1.00000000,1.00000000,1.00000000,0.94721900,0.50000000,0.50000000,0.48000000,0.48979592,920
85,0.15567869,0.98333333,1.00000000,0.96666667,0.98305085,1.05547331,0.49000000,0.47826087,0.22000000,0.30136986,923
86,0.12794770,0.99333333,0.98684211,1.00000000,0.99337748,0.97814610,0.52000000,0.51923077,0.54000000,0.52941176,919
87,0.34404401,0.80333333,1.00000000,0.60666667,0.75518672,1.34078720,0.53000000,0.71428571,0.10000000,0.17543860,917
88,0.12244866,0.99000000,0.98039216,1.00000000,0.99009901,0.98450411,0.53000000,0.52727273,0.58000000,0.55238095,921
89,0.12138582,0.98666667,0.97402597,1.00000000,0.98684211,1.01091225,0.53000000,0.52631579,0.60000000,0.56074766,928
90,0.11790946,0.98666667,1.00000000,0.97333333,0.98648649,1.00508728,0.50000000,0.50000000,0.30000000,0.37500000,915
