epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.69494401,0.52000000,0.58823529,0.13333333,0.21739130,0.69355498,0.55000000,0.72727273,0.16000000,0.26229508,843
2,0.67278457,0.56333333,0.54726368,0.73333333,0.62678063,0.68925619,0.53000000,0.52238806,0.70000000,0.59829060,828
3,0.68670750,0.54666667,0.52464789,0.99333333,0.68663594,0.71245599,0.51000000,0.50515464,0.98000000,0.66666667,841
4,0.65064663,0.65333333,0.62234043,0.78000000,0.69230769,0.69107517,0.51000000,0.50819672,0.62000000,0.55855856,833
5,0.64735399,0.62666667,0.57983193,0.92000000,0.71134021,0.69974078,0.54000000,0.52500000,0.84000000,0.64615385,836
6,0.64781116,0.60666667,0.92105263,0.23333333,0.37234043,0.70332161,0.53000000,0.66666667,0.12000000,0.20338983,822
7,0.63788828,0.63333333,0.58064516,0.96000000,0.72361809,0.71425993,0.53000000,0.51807229,0.86000000,0.64661654,829
8,0.63176651,0.63000000,0.89795918,0.29333333,0.44221106,0.70706761,0.50000000,0.50000000,0.12000000,0.19354839,828
9,0.61346678,0.76000000,0.84210526,0.64000000,0.72727273,0.69843550,0.50000000,0.50000000,0.36000000,0.41860465,833
10,0.61600205,0.68000000,0.61538462,0.96000000,0.75000000,0.71384087,0.52000000,0.51282051,0.80000000,0.62500000,831
11,0.60032588,0.74000000,0.82727273,0.60666667,0.70000000,0.70053545,0.53000000,0.54545455,0.36000000,0.43373494,823
12,0.64580696,0.55333333,1.00000000,0.10666667,0.19277108,0.74227077,0.52000000,0.75000000,0.06000000,0.11111111,837
13,0.58914488,0.75333333,0.68446602,0.94000000,0.79213483,0.70987984,0.52000000,0.51470588,0.70000000,0.59322034,828
14,0.58109347,0.76333333,0.70256410,0.91333333,0.79420290,0.71000246,0.52000000,0.51562500,0.66000000,0.57894737,832
15,0.59346739,0.67666667,0.61181435,0.96666667,0.74935401,0.72553038,0.48000000,0.48780488,0.80000000,0.60606061,828
16,0.56863240,0.78000000,0.72105263,0.91333333,0.80588235,0.71426091,0.53000000,0.52380952,0.66000000,0.58407080,817
17,0.56401635,0.80000000,0.73684211,0.93333333,0.82352941,0.71292914,0.55000000,0.53968254,0.68000000,0.60176991,836
18,0.56490888,0.76333333,0.68720379,0.96666667,0.80332410,0.71932958,0.53000000,0.52112676,0.74000000,0.61157025,822
19,0.58775905,0.65666667,0.59514170,0.98000000,0.74055416,0.74943082,0.49000000,0.49425287,0.86000000,0.62773723,820
20,0.56422622,0.73000000,0.65470852,0.97333333,0.78284182,0.73211126,0.51000000,0.50632911,0.80000000,0.62015504,850
21,0.53974153,0.80000000,0.79220779,0.81333333,0.80263158,0.70893409,0.54000000,0.54000000,0.54000000,0.54000000,827
