epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.68514850,0.52000000,0.61538462,0.10666667,0.18181818,0.71297439,0.51000000,0.57142857,0.08000000,0.14035088,1963
2,0.65802160,0.66666667,0.61792453,0.87333333,0.72375691,0.70683686,0.52000000,0.51282051,0.80000000,0.62500000,1954
3,0.67274364,0.55333333,0.52836879,0.99333333,0.68981481,0.74203048,0.50000000,0.50000000,0.96000000,0.65753425,1947
4,0.63030802,0.74000000,0.73684211,0.74666667,0.74172185,0.71693484,0.47000000,0.47540984,0.58000000,0.52252252,1950
5,0.63028326,0.68666667,0.61965812,0.96666667,0.75520833,0.73280234,0.52000000,0.51250000,0.82000000,0.63076923,1941
6,0.63756738,0.57000000,0.92000000,0.15333333,0.26285714,0.73824642,0.54000000,0.66666667,0.16000000,0.25806452,1969
7,0.61350101,0.69666667,0.62660944,0.97333333,0.76240209,0.73449120,0.52000000,0.51250000,0.82000000,0.63076923,1947
8,0.60474433,0.67000000,0.88059701,0.39333333,0.54377880,0.73123995,0.52000000,0.53846154,0.28000000,0.36842105,1943
9,0.58575691,0.80333333,0.82269504,0.77333333,0.79725086,0.72131887,0.44000000,0.44444444,0.48000000,0.46153846,1957
10,0.58902233,0.71666667,0.64069264,0.98666667,0.77690289,0.73761104,0.52000000,0.51250000,0.82000000,0.63076923,1953
11,0.57218307,0.76333333,0.87619048,0.61333333,0.72156863,0.73137322,0.50000000,0.50000000,0.36000000,0.41860465,1964
12,0.64168177,0.54333333,1.00000000,0.08666667,0.15950920,0.78915407,0.53000000,0.80000000,0.08000000,0.14545455,1934
13,0.55755653,0.79000000,0.71641791,0.96000000,0.82051282,0.74034784,0.51000000,0.50684932,0.74000000,0.60162602,1955
14,0.54748173,0.83666667,0.77297297,0.95333333,0.85373134,0.73698101,0.49000000,0.49275362,0.68000000,0.57142857,1942
15,0.56312574,0.70333333,0.62978723,0.98666667,0.76883117,0.76158369,0.50000000,0.50000000,0.82000000,0.62121212,1947
16,0.53139349,0.85000000,0.78074866,0.97333333,0.86646884,0.74940909,0.49000000,0.49295775,0.70000000,0.57851240,1939
17,0.51947149,0.87333333,0.82183908,0.95333333,0.88271605,0.74339245,0.47000000,0.47761194,0.64000000,0.54700855,1948
18,0.51959543,0.83666667,0.75897436,0.98666667,0.85797101,0.75301970,0.50000000,0.50000000,0.76000000,0.60317460,1944
19,0.55013332,0.69333333,0.62083333,0.99333333,0.76410256,0.79285612,0.50000000,0.50000000,0.84000000,0.62686567,1956
20,0.53692020,0.71000000,0.63404255,0.99333333,0.77402597,0.78346321,0.52000000,0.51250000,0.82000000,0.63076923,1954
21,0.48723653,0.89000000,0.84615385,0.95333333,0.89655172,0.74556061,0.46000000,0.46875000,0.60000000,0.52631579,1944
22,0.48682613,0.85333333,0.77894737,0.98666667,0.87058824,0.76082322,0.50000000,0.50000000,0.74000000,0.59677419,1970
23,0.50191755,0.76000000,0.67889908,0.98666667,0.80434783,0.78417844,0.51000000,0.50632911,0.80000000,0.62015504,1949
24,0.46832977,0.87333333,0.80769231,0.98000000,0.88554217,0.76135463,0.49000000,0.49275362,0.68000000,0.57142857,1960
25,0.53012153,0.68666667,0.61475410,1.00000000,0.76142132,0.82075657,0.51000000,0.50588235,0.86000000,0.63703704,1938
26,0.44621167,0.91666667,0.89808917,0.94000000,0.91856678,0.75312172,0.49000000,0.49090909,0.54000000,0.51428571,1940
27,0.45687910,0.86000000,0.95762712,0.75333333,0.84328358,0.77552316,0.52000000,0.53333333,0.32000000,0.40000000,1949
28,0.43181149,0.92333333,0.93793103,0.90666667,0.92203390,0.75582901,0.45000000,0.44897959,0.44000000,0.44444444,1939
29,0.42988611,0.89333333,0.83146067,0.98666667,0.90243902,0.77753291,0.49000000,0.49275362,0.68000000,0.57142857,1947
30,0.41261541,0.93333333,0.91666667,0.95333333,0.93464052,0.76011873,0.48000000,0.48214286,0.54000000,0.50943396,1940
31,0.44025844,0.83000000,0.75126904,0.98666667,0.85302594,0.79402296,0.51000000,0.50617284,0.82000000,0.62595420,1946
32,0.43212176,0.84000000,0.76288660,0.98666667,0.86046512,0.80237922,0.51000000,0.50632911,0.80000000,0.62015504,1936
33,0.40233591,0.91000000,0.98425197,0.83333333,0.90252708,0.78235666,0.50000000,0.50000000,0.34000000,0.40476190,1953
34,0.42034314,0.83333333,0.99019608,0.67333333,0.80158730,0.80031616,0.52000000,0.54166667,0.26000000,0.35135135,1942
35,0.40977306,0.86666667,0.99107143,0.74000000,0.84732824,0.81183072,0.54000000,0.57692308,0.30000000,0.39473684,1952
36,0.37032449,0.94333333,0.90797546,0.98666667,0.94568690,0.77947024,0.48000000,0.48387097,0.60000000,0.53571429,1959
37,0.40144084,0.85333333,0.77894737,0.98666667,0.87058824,0.82165317,0.51000000,0.50617284,0.82000000,0.62595420,1964
38,0.35424485,0.94666667,0.97183099,0.92000000,0.94520548,0.78947607,0.51000000,0.51219512,0.42000000,0.46153846,1957
39,0.34202381,0.95666667,0.95364238,0.96000000,0.95681063,0.78729542,0.48000000,0.48214286,0.54000000,0.50943396,1967
