epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.70957166,0.49000000,0.47272727,0.17333333,0.25365854,0.72267890,0.43000000,0.33333333,0.14000000,0.19718310,215
2,0.68872119,0.55000000,0.53303965,0.80666667,0.64190981,0.72139769,0.49000000,0.49333333,0.74000000,0.59200000,216
3,0.69924194,0.50000000,0.50000000,0.94666667,0.65437788,0.74467979,0.50000000,0.50000000,0.94000000,0.65277778,220
4,0.67204032,0.62666667,0.61309524,0.68666667,0.64779874,0.71818574,0.44000000,0.45161290,0.56000000,0.50000000,217
5,0.68137656,0.53000000,0.51672862,0.92666667,0.66348449,0.73856965,0.50000000,0.50000000,0.88000000,0.63768116,218
6,0.67066763,0.55000000,0.68292683,0.18666667,0.29319372,0.72019045,0.43000000,0.34782609,0.16000000,0.21917808,224
7,0.66804856,0.55000000,0.52830189,0.93333333,0.67469880,0.73120865,0.49000000,0.49425287,0.86000000,0.62773723,221
8,0.66013169,0.58000000,0.73076923,0.25333333,0.37623762,0.71903998,0.43000000,0.37037037,0.20000000,0.25974026,214
9,0.65516996,0.61666667,0.79661017,0.31333333,0.44976077,0.71839477,0.43000000,0.38709677,0.24000000,0.29629630,218
10,0.65027748,0.62000000,0.57563025,0.91333333,0.70618557,0.72182763,0.48000000,0.48780488,0.80000000,0.60606061,227
11,0.64266641,0.67666667,0.72649573,0.56666667,0.63670412,0.71618056,0.42000000,0.40909091,0.36000000,0.38297872,222
12,0.67200537,0.53666667,0.92307692,0.08000000,0.14723926,0.74297582,0.48000000,0.33333333,0.04000000,0.07142857,214
13,0.63956502,0.63666667,0.58723404,0.92000000,0.71688312,0.72534963,0.51000000,0.50617284,0.82000000,0.62595420,216
14,0.63179274,0.70333333,0.65024631,0.88000000,0.74787535,0.71962985,0.51000000,0.50684932,0.74000000,0.60162602,219
15,0.63234885,0.67000000,0.61135371,0.93333333,0.73878628,0.72619615,0.51000000,0.50617284,0.82000000,0.62595420,219
16,0.62707005,0.67000000,0.61538462,0.90666667,0.73315364,0.72599317,0.51000000,0.50632911,0.80000000,0.62015504,237
17,0.62234354,0.69333333,0.63679245,0.90000000,0.74585635,0.72421445,0.51000000,0.50666667,0.76000000,0.60800000,225
18,0.62042663,0.68666667,0.62727273,0.92000000,0.74594595,0.72779616,0.54000000,0.52564103,0.82000000,0.64062500,224
19,0.63747421,0.59333333,0.55223881,0.98666667,0.70813397,0.75182595,0.50000000,0.50000000,0.86000000,0.63235294,215
20,0.62290081,0.63666667,0.58232932,0.96666667,0.72681704,0.74101546,0.51000000,0.50602410,0.84000000,0.63157895,217
21,0.60469912,0.74333333,0.74172185,0.74666667,0.74418605,0.72335931,0.45000000,0.45454545,0.50000000,0.47619048,217
22,0.60654637,0.70000000,0.63761468,0.92666667,0.75543478,0.73097023,0.52000000,0.51282051,0.80000000,0.62500000,215
23,0.62119907,0.62000000,0.56976744,0.98000000,0.72058824,0.75417001,0.50000000,0.50000000,0.86000000,0.63235294,214
24,0.59697825,0.74000000,0.68000000,0.90666667,0.77714286,0.73045141,0.52000000,0.51388889,0.74000000,0.60655738,218
25,0.62960845,0.59333333,0.55147059,1.00000000,0.71090047,0.76453026,0.53000000,0.51685393,0.92000000,0.66187050,220
26,0.58794755,0.79000000,0.80851064,0.76000000,0.78350515,0.72242154,0.44000000,0.43750000,0.42000000,0.42857143,226
27,0.58933281,0.76000000,0.89000000,0.59333333,0.71200000,0.72687648,0.47000000,0.45945946,0.34000000,0.39080460,219
28,0.57933401,0.78000000,0.78378378,0.77333333,0.77852349,0.72591870,0.47000000,0.47169811,0.50000000,0.48543689,225
29,0.57800637,0.76333333,0.70899471,0.89333333,0.79056047,0.73034129,0.50000000,0.50000000,0.70000000,0.58333333,219
30,0.57293350,0.79666667,0.82481752,0.75333333,0.78745645,0.72676072,0.44000000,0.43750000,0.42000000,0.42857143,215
31,0.57400062,0.76333333,0.69849246,0.92666667,0.79656160,0.73257526,0.51000000,0.50684932,0.74000000,0.60162602,213
32,0.56772369,0.77666667,0.71957672,0.90666667,0.80235988,0.73087344,0.49000000,0.49253731,0.66000000,0.56410256,217
33,0.58318977,0.68000000,0.95000000,0.38000000,0.54285714,0.74469113,0.51000000,0.52941176,0.18000000,0.26865672,216
34,0.57717178,0.70666667,0.96969697,0.42666667,0.59259259,0.74220116,0.51000000,0.52941176,0.18000000,0.26865672,217
35,0.55709243,0.82000000,0.88709677,0.73333333,0.80291971,0.72814535,0.47000000,0.46511628,0.40000000,0.43010753,217
36,0.56031026,0.78000000,0.93750000,0.60000000,0.73170732,0.73313216,0.49000000,0.48275862,0.28000000,0.35443038,215
37,0.54969369,0.80000000,0.74456522,0.91333333,0.82035928,0.73433298,0.48000000,0.48484848,0.64000000,0.55172414,222
38,0.54522260,0.84333333,0.89312977,0.78000000,0.83274021,0.72938705,0.47000000,0.46666667,0.42000000,0.44210526,220
39,0.54095106,0.79666667,0.74316940,0.90666667,0.81681682,0.73394494,0.48000000,0.48387097,0.60000000,0.53571429,219
40,0.53529395,0.82666667,0.79518072,0.88000000,0.83544304,0.73180325,0.48000000,0.48148148,0.52000000,0.50000000,225
41,0.55813026,0.72000000,0.97142857,0.45333333,0.61818182,0.74720869,0.53000000,0.60000000,0.18000000,0.27692308,219
42,0.53343492,0.80666667,0.74468085,0.93333333,0.82840237,0.73953084,0.50000000,0.50000000,0.68000000,0.57627119,217
