epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.70114739,0.50000000,0.00000000,0.00000000,0.00000000,0.73482017,0.50000000,0.00000000,0.00000000,0.00000000,141
2,0.67647660,0.60333333,0.56224900,0.93333333,0.70175439,0.69954636,0.50000000,0.50000000,0.86000000,0.63235294,138
3,0.69362357,0.50000000,0.00000000,0.00000000,0.00000000,0.72395213,0.50000000,0.00000000,0.00000000,0.00000000,140
4,0.67619550,0.54666667,0.52447552,1.00000000,0.68807339,0.71333871,0.50000000,0.50000000,0.94000000,0.65277778,142
5,0.68486376,0.53666667,0.51903114,1.00000000,0.68337130,0.72960542,0.48000000,0.48958333,0.94000000,0.64383562,141
6,0.66257337,0.56666667,0.53623188,0.98666667,0.69483568,0.71779669,0.50000000,0.50000000,0.92000000,0.64788732,141
7,0.64248457,0.57333333,0.76190476,0.21333333,0.33333333,0.72750139,0.47000000,0.42105263,0.16000000,0.23188406,144
8,0.61614766,0.66000000,0.60434783,0.92666667,0.73157895,0.71532249,0.52000000,0.51351351,0.76000000,0.61290323,146
9,0.73454679,0.52333333,1.00000000,0.04666667,0.08917197,0.84818875,0.53000000,1.00000000,0.06000000,0.11320755,139
10,0.58562184,0.78000000,0.78378378,0.77333333,0.77852349,0.72114799,0.48000000,0.47916667,0.46000000,0.46938776,142
11,0.58369574,0.72000000,0.66836735,0.87333333,0.75722543,0.70147430,0.53000000,0.52054795,0.76000000,0.61788618,138
12,0.66986541,0.60000000,0.55597015,0.99333333,0.71291866,0.75825802,0.51000000,0.50537634,0.94000000,0.65734266,142
13,0.63420446,0.56000000,0.95000000,0.12666667,0.22352941,0.73814511,0.50000000,0.50000000,0.06000000,0.10714286,139
14,0.64844476,0.57333333,0.53956835,1.00000000,0.70093458,0.77228263,0.49000000,0.49462366,0.92000000,0.64335664,140
15,0.57512478,0.71666667,0.77310924,0.61333333,0.68401487,0.73875584,0.49000000,0.48780488,0.40000000,0.43956044,144
16,0.63074391,0.57000000,0.76923077,0.20000000,0.31746032,0.81188231,0.52000000,0.58333333,0.14000000,0.22580645,140
17,0.53354793,0.77333333,0.69711538,0.96666667,0.81005587,0.74526793,0.52000000,0.51428571,0.72000000,0.60000000,142
18,0.68175507,0.62000000,0.56870229,0.99333333,0.72330097,0.91140927,0.48000000,0.48936170,0.92000000,0.63888889,142
19,0.51985436,0.80333333,0.87603306,0.70666667,0.78228782,0.75218258,0.53000000,0.54285714,0.38000000,0.44705882,139
20,0.47894499,0.80666667,0.74731183,0.92666667,0.82738095,0.78256894,0.54000000,0.52941176,0.72000000,0.61016949,139
21,0.51920987,0.70000000,0.64423077,0.89333333,0.74860335,0.81218833,0.55000000,0.53333333,0.80000000,0.64000000,141
22,0.44986081,0.82333333,0.75935829,0.94666667,0.84272997,0.80606360,0.50000000,0.50000000,0.68000000,0.57627119,138
23,0.60102161,0.61000000,0.72000000,0.36000000,0.48000000,0.83166039,0.51000000,0.51851852,0.28000000,0.36363636,142
24,0.54283837,0.73000000,0.88764045,0.52666667,0.66108787,0.76270861,0.55000000,0.58620690,0.34000000,0.43037975,141
25,0.51023451,0.77333333,0.69902913,0.96000000,0.80898876,0.73869001,0.54000000,0.52702703,0.78000000,0.62903226,138
26,0.85573036,0.59666667,0.87179487,0.22666667,0.35978836,1.08983333,0.53000000,0.63636364,0.14000000,0.22950820,145
27,0.46924334,0.85333333,0.84868421,0.86000000,0.85430464,0.75350840,0.49000000,0.48888889,0.44000000,0.46315789,140
28,0.38969427,0.85333333,0.85810811,0.84666667,0.85234899,0.87605715,0.54000000,0.54347826,0.50000000,0.52083333,145
29,0.75408169,0.59666667,0.55390335,0.99333333,0.71121718,1.03721249,0.52000000,0.51063830,0.96000000,0.66666667,140
30,0.48023770,0.76333333,0.72067039,0.86000000,0.78419453,0.80446238,0.52000000,0.51923077,0.54000000,0.52941176,140
31,0.42438915,0.79666667,0.73544974,0.92666667,0.82005900,0.88736203,0.50000000,0.50000000,0.74000000,0.59677419,142
32,0.43185903,0.80000000,0.71634615,0.99333333,0.83240223,0.81803710,0.49000000,0.49382716,0.80000000,0.61068702,140
33,0.40607584,0.89000000,0.89795918,0.88000000,0.88888889,0.83782012,0.45000000,0.44680851,0.42000000,0.43298969,140
34,0.64882795,0.58666667,0.88235294,0.20000000,0.32608696,1.14293651,0.53000000,0.61538462,0.16000000,0.25396825,141
35,0.40170158,0.84666667,0.80952381,0.90666667,0.85534591,0.90027889,0.53000000,0.52631579,0.60000000,0.56074766,139
36,0.42669476,0.77333333,0.68981481,0.99333333,0.81420765,0.98867338,0.55000000,0.53164557,0.84000000,0.65116279,139
37,0.49978998,0.70333333,0.95522388,0.42666667,0.58986175,1.04457507,0.54000000,0.62500000,0.20000000,0.30303030,140
38,0.34683339,0.85666667,0.78010471,0.99333333,0.87390029,0.96729689,0.50000000,0.50000000,0.70000000,0.58333333,144
39,0.29722889,0.88000000,0.81318681,0.98666667,0.89156627,0.98270617,0.47000000,0.47887324,0.68000000,0.56198347,140
40,0.39486742,0.81666667,0.92035398,0.69333333,0.79087452,0.99529550,0.57000000,0.60606061,0.40000000,0.48192771,138
41,0.39849485,0.81333333,0.73267327,0.98666667,0.84090909,0.98179532,0.53000000,0.52173913,0.72000000,0.60504202,150
42,0.30094633,0.90333333,0.87116564,0.94666667,0.90734824,0.90063628,0.53000000,0.52830189,0.56000000,0.54368932,138
43,0.27863917,0.89000000,0.83050847,0.98000000,0.89908257,0.95018729,0.48000000,0.48148148,0.52000000,0.50000000,138
44,0.29372671,0.92666667,0.98484848,0.86666667,0.92198582,0.90857232,0.52000000,0.53125000,0.34000000,0.41463415,139
45,0.35807533,0.91333333,0.94285714,0.88000000,0.91034483,0.86934611,0.49000000,0.48648649,0.36000000,0.41379310,139
46,0.39943143,0.85000000,0.78074866,0.97333333,0.86646884,0.80884027,0.50000000,0.50000000,0.66000000,0.56896552,138
47,0.28599322,0.88333333,0.90780142,0.85333333,0.87972509,1.05755109,0.51000000,0.51351351,0.38000000,0.43678161,145
48,0.58881991,0.71000000,0.63291139,1.00000000,0.77519380,0.96998204,0.51000000,0.50617284,0.82000000,0.62595420,146
49,0.33422928,0.84000000,1.00000000,0.68000000,0.80952381,1.06495462,0.49000000,0.47619048,0.20000000,0.28169014,143
50,0.19621523,0.95666667,0.94193548,0.97333333,0.95737705,1.00515683,0.51000000,0.51162791,0.44000000,0.47311828,144
51,0.61642622,0.67333333,1.00000000,0.34666667,0.51485149,1.58408732,0.52000000,0.58333333,0.14000000,0.22580645,140
52,0.40208817,0.84666667,0.83766234,0.86000000,0.84868421,0.88791841,0.49000000,0.48888889,0.44000000,0.46315789,139
53,0.26457677,0.89000000,0.90344828,0.87333333,0.88813559,1.09895463,0.55000000,0.55813953,0.48000000,0.51612903,141
54,0.35625193,0.90333333,0.96899225,0.83333333,0.89605735,0.90178995,0.51000000,0.51612903,0.32000000,0.39506173,142
