epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.69028745,0.57000000,0.55276382,0.73333333,0.63037249,0.70193798,0.49000000,0.49180328,0.60000000,0.54054054,253
2,0.68470440,0.57000000,0.55121951,0.75333333,0.63661972,0.69926058,0.53000000,0.52173913,0.72000000,0.60504202,240
3,0.67455714,0.60000000,0.60273973,0.58666667,0.59459459,0.69984249,0.51000000,0.51111111,0.46000000,0.48421053,239
4,0.67224576,0.58333333,0.63736264,0.38666667,0.48132780,0.70496718,0.48000000,0.46875000,0.30000000,0.36585366,240
5,0.66759464,0.60333333,0.65346535,0.44000000,0.52589641,0.70196943,0.49000000,0.48571429,0.34000000,0.40000000,241
6,0.66395684,0.61333333,0.64912281,0.49333333,0.56060606,0.70113393,0.50000000,0.50000000,0.40000000,0.44444444,241
7,0.65815180,0.61666667,0.57446809,0.90000000,0.70129870,0.70969924,0.45000000,0.46987952,0.78000000,0.58646617,238
8,0.66436906,0.56000000,0.73684211,0.18666667,0.29787234,0.72111485,0.51000000,0.53846154,0.14000000,0.22222222,244
9,0.64962538,0.63666667,0.78082192,0.38000000,0.51121076,0.70725997,0.52000000,0.53571429,0.30000000,0.38461538,240
10,0.63764520,0.68666667,0.64141414,0.84666667,0.72988506,0.70756481,0.43000000,0.44615385,0.58000000,0.50434783,239
11,0.66732046,0.56000000,0.87500000,0.14000000,0.24137931,0.73481460,0.50000000,0.50000000,0.08000000,0.13793103,240
12,0.62545178,0.72000000,0.73239437,0.69333333,0.71232877,0.70622894,0.51000000,0.51111111,0.46000000,0.48421053,235
13,0.62329920,0.71666667,0.68571429,0.80000000,0.73846154,0.71619126,0.39000000,0.40677966,0.48000000,0.44036697,238
14,0.61442920,0.72000000,0.72916667,0.70000000,0.71428571,0.70882181,0.48000000,0.48000000,0.48000000,0.48000000,237
15,0.60769746,0.75333333,0.76760563,0.72666667,0.74657534,0.70818187,0.48000000,0.47826087,0.44000000,0.45833333,238
16,0.60338701,0.73666667,0.69832402,0.83333333,0.75987842,0.70513904,0.46000000,0.46551724,0.54000000,0.50000000,237
17,0.59921144,0.75333333,0.82758621,0.64000000,0.72180451,0.70972977,0.47000000,0.46153846,0.36000000,0.40449438,239
18,0.60313911,0.71000000,0.87058824,0.49333333,0.62978723,0.70987737,0.52000000,0.52941176,0.36000000,0.42857143,243
19,0.60599976,0.65666667,0.59514170,0.98000000,0.74055416,0.71964969,0.48000000,0.48780488,0.80000000,0.60606061,240
20,0.75556873,0.51666667,0.50847458,1.00000000,0.67415730,0.86239352,0.49000000,0.49494949,0.98000000,0.65771812,241
21,0.58201394,0.70000000,0.63274336,0.95333333,0.76063830,0.72768071,0.48000000,0.48648649,0.72000000,0.58064516,240
22,0.58106343,0.70333333,0.63318777,0.96666667,0.76517150,0.73315893,0.44000000,0.46153846,0.72000000,0.56250000,241
23,0.55545268,0.80333333,0.82733813,0.76666667,0.79584775,0.71440526,0.49000000,0.48936170,0.46000000,0.47422680,240
24,0.54840225,0.78333333,0.72486772,0.91333333,0.80825959,0.72564257,0.46000000,0.46969697,0.62000000,0.53448276,237
25,0.54369398,0.78333333,0.71356784,0.94666667,0.81375358,0.72094614,0.46000000,0.47058824,0.64000000,0.54237288,239
26,0.56854254,0.68333333,0.98245614,0.37333333,0.54106280,0.75878223,0.54000000,0.61111111,0.22000000,0.32352941,239
27,0.52456551,0.85000000,0.87234043,0.82000000,0.84536082,0.72110466,0.53000000,0.53191489,0.50000000,0.51546392,236
28,0.53903013,0.75666667,0.95294118,0.54000000,0.68936170,0.74326984,0.54000000,0.57142857,0.32000000,0.41025641,237
29,0.51007522,0.84333333,0.93277311,0.74000000,0.82527881,0.73243359,0.53000000,0.53846154,0.42000000,0.47191011,237
30,0.50053746,0.83333333,0.78409091,0.92000000,0.84662577,0.73654786,0.47000000,0.47457627,0.56000000,0.51376147,237
31,0.51028661,0.76666667,0.69230769,0.96000000,0.80446927,0.76291438,0.47000000,0.47945205,0.70000000,0.56910569,243
32,0.53691444,0.68666667,0.61570248,0.99333333,0.76020408,0.75961331,0.47000000,0.48192771,0.80000000,0.60150376,243
33,0.48583851,0.79000000,0.72081218,0.94666667,0.81844380,0.77020532,0.47000000,0.47692308,0.62000000,0.53913043,240
34,0.54656933,0.64333333,0.58498024,0.98666667,0.73449132,0.78733984,0.48000000,0.48809524,0.82000000,0.61194030,237
35,0.45432629,0.91000000,0.94890511,0.86666667,0.90592334,0.75501173,0.52000000,0.52272727,0.46000000,0.48936170,236
36,0.46833273,0.86666667,1.00000000,0.73333333,0.84615385,0.75974731,0.51000000,0.51515152,0.34000000,0.40963855,240
37,0.46277250,0.85000000,0.96460177,0.72666667,0.82889734,0.76507203,0.53000000,0.54285714,0.38000000,0.44705882,240
38,0.48541521,0.78000000,0.98837209,0.56666667,0.72033898,0.79672737,0.52000000,0.53846154,0.28000000,0.36842105,240
39,0.46648096,0.76333333,0.68544601,0.97333333,0.80440771,0.78639222,0.48000000,0.48684211,0.74000000,0.58730159,239
40,0.42002052,0.89333333,0.92142857,0.86000000,0.88965517,0.78888404,0.48000000,0.47727273,0.42000000,0.44680851,237
41,0.49415391,0.74000000,1.00000000,0.48000000,0.64864865,0.84174883,0.54000000,0.60000000,0.24000000,0.34285714,237
42,0.39395533,0.94333333,0.94039735,0.94666667,0.94352159,0.76915307,0.48000000,0.48076923,0.50000000,0.49019608,237
43,0.40137479,0.89333333,1.00000000,0.78666667,0.88059701,0.80112905,0.51000000,0.51428571,0.36000000,0.42352941,236
44,0.48352078,0.74333333,1.00000000,0.48666667,0.65470852,0.85966260,0.51000000,0.53846154,0.14000000,0.22222222,239
45,0.48265635,0.73333333,1.00000000,0.46666667,0.63636364,0.89886061,0.51000000,0.54545455,0.12000000,0.19672131,253
46,0.35161106,0.92333333,0.90967742,0.94000000,0.92459016,0.81859490,0.48000000,0.48333333,0.58000000,0.52727273,240
47,0.40781441,0.78333333,0.70142180,0.98666667,0.81994460,0.85265429,0.46000000,0.47368421,0.72000000,0.57142857,236
48,0.38698288,0.84333333,0.76410256,0.99333333,0.86376812,0.82482876,0.47000000,0.47945205,0.70000000,0.56910569,239
49,0.36451840,0.87666667,0.81920904,0.96666667,0.88685015,0.83926045,0.43000000,0.44927536,0.62000000,0.52100840,245
50,0.34733688,0.88666667,0.82222222,0.98666667,0.89696970,0.80759230,0.50000000,0.50000000,0.64000000,0.56140351,240
51,0.31491630,0.95333333,0.95945946,0.94666667,0.95302013,0.80647566,0.47000000,0.47368421,0.54000000,0.50467290,235
52,0.41428524,0.79666667,1.00000000,0.59333333,0.74476987,0.88711471,0.50000000,0.50000000,0.20000000,0.28571429,239
53,0.34752759,0.91000000,1.00000000,0.82000000,0.90109890,0.82725472,0.51000000,0.51612903,0.32000000,0.39506173,251
54,0.28671976,0.96666667,0.97297297,0.96000000,0.96644295,0.84397806,0.47000000,0.47169811,0.50000000,0.48543689,237
55,0.31743682,0.90666667,1.00000000,0.81333333,0.89705882,0.86204382,0.53000000,0.55172414,0.32000000,0.40506329,238
56,0.58634422,0.64666667,0.58593750,1.00000000,0.73891626,1.13349796,0.50000000,0.50000000,0.88000000,0.63768116,237
57,0.30844992,0.92666667,1.00000000,0.85333333,0.92086331,0.90060551,0.52000000,0.53125000,0.34000000,0.41463415,244
58,0.26268238,0.96666667,0.96666667,0.96666667,0.96666667,0.85400577,0.49000000,0.49090909,0.54000000,0.51428571,239
59,0.29518852,0.91333333,0.86046512,0.98666667,0.91925466,0.92623461,0.48000000,0.48571429,0.68000000,0.56666667,238
60,0.23369507,0.97000000,0.97959184,0.96000000,0.96969697,0.89116258,0.47000000,0.47169811,0.50000000,0.48543689,241
61,0.23917399,0.96666667,0.99295775,0.94000000,0.96575342,0.88697698,0.44000000,0.43478261,0.40000000,0.41666667,239
62,0.42817431,0.74666667,0.66371681,1.00000000,0.79787234,1.03857629,0.51000000,0.50588235,0.86000000,0.63703704,239
63,0.65683534,0.62000000,1.00000000,0.24000000,0.38709677,1.19273735,0.53000000,1.00000000,0.06000000,0.11320755,239
64,0.22445804,0.96666667,0.96052632,0.97333333,0.96688742,0.90987035,0.44000000,0.44642857,0.50000000,0.47169811,240
65,0.29866401,0.86666667,0.78947368,1.00000000,0.88235294,0.96428326,0.51000000,0.50666667,0.76000000,0.60800000,238
66,0.24469483,0.94666667,0.91358025,0.98666667,0.94871795,0.95885413,0.43000000,0.44776119,0.60000000,0.51282051,237
67,0.22922681,0.98000000,0.97368421,0.98666667,0.98013245,0.88883553,0.48000000,0.48214286,0.54000000,0.50943396,238
68,0.25386326,0.91666667,0.85714286,1.00000000,0.92307692,1.02580060,0.45000000,0.46478873,0.66000000,0.54545455,238
69,0.43844255,0.75333333,1.00000000,0.50666667,0.67256637,1.20413540,0.54000000,0.75000000,0.12000000,0.20689655,239
70,0.25117874,0.93666667,0.88757396,1.00000000,0.94043887,0.95786057,0.46000000,0.47142857,0.66000000,0.55000000,236
71,0.17908766,0.98000000,0.98000000,0.98000000,0.98000000,0.96927977,0.50000000,0.50000000,0.58000000,0.53703704,239
72,0.18838277,0.97333333,0.99305556,0.95333333,0.97278912,0.95734260,0.45000000,0.44186047,0.38000000,0.40860215,235
73,0.19020551,0.96000000,0.93670886,0.98666667,0.96103896,1.01777176,0.48000000,0.48437500,0.62000000,0.54385965,242
74,0.18619967,0.96333333,0.99290780,0.93333333,0.96219931,1.00335744,0.47000000,0.46153846,0.36000000,0.40449438,240
75,0.21488165,0.98666667,1.00000000,0.97333333,0.98648649,0.89090652,0.43000000,0.40000000,0.28000000,0.32941176,240
76,0.18994309,0.97000000,0.94339623,1.00000000,0.97087379,1.02194550,0.50000000,0.50000000,0.66000000,0.56896552,242
77,0.13844000,0.98666667,0.99324324,0.98000000,0.98657718,0.99634800,0.48000000,0.48148148,0.52000000,0.50000000,237
78,0.17220055,0.97000000,1.00000000,0.94000000,0.96907216,1.02905449,0.52000000,0.53125000,0.34000000,0.41463415,243
79,0.18453877,0.98333333,0.97385621,0.99333333,0.98349835,0.93834745,0.48000000,0.48275862,0.56000000,0.51851852,239
80,0.14107009,0.99333333,1.00000000,0.98666667,0.99328859,0.93233064,0.48000000,0.48000000,0.48000000,0.48000000,251
81,0.12245081,0.99000000,0.99328859,0.98666667,0.98996656,1.04210323,0.50000000,0.50000000,0.58000000,0.53703704,237
82,0.19155715,0.95000000,0.90909091,1.00000000,0.95238095,1.10662001,0.46000000,0.47222222,0.68000000,0.55737705,235
83,0.14292704,0.98000000,1.00000000,0.96000000,0.97959184,1.09392723,0.50000000,0.50000000,0.34000000,0.40476190,240
84,0.43699416,0.75333333,0.66964286,1.00000000,0.80213904,1.31814655,0.48000000,0.48837209,0.84000000,0.61764706,243
85,0.17219591,0.96666667,0.93750000,1.00000000,0.96774194,1.15375237,0.46000000,0.47058824,0.64000000,0.54237288,244
86,0.10229938,0.99333333,1.00000000,0.98666667,0.99328859,1.04916951,0.46000000,0.45238095,0.38000000,0.41304348,237
87,0.10808464,0.98666667,0.98026316,0.99333333,0.98675497,1.06606109,0.48000000,0.48387097,0.60000000,0.53571429,244
88,0.10580516,0.99333333,0.99333333,0.99333333,0.99333333,1.05175109,0.47000000,0.47058824,0.48000000,0.47524752,240
89,0.24534576,0.90333333,1.00000000,0.80666667,0.89298893,1.29857549,0.52000000,0.56250000,0.18000000,0.27272727,241
90,0.08460208,0.99666667,1.00000000,0.99333333,0.99665552,1.05440944,0.47000000,0.47058824,0.48000000,0.47524752,245
91,0.08908983,0.99333333,1.00000000,0.98666667,0.99328859,1.11498655,0.51000000,0.51162791,0.44000000,0.47311828,240
92,0.81065455,0.61666667,0.56603774,1.00000000,0.72289157,1.85104496,0.47000000,0.48387097,0.90000000,0.62937063,237
93,0.09399030,0.99333333,0.99333333,0.99333333,0.99333333,1.08696026,0.50000000,0.50000000,0.60000000,0.54545455,243
94,0.09422972,0.99333333,1.00000000,0.98666667,0.99328859,1.13436355,0.50000000,0.50000000,0.38000000,0.43181818,241
95,0.09860474,0.99333333,1.00000000,0.98666667,0.99328859,1.16587739,0.51000000,0.51515152,0.34000000,0.40963855,236
96,0.10367791,0.98333333,1.00000000,0.96666667,0.98305085,1.17466681,0.51000000,0.51612903,0.32000000,0.39506173,244
97,0.18170434,0.94666667,0.90361446,1.00000000,0.94936709,1.29363196,0.52000000,0.51388889,0.74000000,0.60655738,237
98,0.10449440,0.99666667,1.00000000,0.99333333,0.99665552,1.06966501,0.48000000,0.47826087,0.44000000,0.45833333,242
99,0.10328253,0.99000000,0.98039216,1.00000000,0.99009901,1.23470988,0.47000000,0.47761194,0.64000000,0.54700855,244
100,0.07413125,0.99666667,1.00000000,0.99333333,0.99665552,1.13615779,0.54000000,0.55263158,0.42000000,0.47727273,239
101,0.06448053,0.99666667,0.99337748,1.00000000,0.99667774,1.16994349,0.46000000,0.46428571,0.52000000,0.49056604,239
102,0.19360033,0.95333333,0.91975309,0.99333333,0.95512821,1.04455795,0.51000000,0.50847458,0.60000000,0.55045872,235
103,0.08710025,0.99333333,0.98684211,1.00000000,0.99337748,1.20648952,0.49000000,0.49230769,0.64000000,0.55652174,238
104,0.06129067,0.99333333,1.00000000,0.98666667,0.99328859,1.17387530,0.50000000,0.50000000,0.40000000,0.44444444,238
105,0.05596397,0.99666667,0.99337748,1.00000000,0.99667774,1.19032593,0.48000000,0.48214286,0.54000000,0.50943396,238
106,0.05300318,1.00000000,1.00000000,1.00000000,1.00000000,1.16215637,0.47000000,0.47272727,0.52000000,0.49523810,239
107,0.04736709,1.00000000,1.00000000,1.00000000,1.00000000,1.17513206,0.48000000,0.48214286,0.54000000,0.50943396,238
108,0.04904014,1.00000000,1.00000000,1.00000000,1.00000000,1.21675845,0.50000000,0.50000000,0.56000000,0.52830189,237
109,0.04552576,1.00000000,1.00000000,1.00000000,1.00000000,1.19838400,0.47000000,0.47169811,0.50000000,0.48543689,238
110,0.07395808,0.99666667,0.99337748,1.00000000,0.99667774,1.27449984,0.50000000,0.50000000,0.66000000,0.56896552,241
111,0.05056868,0.99666667,0.99337748,1.00000000,0.99667774,1.24158336,0.48000000,0.48333333,0.58000000,0.52727273,239
112,0.04246066,1.00000000,1.00000000,1.00000000,1.00000000,1.19079243,0.47000000,0.46666667,0.42000000,0.44210526,237
113,0.03815331,1.00000000,1.00000000,1.00000000,1.00000000,1.22613462,0.48000000,0.48076923,0.50000000,0.49019608,244
114,0.04311514,1.00000000,1.00000000,1.00000000,1.00000000,1.25730623,0.51000000,0.51282051,0.40000000,0.44943820,247
115,0.03626797,1.00000000,1.00000000,1.00000000,1.00000000,1.22836177,0.48000000,0.47916667,0.46000000,0.46938776,239
116,0.03610504,1.00000000,1.00000000,1.00000000,1.00000000,1.22931839,0.50000000,0.50000000,0.54000000,0.51923077,237
117,0.03782782,1.00000000,1.00000000,1.00000000,1.00000000,1.26424820,0.47000000,0.46153846,0.36000000,0.40449438,238
118,0.03239926,1.00000000,1.00000000,1.00000000,1.00000000,1.25689270,0.49000000,0.49019608,0.50000000,0.49504950,241
119,0.03136690,1.00000000,1.00000000,1.00000000,1.00000000,1.25766990,0.49000000,0.49056604,0.52000000,0.50485437,240
120,0.16915215,0.95666667,0.92024540,1.00000000,0.95846645,1.03159983,0.50000000,0.50000000,0.66000000,0.56896552,242
121,0.04217609,0.99666667,1.00000000,0.99333333,0.99665552,1.21079572,0.46000000,0.45454545,0.40000000,0.42553191,239
122,0.04006330,1.00000000,1.00000000,1.00000000,1.00000000,1.26426326,0.48000000,0.47500000,0.38000000,0.42222222,241
123,0.03240797,1.00000000,1.00000000,1.00000000,1.00000000,1.25208493,0.50000000,0.50000000,0.54000000,0.51923077,252
124,0.03403091,1.00000000,1.00000000,1.00000000,1.00000000,1.27201329,0.50000000,0.50000000,0.56000000,0.52830189,238
125,0.03019271,1.00000000,1.00000000,1.00000000,1.00000000,1.26409197,0.47000000,0.46938776,0.46000000,0.46464646,239
126,0.02915269,1.00000000,1.00000000,1.00000000,1.00000000,1.28502689,0.48000000,0.47727273,0.42000000,0.44680851,240
127,0.02933864,1.00000000,1.00000000,1.00000000,1.00000000,1.29743088,0.49000000,0.49090909,0.54000000,0.51428571,235
128,0.02610029,1.00000000,1.00000000,1.00000000,1.00000000,1.28888324,0.49000000,0.49056604,0.52000000,0.50485437,239
129,0.02781659,1.00000000,1.00000000,1.00000000,1.00000000,1.30706867,0.50000000,0.50000000,0.54000000,0.51923077,239
130,0.02424157,1.00000000,1.00000000,1.00000000,1.00000000,1.30008554,0.48000000,0.48076923,0.50000000,0.49019608,239
131,0.02694177,1.00000000,1.00000000,1.00000000,1.00000000,1.29493052,0.50000000,0.50000000,0.42000000,0.45652174,239
132,0.02717931,1.00000000,1.00000000,1.00000000,1.00000000,1.33020525,0.49000000,0.48837209,0.42000000,0.45161290,242
133,0.02323079,1.00000000,1.00000000,1.00000000,1.00000000,1.32407218,0.48000000,0.47916667,0.46000000,0.46938776,239
134,0.02295983,1.00000000,1.00000000,1.00000000,1.00000000,1.32555189,0.48000000,0.47826087,0.44000000,0.45833333,241
135,0.02214741,1.00000000,1.00000000,1.00000000,1.00000000,1.31559706,0.49000000,0.48936170,0.46000000,0.47422680,240
136,0.02127590,1.00000000,1.00000000,1.00000000,1.00000000,1.32908517,0.50000000,0.50000000,0.54000000,0.51923077,240
137,0.02595602,1.00000000,1.00000000,1.00000000,1.00000000,1.34188547,0.48000000,0.47222222,0.34000000,0.39534884,240
138,0.02256474,1.00000000,1.00000000,1.00000000,1.00000000,1.35579948,0.48000000,0.47500000,0.38000000,0.42222222,237
139,0.04695680,1.00000000,1.00000000,1.00000000,1.00000000,1.43705782,0.52000000,0.51515152,0.68000000,0.58620690,238
140,0.02137173,1.00000000,1.00000000,1.00000000,1.00000000,1.33183599,0.50000000,0.50000000,0.54000000,0.51923077,237
141,0.01975990,1.00000000,1.00000000,1.00000000,1.00000000,1.34019172,0.47000000,0.46666667,0.42000000,0.44210526,237
142,0.01882774,1.00000000,1.00000000,1.00000000,1.00000000,1.36057962,0.49000000,0.48888889,0.44000000,0.46315789,237
143,0.01765937,1.00000000,1.00000000,1.00000000,1.00000000,1.35367197,0.49000000,0.49019608,0.50000000,0.49504950,236
144,0.01772757,1.00000000,1.00000000,1.00000000,1.00000000,1.37009884,0.48000000,0.48076923,0.50000000,0.49019608,237
145,0.01732167,1.00000000,1.00000000,1.00000000,1.00000000,1.37322866,0.48000000,0.48148148,0.52000000,0.50000000,237
146,0.01765468,1.00000000,1.00000000,1.00000000,1.00000000,1.38701461,0.47000000,0.46666667,0.42000000,0.44210526,239
147,0.01712030,1.00000000,1.00000000,1.00000000,1.00000000,1.38259324,0.48000000,0.47826087,0.44000000,0.45833333,235
148,0.01601491,1.00000000,1.00000000,1.00000000,1.00000000,1.37703372,0.50000000,0.50000000,0.52000000,0.50980392,239
149,0.01570013,1.00000000,1.00000000,1.00000000,1.00000000,1.36861965,0.48000000,0.48000000,0.48000000,0.48000000,243
150,0.01859008,1.00000000,1.00000000,1.00000000,1.00000000,1.41607989,0.48000000,0.47500000,0.38000000,0.42222222,242
151,0.01564451,1.00000000,1.00000000,1.00000000,1.00000000,1.38090900,0.48000000,0.47826087,0.44000000,0.45833333,248
152,0.01692494,1.00000000,1.00000000,1.00000000,1.00000000,1.40930616,0.48000000,0.47619048,0.40000000,0.43478261,237
153,0.01447021,1.00000000,1.00000000,1.00000000,1.00000000,1.40066263,0.49000000,0.49019608,0.50000000,0.49504950,239
154,0.01531496,1.00000000,1.00000000,1.00000000,1.00000000,1.40232504,0.46000000,0.45454545,0.40000000,0.42553191,238
155,0.01393404,1.00000000,1.00000000,1.00000000,1.00000000,1.40634824,0.50000000,0.50000000,0.50000000,0.50000000,238
156,0.01621842,1.00000000,1.00000000,1.00000000,1.00000000,1.41849080,0.49000000,0.49090909,0.54000000,0.51428571,238
157,0.01440327,1.00000000,1.00000000,1.00000000,1.00000000,1.41706079,0.49000000,0.49090909,0.54000000,0.51428571,241
158,0.01317210,1.00000000,1.00000000,1.00000000,1.00000000,1.41760989,0.49000000,0.49019608,0.50000000,0.49504950,239
159,0.01309901,1.00000000,1.00000000,1.00000000,1.00000000,1.41631653,0.49000000,0.49019608,0.50000000,0.49504950,238
160,0.01294297,1.00000000,1.00000000,1.00000000,1.00000000,1.42667821,0.49000000,0.49056604,0.52000000,0.50485437,237
161,0.01266214,1.00000000,1.00000000,1.00000000,1.00000000,1.41956942,0.49000000,0.49019608,0.50000000,0.49504950,237
162,0.01450037,1.00000000,1.00000000,1.00000000,1.00000000,1.44100772,0.49000000,0.49090909,0.54000000,0.51428571,239
163,0.01224972,1.00000000,1.00000000,1.00000000,1.00000000,1.44093072,0.48000000,0.47916667,0.46000000,0.46938776,236
164,0.01199639,1.00000000,1.00000000,1.00000000,1.00000000,1.44299785,0.49000000,0.49019608,0.50000000,0.49504950,236
165,0.01278321,1.00000000,1.00000000,1.00000000,1.00000000,1.44612811,0.48000000,0.47619048,0.40000000,0.43478261,238
166,0.01160325,1.00000000,1.00000000,1.00000000,1.00000000,1.46015197,0.50000000,0.50000000,0.50000000,0.50000000,240
167,0.01459330,1.00000000,1.00000000,1.00000000,1.00000000,1.49859195,0.46000000,0.44736842,0.34000000,0.38636364,244
168,0.01132786,1.00000000,1.00000000,1.00000000,1.00000000,1.46636486,0.49000000,0.48979592,0.48000000,0.48484848,240
169,0.01110338,1.00000000,1.00000000,1.00000000,1.00000000,1.46407813,0.48000000,0.47916667,0.46000000,0.46938776,236
170,0.01095677,1.00000000,1.00000000,1.00000000,1.00000000,1.45274817,0.48000000,0.48000000,0.48000000,0.48000000,239
