rank,label,candidate_hidden,candidate_learning_rate,candidate_batch_size,candidate_seed,gpu_score,gpu_acc_mean,gpu_f1_mean,gpu_best_seed_acc,gpu_best_seed_f1,run_id,run_name,hidden,output_head,best_epoch,mode,threshold,split,samples,loss,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,duration_ms,dense_ops_total,sparse_ops_total,estimated_speedup,active_total,activation_slots_total,avg_active_count,avg_active_ratio,avg_sparsity,avg_active_by_layer,max_abs_diff_from_dense,mismatch_count_from_dense
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,dense,0.00000000,validation,100,0.78646634,0.59000000,0.61538462,0.48000000,0.53932584,35,15,26,24,15,16640000,16640000,1.00000000,60800,60800,202.66666667,1.00000000,0.00000000,L0=32.00/32;L1=64.00/64;L2=512.00/512,0.00000000,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_exact,0.00000000,validation,100,0.78646634,0.59000000,0.61538462,0.48000000,0.53932584,35,15,26,24,12,16640000,14971410,1.11145176,29265,60800,97.55000000,0.48133224,0.51866776,L0=7.21/32;L1=35.02/64;L2=250.42/512,0.00000000,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.02500000,validation,100,0.78638172,0.59000000,0.61538462,0.48000000,0.53932584,35,15,26,24,12,16640000,14907761,1.11619713,28322,60800,94.40666667,0.46582237,0.53417763,L0=6.99/32;L1=33.82/64;L2=242.41/512,0.00450420,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.05000000,validation,100,0.78587454,0.59000000,0.61538462,0.48000000,0.53932584,35,15,26,24,12,16640000,14851057,1.12045897,27429,60800,91.43000000,0.45113487,0.54886513,L0=6.81/32;L1=32.75/64;L2=234.73/512,0.00854820,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.07500000,validation,100,0.78604892,0.60000000,0.63157895,0.48000000,0.54545455,36,14,26,24,12,16640000,14809036,1.12363830,26526,60800,88.42000000,0.43628289,0.56371711,L0=6.61/32;L1=31.97/64;L2=226.68/512,0.01984646,1
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.10000000,validation,100,0.78662967,0.59000000,0.61538462,0.48000000,0.53932584,35,15,26,24,12,16640000,14765188,1.12697515,25651,60800,85.50333333,0.42189145,0.57810855,L0=6.44/32;L1=31.15/64;L2=218.92/512,0.03278350,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,dense,0.00000000,test,100,0.78250754,0.50000000,0.50000000,0.38000000,0.43181818,31,19,31,19,15,16640000,16640000,1.00000000,60800,60800,202.66666667,1.00000000,0.00000000,L0=32.00/32;L1=64.00/64;L2=512.00/512,0.00000000,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_exact,0.00000000,test,100,0.78250754,0.50000000,0.50000000,0.38000000,0.43181818,31,19,31,19,12,16640000,14996835,1.10956745,29385,60800,97.95000000,0.48330592,0.51669408,L0=7.09/32;L1=35.53/64;L2=251.23/512,0.00000000,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.02500000,test,100,0.78182879,0.50000000,0.50000000,0.38000000,0.43181818,31,19,31,19,12,16640000,14936878,1.11402128,28431,60800,94.77000000,0.46761513,0.53238487,L0=6.89/32;L1=34.40/64;L2=243.02/512,0.00667183,0
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.05000000,test,100,0.78067002,0.50000000,0.50000000,0.38000000,0.43181818,31,19,31,19,12,16640000,14888759,1.11762169,27569,60800,91.89666667,0.45343750,0.54656250,L0=6.77/32;L1=33.49/64;L2=235.43/512,0.00881920,0
