epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.69030911,0.51666667,0.59259259,0.10666667,0.18079096,0.70492652,0.53000000,0.63636364,0.14000000,0.22950820,247
2,0.66291591,0.59666667,0.70422535,0.33333333,0.45248869,0.71095545,0.46000000,0.44117647,0.30000000,0.35714286,239
3,0.65745009,0.57333333,0.73913043,0.22666667,0.34693878,0.72540964,0.52000000,0.53846154,0.28000000,0.36842105,239
4,0.64744852,0.65000000,0.59740260,0.92000000,0.72440945,0.70861441,0.49000000,0.49397590,0.82000000,0.61654135,235
5,0.64535397,0.64333333,0.59148936,0.92666667,0.72207792,0.72827224,0.46000000,0.47674419,0.82000000,0.60294118,237
6,0.61611090,0.67666667,0.63316583,0.84000000,0.72206304,0.72878808,0.46000000,0.47222222,0.68000000,0.55737705,236
7,0.64768622,0.54333333,0.88235294,0.10000000,0.17964072,0.75334503,0.53000000,0.66666667,0.12000000,0.20338983,234
8,0.60021959,0.70333333,0.64878049,0.88666667,0.74929577,0.73906022,0.45000000,0.46575342,0.68000000,0.55284553,236
9,0.58147204,0.75333333,0.71111111,0.85333333,0.77575758,0.73236873,0.44000000,0.45588235,0.62000000,0.52542373,250
10,0.59317717,0.76000000,0.71428571,0.86666667,0.78313253,0.72338892,0.52000000,0.51724138,0.60000000,0.55555556,239
11,0.61746917,0.63000000,0.57528958,0.99333333,0.72860636,0.79355148,0.47000000,0.48387097,0.90000000,0.62937063,247
12,0.56538914,0.71333333,0.79629630,0.57333333,0.66666667,0.79997186,0.45000000,0.43902439,0.36000000,0.39560440,246
13,0.61790254,0.56666667,0.95454545,0.14000000,0.24418605,0.83908609,0.48000000,0.41666667,0.10000000,0.16129032,234
14,0.56422303,0.73333333,0.88888889,0.53333333,0.66666667,0.76120207,0.47000000,0.44444444,0.24000000,0.31168831,237
15,0.51393114,0.78333333,0.72972973,0.90000000,0.80597015,0.78868810,0.46000000,0.46969697,0.62000000,0.53448276,233
16,0.52409535,0.81666667,0.81456954,0.82000000,0.81727575,0.76293568,0.45000000,0.44897959,0.44000000,0.44444444,237
17,0.48810211,0.82666667,0.79518072,0.88000000,0.83544304,0.80900511,0.48000000,0.48387097,0.60000000,0.53571429,234
18,0.55817741,0.67666667,0.92063492,0.38666667,0.54460094,0.88168355,0.50000000,0.50000000,0.24000000,0.32432432,238
19,0.56403272,0.68666667,0.61570248,0.99333333,0.76020408,0.88242676,0.49000000,0.49425287,0.86000000,0.62773723,245
20,0.56934764,0.61000000,0.97142857,0.22666667,0.36756757,0.86338161,0.49000000,0.44444444,0.08000000,0.13559322,237
