epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.68900812,0.57666667,0.58778626,0.51333333,0.54804270,0.69546668,0.49000000,0.48888889,0.44000000,0.46315789,442
2,0.68147131,0.58333333,0.56410256,0.73333333,0.63768116,0.70265334,0.52000000,0.51562500,0.66000000,0.57894737,423
3,0.67389968,0.63000000,0.59330144,0.82666667,0.69080780,0.70612889,0.53000000,0.52173913,0.72000000,0.60504202,423
4,0.68646973,0.52666667,0.51428571,0.96000000,0.66976744,0.72475509,0.54000000,0.52173913,0.96000000,0.67605634,429
5,0.67825701,0.52333333,0.76923077,0.06666667,0.12269939,0.72034002,0.50000000,0.50000000,0.04000000,0.07407407,440
6,0.65481146,0.67666667,0.64640884,0.78000000,0.70694864,0.71434883,0.44000000,0.44642857,0.50000000,0.47169811,439
7,0.65178239,0.63333333,0.58474576,0.92000000,0.71502591,0.70600896,0.54000000,0.52631579,0.80000000,0.63492063,428
8,0.64170918,0.71333333,0.68390805,0.79333333,0.73456790,0.70209495,0.52000000,0.51785714,0.58000000,0.54716981,433
9,0.63392501,0.72666667,0.68085106,0.85333333,0.75739645,0.70277971,0.50000000,0.50000000,0.60000000,0.54545455,428
10,0.63647220,0.64666667,0.78205128,0.40666667,0.53508772,0.70309254,0.54000000,0.58333333,0.28000000,0.37837838,429
11,0.64370258,0.65000000,0.81690141,0.38666667,0.52488688,0.70219811,0.54000000,0.62500000,0.20000000,0.30303030,429
12,0.76185751,0.50333333,1.00000000,0.00666667,0.01324503,0.82786705,0.50000000,0.00000000,0.00000000,0.00000000,430
13,0.61450613,0.73333333,0.66826923,0.92666667,0.77653631,0.70012525,0.55000000,0.53731343,0.72000000,0.61538462,426
14,0.62962986,0.61000000,0.86666667,0.26000000,0.40000000,0.72152501,0.51000000,0.55555556,0.10000000,0.16949153,431
15,0.60721084,0.71333333,0.79090909,0.58000000,0.66923077,0.71953856,0.46000000,0.44444444,0.32000000,0.37209302,428
16,0.59266799,0.78000000,0.81343284,0.72666667,0.76760563,0.71163918,0.49000000,0.48888889,0.44000000,0.46315789,427
17,0.59502075,0.75333333,0.85849057,0.60666667,0.71093750,0.72149493,0.49000000,0.48484848,0.32000000,0.38554217,425
18,0.59315728,0.69000000,0.62337662,0.96000000,0.75590551,0.71939269,0.54000000,0.52777778,0.76000000,0.62295082,423
19,0.58573375,0.72666667,0.86170213,0.54000000,0.66393443,0.72046318,0.54000000,0.57692308,0.30000000,0.39473684,422
20,0.57295241,0.81666667,0.79874214,0.84666667,0.82200647,0.71070730,0.51000000,0.51020408,0.50000000,0.50505051,424
21,0.61605052,0.63000000,0.57707510,0.97333333,0.72456576,0.76200743,0.54000000,0.52500000,0.84000000,0.64615385,422
22,0.56179000,0.79333333,0.74444444,0.89333333,0.81212121,0.71214519,0.48000000,0.48214286,0.54000000,0.50943396,422
23,0.56865156,0.71666667,0.64444444,0.96666667,0.77333333,0.73674585,0.56000000,0.54166667,0.78000000,0.63934426,422
24,0.65051682,0.61333333,0.56589147,0.97333333,0.71568627,0.83039899,0.50000000,0.50000000,0.86000000,0.63235294,421
25,0.62769446,0.55666667,1.00000000,0.11333333,0.20359281,0.79543473,0.53000000,0.71428571,0.10000000,0.17543860,422
26,0.54889671,0.80666667,0.74468085,0.93333333,0.82840237,0.74060390,0.50000000,0.50000000,0.60000000,0.54545455,422
27,0.54742321,0.75333333,0.67757009,0.96666667,0.79670330,0.75144532,0.53000000,0.52054795,0.76000000,0.61788618,420
28,0.56049882,0.70333333,0.63318777,0.96666667,0.76517150,0.76731651,0.49000000,0.49315068,0.72000000,0.58536585,433
29,0.61790003,0.56666667,1.00000000,0.13333333,0.23529412,0.81469239,0.52000000,0.75000000,0.06000000,0.11111111,421
30,0.52398126,0.79666667,0.95876289,0.62000000,0.75303644,0.74508574,0.51000000,0.51851852,0.28000000,0.36363636,424
31,0.54984423,0.69333333,0.98333333,0.39333333,0.56190476,0.77539524,0.52000000,0.57142857,0.16000000,0.25000000,425
32,0.53669885,0.70333333,0.98412698,0.41333333,0.58215962,0.76091431,0.52000000,0.56250000,0.18000000,0.27272727,422
33,0.49803069,0.86333333,0.81502890,0.94000000,0.87306502,0.74362989,0.50000000,0.50000000,0.52000000,0.50980392,430
34,0.49642340,0.78666667,0.71078431,0.96666667,0.81920904,0.75762814,0.50000000,0.50000000,0.66000000,0.56896552,422
35,0.49285592,0.83000000,0.76190476,0.96000000,0.84955752,0.76219153,0.48000000,0.48437500,0.62000000,0.54385965,423
36,0.50582314,0.76333333,0.68544601,0.97333333,0.80440771,0.78704093,0.52000000,0.51351351,0.76000000,0.61290323,426
37,0.47867881,0.84666667,0.77956989,0.96666667,0.86309524,0.76011561,0.50000000,0.50000000,0.58000000,0.53703704,425
38,0.45951863,0.86000000,0.80337079,0.95333333,0.87195122,0.74581954,0.53000000,0.52631579,0.60000000,0.56074766,424
39,0.88172442,0.52333333,1.00000000,0.04666667,0.08917197,1.13250389,0.51000000,1.00000000,0.02000000,0.03921569,424
40,0.80027953,0.54333333,0.52264808,1.00000000,0.68649886,1.07490700,0.50000000,0.50000000,0.98000000,0.66216216,422
41,0.44306290,0.87666667,0.92481203,0.82000000,0.86925795,0.77466687,0.51000000,0.51351351,0.38000000,0.43678161,427
42,0.54905885,0.67000000,0.60408163,0.98666667,0.74936709,0.89227458,0.50000000,0.50000000,0.82000000,0.62121212,423
43,0.54176004,0.66666667,0.60080645,0.99333333,0.74874372,0.88699699,0.51000000,0.50602410,0.84000000,0.63157895,429
44,0.43675192,0.83000000,0.75647668,0.97333333,0.85131195,0.80890410,0.52000000,0.51515152,0.68000000,0.58620690,421
45,0.60067114,0.62000000,0.56870229,0.99333333,0.72330097,0.97081013,0.47000000,0.48314607,0.86000000,0.61870504,426
46,0.42230443,0.87333333,0.95161290,0.78666667,0.86131387,0.80585407,0.50000000,0.50000000,0.32000000,0.39024390,422
47,0.69559110,0.53000000,1.00000000,0.06000000,0.11320755,1.05441630,0.50000000,0.50000000,0.02000000,0.03846154,423
48,0.51618957,0.68000000,1.00000000,0.36000000,0.52941176,0.88145152,0.52000000,0.62500000,0.10000000,0.17241379,423
49,0.39188414,0.90666667,0.85882353,0.97333333,0.91250000,0.79979806,0.48000000,0.48148148,0.52000000,0.50000000,421
50,0.39471731,0.90000000,0.88461538,0.92000000,0.90196078,0.81999630,0.48000000,0.48000000,0.48000000,0.48000000,422
51,0.36715658,0.93666667,0.92810458,0.94666667,0.93729373,0.79841871,0.48000000,0.47727273,0.42000000,0.44680851,422
