epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.70087905,0.51333333,0.50684932,0.98666667,0.66968326,0.70742875,0.48000000,0.48936170,0.92000000,0.63888889,140
2,0.69118934,0.52333333,0.51428571,0.84000000,0.63797468,0.68883687,0.57000000,0.54545455,0.84000000,0.66141732,139
3,0.68846771,0.54666667,0.56862745,0.38666667,0.46031746,0.69201564,0.58000000,0.61111111,0.44000000,0.51162791,140
4,0.68717983,0.54333333,0.70967742,0.14666667,0.24309392,0.68867798,0.54000000,0.64285714,0.18000000,0.28125000,140
5,0.69968562,0.51666667,0.50871080,0.97333333,0.66819222,0.70213490,0.52000000,0.51086957,0.94000000,0.66197183,142
6,0.68730163,0.54666667,0.52671756,0.92000000,0.66990291,0.69225550,0.51000000,0.50574713,0.88000000,0.64233577,137
7,0.68121963,0.57666667,0.67164179,0.30000000,0.41474654,0.69211617,0.53000000,0.57894737,0.22000000,0.31884058,139
8,0.68934874,0.51333333,0.70000000,0.04666667,0.08750000,0.69592335,0.51000000,0.66666667,0.04000000,0.07547170,140
9,0.67194399,0.60666667,0.59638554,0.66000000,0.62658228,0.68722989,0.54000000,0.53571429,0.60000000,0.56603774,140
10,0.67455244,0.60666667,0.58602151,0.72666667,0.64880952,0.69732533,0.48000000,0.48437500,0.62000000,0.54385965,141
11,0.67757433,0.56666667,0.88461538,0.15333333,0.26136364,0.68943648,0.59000000,0.80000000,0.24000000,0.36923077,141
12,0.67504901,0.50666667,0.51666667,0.20666667,0.29523810,0.69759741,0.50000000,0.50000000,0.20000000,0.28571429,140
13,0.68142574,0.53000000,0.73684211,0.09333333,0.16568047,0.72834052,0.53000000,0.71428571,0.10000000,0.17543860,140
14,0.64932618,0.65000000,0.72727273,0.48000000,0.57831325,0.71750383,0.54000000,0.55555556,0.40000000,0.46511628,140
15,0.66043374,0.58000000,0.64634146,0.35333333,0.45689655,0.71851959,0.47000000,0.45161290,0.28000000,0.34567901,142
16,0.64229634,0.61333333,0.65740741,0.47333333,0.55038760,0.72582859,0.53000000,0.53846154,0.42000000,0.47191011,141
17,0.73154019,0.51333333,0.70000000,0.04666667,0.08750000,0.79915159,0.51000000,0.66666667,0.04000000,0.07547170,141
18,0.69602173,0.56000000,0.65000000,0.26000000,0.37142857,0.80555594,0.45000000,0.38095238,0.16000000,0.22535211,140
19,0.63102958,0.65666667,0.59832636,0.95333333,0.73521851,0.70350326,0.51000000,0.50602410,0.84000000,0.63157895,138
20,0.63391306,0.65333333,0.68852459,0.56000000,0.61764706,0.74270364,0.49000000,0.49019608,0.50000000,0.49504950,140
21,0.62239379,0.65666667,0.91228070,0.34666667,0.50241546,0.72915123,0.52000000,0.58333333,0.14000000,0.22580645,167
22,0.59061475,0.67666667,0.62211982,0.90000000,0.73569482,0.72890231,0.48000000,0.48648649,0.72000000,0.58064516,143
