epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_ms
1,0.68662287,0.54000000,0.53896104,0.55333333,0.54605263,0.68084540,0.61000000,0.62222222,0.56000000,0.58947368,448
2,0.68406765,0.56000000,0.53719008,0.86666667,0.66326531,0.68564237,0.49000000,0.49382716,0.80000000,0.61068702,436
3,0.67574487,0.58666667,0.55855856,0.82666667,0.66666667,0.68088173,0.56000000,0.54285714,0.76000000,0.63333333,424
4,0.66698442,0.62333333,0.64122137,0.56000000,0.59786477,0.67712684,0.59000000,0.60465116,0.52000000,0.55913978,425
5,0.68162637,0.53000000,0.84615385,0.07333333,0.13496933,0.69797303,0.51000000,0.66666667,0.04000000,0.07547170,448
6,0.67060935,0.55000000,0.52767528,0.95333333,0.67933492,0.69236718,0.53000000,0.51648352,0.94000000,0.66666667,423
7,0.65119337,0.67000000,0.67346939,0.66000000,0.66666667,0.67824232,0.59000000,0.59574468,0.56000000,0.57731959,426
8,0.64690467,0.71333333,0.67391304,0.82666667,0.74251497,0.67957856,0.61000000,0.59322034,0.70000000,0.64220183,426
9,0.66125646,0.56666667,0.53703704,0.96666667,0.69047619,0.69426798,0.51000000,0.50549451,0.92000000,0.65248227,425
10,0.64866560,0.62000000,0.95000000,0.25333333,0.40000000,0.68653194,0.51000000,0.54545455,0.12000000,0.19672131,449
11,0.63169352,0.71666667,0.74436090,0.66000000,0.69964664,0.67613572,0.62000000,0.62000000,0.62000000,0.62000000,437
12,0.63569443,0.64333333,0.90566038,0.32000000,0.47290640,0.68548895,0.50000000,0.50000000,0.16000000,0.24242424,432
13,0.62185962,0.73666667,0.77099237,0.67333333,0.71886121,0.67528826,0.61000000,0.62222222,0.56000000,0.58947368,432
14,0.65790693,0.53666667,0.92307692,0.08000000,0.14723926,0.70454280,0.50000000,0.50000000,0.02000000,0.03846154,426
15,0.62076936,0.70666667,0.63716814,0.96000000,0.76595745,0.68323880,0.58000000,0.55128205,0.86000000,0.67187500,457
16,0.61899770,0.69666667,0.62660944,0.97333333,0.76240209,0.68750588,0.57000000,0.54216867,0.90000000,0.67669173,426
17,0.60483566,0.74666667,0.69473684,0.88000000,0.77647059,0.67900879,0.60000000,0.57575758,0.76000000,0.65517241,431
18,0.60471576,0.69000000,0.83529412,0.47333333,0.60425532,0.67788276,0.52000000,0.53571429,0.30000000,0.38461538,426
19,0.59220413,0.78666667,0.80714286,0.75333333,0.77931034,0.67323246,0.62000000,0.62000000,0.62000000,0.62000000,426
20,0.61875803,0.62333333,0.97435897,0.25333333,0.40211640,0.69069206,0.51000000,0.55555556,0.10000000,0.16949153,422
21,0.58726761,0.78000000,0.92000000,0.61333333,0.73600000,0.67655878,0.53000000,0.55172414,0.32000000,0.40506329,428
22,0.58083376,0.75000000,0.68115942,0.94000000,0.78991597,0.67913157,0.60000000,0.56944444,0.82000000,0.67213115,421
23,0.58851875,0.71000000,0.63519313,0.98666667,0.77284595,0.69060457,0.57000000,0.54320988,0.88000000,0.67175573,436
24,0.58733480,0.70000000,0.62711864,0.98666667,0.76683938,0.69059136,0.58000000,0.54878049,0.90000000,0.68181818,427
25,0.57021859,0.76333333,0.93406593,0.56666667,0.70539419,0.67676674,0.56000000,0.61538462,0.32000000,0.42105263,427
26,0.55718302,0.78000000,0.70388350,0.96666667,0.81460674,0.67466649,0.59000000,0.56338028,0.80000000,0.66115702,423
27,0.62122403,0.61666667,0.56653992,0.99333333,0.72154964,0.73658110,0.54000000,0.52173913,0.96000000,0.67605634,422
28,0.54122138,0.84000000,0.86956522,0.80000000,0.83333333,0.66926303,0.61000000,0.61224490,0.60000000,0.60606061,424
29,0.62655473,0.53666667,1.00000000,0.07333333,0.13664596,0.74606987,0.52000000,0.75000000,0.06000000,0.11111111,430
30,0.53222176,0.81000000,0.74345550,0.94666667,0.83284457,0.68012820,0.60000000,0.57352941,0.78000000,0.66101695,430
31,0.52346572,0.83666667,0.83006536,0.84666667,0.83828383,0.66918176,0.64000000,0.62962963,0.68000000,0.65384615,435
32,0.52392782,0.79333333,0.71568627,0.97333333,0.82485876,0.68005958,0.58000000,0.55555556,0.80000000,0.65573770,436
33,0.50970928,0.87000000,0.86754967,0.87333333,0.87043189,0.67216707,0.63000000,0.61818182,0.68000000,0.64761905,428
34,0.55828534,0.69000000,0.61825726,0.99333333,0.76214834,0.73368362,0.56000000,0.53571429,0.90000000,0.67164179,435
35,0.50367216,0.82666667,0.75789474,0.96000000,0.84705882,0.68401578,0.57000000,0.54794521,0.80000000,0.65040650,426
36,0.55173263,0.69333333,0.62083333,0.99333333,0.76410256,0.74123398,0.55000000,0.52941176,0.90000000,0.66666667,432
37,0.57179411,0.66000000,0.59600000,0.99333333,0.74500000,0.75193965,0.55000000,0.52808989,0.94000000,0.67625899,439
38,0.49645577,0.81666667,0.97979798,0.64666667,0.77911647,0.67442287,0.61000000,0.70370370,0.38000000,0.49350649,427
39,0.48947231,0.82666667,0.99000000,0.66000000,0.79200000,0.68417224,0.59000000,0.69565217,0.32000000,0.43835616,434
40,0.51903569,0.73000000,0.64935065,1.00000000,0.78740157,0.74027257,0.56000000,0.53658537,0.88000000,0.66666667,437
41,0.47177065,0.86666667,0.92307692,0.80000000,0.85714286,0.68516320,0.61000000,0.64102564,0.50000000,0.56179775,426
42,1.05422345,0.50000000,0.00000000,0.00000000,0.00000000,1.18229564,0.50000000,0.00000000,0.00000000,0.00000000,448
43,0.45766587,0.84333333,0.77248677,0.97333333,0.86135693,0.69730540,0.58000000,0.55714286,0.78000000,0.65000000,422
44,0.47743351,0.80666667,1.00000000,0.61333333,0.76033058,0.70676206,0.58000000,0.70000000,0.28000000,0.40000000,425
45,0.46095366,0.83000000,0.99009901,0.66666667,0.79681275,0.70061565,0.62000000,0.73076923,0.38000000,0.50000000,447
46,0.50342655,0.73000000,0.65198238,0.98666667,0.78514589,0.75252397,0.57000000,0.54320988,0.88000000,0.67175573,432
47,0.42932670,0.84333333,0.77248677,0.97333333,0.86135693,0.70801187,0.61000000,0.57971014,0.80000000,0.67226891,423
48,0.41527839,0.91333333,0.91891892,0.90666667,0.91275168,0.68756652,0.59000000,0.59183673,0.58000000,0.58585859,426
49,0.41541883,0.90333333,0.92307692,0.88000000,0.90102389,0.70190305,0.56000000,0.56250000,0.54000000,0.55102041,436
