epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69281352,0.51333333,0.53571429,0.20000000,0.29126214,0.69901597,0.52000000,0.54545455,0.24000000,0.33333333
2,0.68504924,0.54000000,0.60344828,0.23333333,0.33653846,0.69883561,0.50000000,0.50000000,0.28000000,0.35897436
3,0.67916828,0.56333333,0.69387755,0.22666667,0.34170854,0.69873184,0.50000000,0.50000000,0.22000000,0.30555556
4,0.66887885,0.59000000,0.56338028,0.80000000,0.66115702,0.69920164,0.49000000,0.49333333,0.74000000,0.59200000
5,0.67230499,0.60000000,0.85714286,0.24000000,0.37500000,0.69957435,0.55000000,0.60869565,0.28000000,0.38356164
6,0.67469156,0.55333333,0.90000000,0.12000000,0.21176471,0.70564359,0.51000000,0.55555556,0.10000000,0.16949153
7,0.64985764,0.67666667,0.64971751,0.76666667,0.70336391,0.69640410,0.53000000,0.52459016,0.64000000,0.57657658
8,0.64755267,0.70000000,0.74193548,0.61333333,0.67153285,0.69027174,0.57000000,0.57777778,0.52000000,0.54736842
9,0.63348496,0.69333333,0.68831169,0.70666667,0.69736842,0.69544500,0.51000000,0.50877193,0.58000000,0.54205607
10,0.64834392,0.58000000,0.54724409,0.92666667,0.68811881,0.71223360,0.53000000,0.51724138,0.90000000,0.65693431
11,0.64549202,0.59333333,0.91176471,0.20666667,0.33695652,0.70959282,0.53000000,0.61538462,0.16000000,0.25396825
12,0.67875224,0.53333333,0.51773050,0.97333333,0.67592593,0.75701624,0.53000000,0.51648352,0.94000000,0.66666667
13,0.61111712,0.65000000,0.60465116,0.86666667,0.71232877,0.70322055,0.54000000,0.52857143,0.74000000,0.61666667
14,0.59633130,0.71333333,0.67977528,0.80666667,0.73780488,0.70311433,0.59000000,0.57142857,0.72000000,0.63716814
15,0.59226948,0.74000000,0.73076923,0.76000000,0.74509804,0.69301635,0.61000000,0.60377358,0.64000000,0.62135922
16,0.58998179,0.74666667,0.87755102,0.57333333,0.69354839,0.70317674,0.57000000,0.61290323,0.38000000,0.46913580
17,0.64483225,0.58333333,0.54716981,0.96666667,0.69879518,0.76565433,0.55000000,0.52873563,0.92000000,0.67153285
18,0.56945401,0.76000000,0.76000000,0.76000000,0.76000000,0.69460481,0.59000000,0.58490566,0.62000000,0.60194175
19,0.56114554,0.76333333,0.74233129,0.80666667,0.77316294,0.70910317,0.53000000,0.52459016,0.64000000,0.57657658
20,0.64132410,0.59333333,0.55343511,0.96666667,0.70388350,0.77970427,0.55000000,0.52808989,0.94000000,0.67625899
21,0.56070793,0.70333333,0.64734300,0.89333333,0.75070028,0.73879588,0.54000000,0.52702703,0.78000000,0.62903226
22,0.55766040,0.69000000,0.63255814,0.90666667,0.74520548,0.73967201,0.52000000,0.51315789,0.78000000,0.61904762
23,0.54567176,0.77333333,0.77702703,0.76666667,0.77181208,0.70453000,0.52000000,0.52083333,0.50000000,0.51020408
24,0.51389956,0.79333333,0.76829268,0.84000000,0.80254777,0.71115899,0.63000000,0.61403509,0.70000000,0.65420561
25,0.49881506,0.81666667,0.83216783,0.79333333,0.81228669,0.71661162,0.59000000,0.60000000,0.54000000,0.56842105
26,0.61753637,0.61666667,0.56809339,0.97333333,0.71744472,0.85133451,0.52000000,0.51162791,0.88000000,0.64705882
27,0.51017213,0.80333333,0.96907216,0.62666667,0.76113360,0.74062628,0.54000000,0.58333333,0.28000000,0.37837838
28,0.50205493,0.81000000,0.94285714,0.66000000,0.77647059,0.73443466,0.61000000,0.67741935,0.42000000,0.51851852
29,0.54199320,0.68000000,0.62053571,0.92666667,0.74331551,0.80068398,0.57000000,0.54545455,0.84000000,0.66141732
30,0.53011233,0.71666667,0.64840183,0.94666667,0.76964770,0.77562475,0.52000000,0.51351351,0.76000000,0.61290323
31,0.50208241,0.77000000,0.98795181,0.54666667,0.70386266,0.76077670,0.55000000,0.60869565,0.28000000,0.38356164
32,0.45753139,0.81333333,0.76404494,0.90666667,0.82926829,0.75086480,0.56000000,0.54545455,0.72000000,0.62068966
33,0.44769257,0.80000000,0.74456522,0.91333333,0.82035928,0.79391652,0.56000000,0.54545455,0.72000000,0.62068966
34,0.42947417,0.86333333,0.86577181,0.86000000,0.86287625,0.73790008,0.58000000,0.57142857,0.64000000,0.60377358
35,0.48883638,0.76333333,1.00000000,0.52666667,0.68995633,0.80036372,0.54000000,0.61111111,0.22000000,0.32352941
36,0.47804540,0.79000000,0.98876404,0.58666667,0.73640167,0.76794297,0.60000000,0.72727273,0.32000000,0.44444444
37,0.45522603,0.77000000,0.69565217,0.96000000,0.80672269,0.84715652,0.55000000,0.53333333,0.80000000,0.64000000
38,0.39455840,0.88333333,0.95275591,0.80666667,0.87364621,0.76015246,0.57000000,0.58974359,0.46000000,0.51685393
39,0.73600221,0.54666667,1.00000000,0.09333333,0.17073171,1.02335787,0.52000000,0.75000000,0.06000000,0.11111111
