epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69653475,0.50666667,0.50335570,1.00000000,0.66964286,0.70531952,0.49000000,0.49494949,0.98000000,0.65771812
2,0.70440120,0.50000000,0.50000000,0.00666667,0.01315789,0.70898664,0.49000000,0.00000000,0.00000000,0.00000000
3,0.68004107,0.59666667,0.57923497,0.70666667,0.63663664,0.69134271,0.52000000,0.51612903,0.64000000,0.57142857
4,0.68295276,0.58000000,0.54687500,0.93333333,0.68965517,0.69163465,0.57000000,0.54430380,0.86000000,0.66666667
5,0.67815357,0.55000000,0.58426966,0.34666667,0.43514644,0.69711441,0.48000000,0.46666667,0.28000000,0.35000000
6,0.67260128,0.59000000,0.58181818,0.64000000,0.60952381,0.70516747,0.46000000,0.46551724,0.54000000,0.50000000
7,0.67046142,0.60666667,0.56837607,0.88666667,0.69270833,0.68986803,0.55000000,0.53333333,0.80000000,0.64000000
8,0.66518098,0.59666667,0.55776892,0.93333333,0.69825436,0.69818336,0.54000000,0.52325581,0.90000000,0.66176471
9,0.65668100,0.61666667,0.59067358,0.76000000,0.66472303,0.69739729,0.51000000,0.50724638,0.70000000,0.58823529
10,0.67144829,0.56666667,0.53623188,0.98666667,0.69483568,0.70833832,0.51000000,0.50537634,0.94000000,0.65734266
11,0.71166414,0.52333333,0.51194539,1.00000000,0.67720090,0.75394279,0.49000000,0.49484536,0.96000000,0.65306122
12,0.67275310,0.55000000,0.52631579,1.00000000,0.68965517,0.72092241,0.49000000,0.49473684,0.94000000,0.64827586
13,0.64030921,0.65666667,0.60730594,0.88666667,0.72086721,0.70150530,0.54000000,0.52702703,0.78000000,0.62903226
14,0.62986284,0.64000000,0.61797753,0.73333333,0.67073171,0.72257674,0.53000000,0.52459016,0.64000000,0.57657658
15,0.66589499,0.57333333,0.54074074,0.97333333,0.69523810,0.74937850,0.54000000,0.52272727,0.92000000,0.66666667
16,0.65323454,0.61333333,0.56910569,0.93333333,0.70707071,0.70385712,0.51000000,0.50602410,0.84000000,0.63157895
17,0.67117065,0.54666667,0.52447552,1.00000000,0.68807339,0.73012835,0.49000000,0.49484536,0.96000000,0.65306122
