epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69408131,0.51666667,0.50853242,0.99333333,0.67268623,0.71225446,0.50000000,0.50000000,0.98000000,0.66216216
2,0.67866439,0.59000000,0.60975610,0.50000000,0.54945055,0.71224910,0.42000000,0.40909091,0.36000000,0.38297872
3,0.68257195,0.56000000,0.53284672,0.97333333,0.68867925,0.70661557,0.48000000,0.48837209,0.84000000,0.61764706
4,0.67106611,0.61000000,0.60645161,0.62666667,0.61639344,0.71042937,0.43000000,0.43859649,0.50000000,0.46728972
5,0.67879879,0.57333333,0.54166667,0.95333333,0.69082126,0.71995163,0.49000000,0.49425287,0.86000000,0.62773723
6,0.66492939,0.58666667,0.79545455,0.23333333,0.36082474,0.72075057,0.46000000,0.38888889,0.14000000,0.20588235
7,0.68678409,0.51333333,0.83333333,0.03333333,0.06410256,0.74167174,0.51000000,1.00000000,0.02000000,0.03921569
8,0.65187240,0.61333333,0.57203390,0.90000000,0.69948187,0.72284740,0.48000000,0.48750000,0.78000000,0.60000000
9,0.64996433,0.60666667,0.72222222,0.34666667,0.46846847,0.73365510,0.47000000,0.42857143,0.18000000,0.25352113
10,0.65518981,0.60666667,0.56250000,0.96000000,0.70935961,0.72315460,0.47000000,0.48192771,0.80000000,0.60150376
11,0.62670439,0.64333333,0.60093897,0.85333333,0.70523416,0.72929215,0.51000000,0.50666667,0.76000000,0.60800000
12,0.63556206,0.61000000,0.56370656,0.97333333,0.71393643,0.75653738,0.48000000,0.48863636,0.86000000,0.62318841
13,0.63718253,0.73666667,0.69398907,0.84666667,0.76276276,0.70777845,0.53000000,0.52459016,0.64000000,0.57657658
14,0.61214936,0.69333333,0.85365854,0.46666667,0.60344828,0.75355315,0.46000000,0.42857143,0.24000000,0.30769231
15,0.60610473,0.70000000,0.75423729,0.59333333,0.66417910,0.75741553,0.49000000,0.48888889,0.44000000,0.46315789
16,0.60642129,0.67666667,0.61373391,0.95333333,0.74673629,0.74853313,0.50000000,0.50000000,0.80000000,0.61538462
17,0.63123387,0.62333333,0.72289157,0.40000000,0.51502146,0.73822707,0.47000000,0.44000000,0.22000000,0.29333333
18,0.60730278,0.71333333,0.64159292,0.96666667,0.77127660,0.72921836,0.52000000,0.51315789,0.78000000,0.61904762
19,0.67108959,0.58000000,0.54379562,0.99333333,0.70283019,0.79589546,0.47000000,0.48387097,0.90000000,0.62937063
20,0.55990624,0.73666667,0.84466019,0.58000000,0.68774704,0.76488316,0.48000000,0.46666667,0.28000000,0.35000000
21,0.55381542,0.71333333,0.64159292,0.96666667,0.77127660,0.77037489,0.55000000,0.53246753,0.82000000,0.64566929
22,0.52402550,0.79333333,0.73913043,0.90666667,0.81437126,0.78392804,0.50000000,0.50000000,0.64000000,0.56140351
23,0.55029953,0.69000000,0.91304348,0.42000000,0.57534247,0.83734429,0.48000000,0.45000000,0.18000000,0.25714286
24,0.56745499,0.76000000,0.77857143,0.72666667,0.75172414,0.75994664,0.50000000,0.50000000,0.48000000,0.48979592
25,0.85831451,0.52000000,1.00000000,0.04000000,0.07692308,1.19664335,0.51000000,1.00000000,0.02000000,0.03921569
26,0.49736065,0.83000000,0.85611511,0.79333333,0.82352941,0.81359851,0.50000000,0.50000000,0.42000000,0.45652174
27,0.60963726,0.57000000,0.95652174,0.14666667,0.25433526,0.97637868,0.50000000,0.50000000,0.06000000,0.10714286
28,0.47677746,0.81000000,0.77844311,0.86666667,0.82018927,0.83727860,0.51000000,0.50847458,0.60000000,0.55045872
29,0.56550449,0.67666667,0.60728745,1.00000000,0.75566751,0.89722258,0.52000000,0.51190476,0.86000000,0.64179104
30,0.47192943,0.80333333,0.91743119,0.66666667,0.77220077,0.87644935,0.50000000,0.50000000,0.32000000,0.39024390
31,0.43502116,0.86000000,0.84615385,0.88000000,0.86274510,0.81316483,0.54000000,0.54000000,0.54000000,0.54000000
32,0.49850571,0.72000000,0.94594595,0.46666667,0.62500000,0.90171796,0.50000000,0.50000000,0.24000000,0.32432432
33,0.41462585,0.83666667,0.75897436,0.98666667,0.85797101,0.91529340,0.49000000,0.49295775,0.70000000,0.57851240
34,0.44517970,0.79000000,0.70616114,0.99333333,0.82548476,0.96790183,0.53000000,0.52000000,0.78000000,0.62400000
35,0.58779418,0.66333333,0.59760956,1.00000000,0.74812968,0.95227134,0.46000000,0.47727273,0.84000000,0.60869565
36,0.47966903,0.74000000,0.66071429,0.98666667,0.79144385,0.85519224,0.52000000,0.51351351,0.76000000,0.61290323
37,0.41193122,0.81666667,0.74611399,0.96000000,0.83965015,0.95146877,0.50000000,0.50000000,0.68000000,0.57627119
38,0.36006296,0.91000000,0.88679245,0.94000000,0.91262136,0.94244099,0.53000000,0.53191489,0.50000000,0.51546392
39,0.43819290,0.83000000,0.81528662,0.85333333,0.83387622,0.83823401,0.52000000,0.52000000,0.52000000,0.52000000
40,1.10710192,0.56000000,0.53191489,1.00000000,0.69444444,1.56901300,0.49000000,0.49473684,0.94000000,0.64827586
