epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67707431,0.57000000,0.65671642,0.29333333,0.40552995,0.70771009,0.51000000,0.51612903,0.32000000,0.39506173
2,0.66990215,0.60333333,0.68235294,0.38666667,0.49361702,0.70624328,0.55000000,0.58620690,0.34000000,0.43037975
3,0.67498344,0.56333333,0.53505535,0.96666667,0.68883610,0.71200281,0.48000000,0.48863636,0.86000000,0.62318841
4,0.66011637,0.61000000,0.72602740,0.35333333,0.47533632,0.70986098,0.53000000,0.56000000,0.28000000,0.37333333
5,0.65656394,0.61666667,0.57201646,0.92666667,0.70737913,0.70730132,0.52000000,0.51315789,0.78000000,0.61904762
6,0.64611387,0.65666667,0.65562914,0.66000000,0.65780731,0.70515013,0.50000000,0.50000000,0.58000000,0.53703704
7,0.64475632,0.63666667,0.59111111,0.88666667,0.70933333,0.70817876,0.52000000,0.51428571,0.72000000,0.60000000
8,0.65853924,0.54666667,0.85000000,0.11333333,0.20000000,0.73363376,0.50000000,0.50000000,0.12000000,0.19354839
9,0.63903236,0.64333333,0.59071730,0.93333333,0.72351421,0.71218401,0.49000000,0.49350649,0.76000000,0.59842520
10,0.62896848,0.69666667,0.75213675,0.58666667,0.65917603,0.71251333,0.52000000,0.52500000,0.42000000,0.46666667
11,0.62720823,0.67000000,0.61434978,0.91333333,0.73458445,0.70896620,0.51000000,0.50704225,0.72000000,0.59504132
12,0.62892443,0.65333333,0.59745763,0.94000000,0.73056995,0.71938401,0.53000000,0.51898734,0.82000000,0.63565891
13,0.61376071,0.70666667,0.65979381,0.85333333,0.74418605,0.71689630,0.49000000,0.49253731,0.66000000,0.56410256
14,0.61035192,0.71333333,0.72535211,0.68666667,0.70547945,0.71973944,0.49000000,0.48979592,0.48000000,0.48484848
15,0.60977858,0.68666667,0.62727273,0.92000000,0.74594595,0.71925318,0.52000000,0.51315789,0.78000000,0.61904762
16,0.64616990,0.60000000,0.55597015,0.99333333,0.71291866,0.73210889,0.52000000,0.51086957,0.94000000,0.66197183
17,0.60754997,0.67000000,0.61038961,0.94000000,0.74015748,0.72220987,0.54000000,0.52564103,0.82000000,0.64062500
18,0.58923364,0.73333333,0.76923077,0.66666667,0.71428571,0.72339559,0.49000000,0.48888889,0.44000000,0.46315789
19,0.58952504,0.73000000,0.85567010,0.55333333,0.67206478,0.72820681,0.53000000,0.55172414,0.32000000,0.40506329
20,0.57413763,0.76666667,0.71739130,0.88000000,0.79041916,0.71367645,0.53000000,0.52380952,0.66000000,0.58407080
21,0.56775826,0.75333333,0.74358974,0.77333333,0.75816993,0.73054624,0.52000000,0.51851852,0.56000000,0.53846154
22,0.56105399,0.77333333,0.72777778,0.87333333,0.79393939,0.71968764,0.55000000,0.54098361,0.66000000,0.59459459
23,0.57349724,0.74000000,0.90909091,0.53333333,0.67226891,0.73863786,0.54000000,0.58333333,0.28000000,0.37837838
24,0.57504588,0.70000000,0.63043478,0.96666667,0.76315789,0.74950457,0.55000000,0.53246753,0.82000000,0.64566929
25,0.62620312,0.61333333,0.56439394,0.99333333,0.71980676,0.80088991,0.54000000,0.52222222,0.94000000,0.67142857
26,0.68201780,0.52666667,1.00000000,0.05333333,0.10126582,0.86071122,0.50000000,0.50000000,0.04000000,0.07407407
27,0.58790088,0.67333333,0.60569106,0.99333333,0.75252525,0.76293927,0.57000000,0.54320988,0.88000000,0.67175573
28,0.53905636,0.79333333,0.87931034,0.68000000,0.76691729,0.71904570,0.53000000,0.54054054,0.40000000,0.45977011
29,0.54720032,0.75666667,0.93258427,0.55333333,0.69456067,0.76141220,0.49000000,0.48000000,0.24000000,0.32000000
30,0.51103938,0.82666667,0.87692308,0.76000000,0.81428571,0.73389572,0.53000000,0.53488372,0.46000000,0.49462366
31,0.63524818,0.55333333,0.94444444,0.11333333,0.20238095,0.84289861,0.52000000,0.66666667,0.08000000,0.14285714
32,0.54131925,0.71333333,0.95714286,0.44666667,0.60909091,0.76490015,0.53000000,0.57894737,0.22000000,0.31884058
33,0.48548898,0.81666667,0.77142857,0.90000000,0.83076923,0.73800218,0.58000000,0.56666667,0.68000000,0.61818182
34,0.50579160,0.74666667,0.67289720,0.96000000,0.79120879,0.74511039,0.60000000,0.57142857,0.80000000,0.66666667
35,0.49337646,0.78666667,0.92156863,0.62666667,0.74603175,0.77439803,0.50000000,0.50000000,0.28000000,0.35897436
36,0.48705277,0.84000000,0.80722892,0.89333333,0.84810127,0.72015166,0.55000000,0.54716981,0.58000000,0.56310680
37,0.64412284,0.57000000,1.00000000,0.14000000,0.24561404,0.89748472,0.51000000,0.57142857,0.08000000,0.14035088
38,0.49624208,0.76666667,0.96511628,0.55333333,0.70338983,0.78985196,0.53000000,0.56000000,0.28000000,0.37333333
39,0.91323519,0.50666667,1.00000000,0.01333333,0.02631579,1.13525379,0.50000000,0.00000000,0.00000000,0.00000000
40,0.53827959,0.68333333,0.98245614,0.37333333,0.54106280,0.82335120,0.52000000,0.58333333,0.14000000,0.22580645
41,0.52585602,0.72000000,1.00000000,0.44000000,0.61111111,0.84877557,0.52000000,0.56250000,0.18000000,0.27272727
42,0.55527443,0.65000000,1.00000000,0.30000000,0.46153846,0.87097168,0.52000000,0.60000000,0.12000000,0.20000000
43,0.51727217,0.71000000,0.63291139,1.00000000,0.77519380,0.82019645,0.57000000,0.54430380,0.86000000,0.66666667
44,0.46733102,0.76333333,0.68544601,0.97333333,0.80440771,0.79015642,0.62000000,0.58108108,0.86000000,0.69354839
45,0.46489203,0.79000000,0.96774194,0.60000000,0.74074074,0.78526580,0.55000000,0.59259259,0.32000000,0.41558442
