epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68848675,0.53666667,0.60000000,0.22000000,0.32195122,0.69465452,0.47000000,0.42105263,0.16000000,0.23188406
2,0.67995667,0.59333333,0.63725490,0.43333333,0.51587302,0.68520916,0.59000000,0.59574468,0.56000000,0.57731959
3,0.67722297,0.62000000,0.58181818,0.85333333,0.69189189,0.68777388,0.56000000,0.53947368,0.82000000,0.65079365
4,0.67449057,0.61333333,0.56692913,0.96000000,0.71287129,0.68512869,0.58000000,0.54878049,0.90000000,0.68181818
5,0.67066908,0.58000000,0.78571429,0.22000000,0.34375000,0.69419676,0.52000000,0.55555556,0.20000000,0.29411765
6,0.69808155,0.51000000,1.00000000,0.02000000,0.03921569,0.70373243,0.50000000,0.00000000,0.00000000,0.00000000
7,0.67924917,0.53666667,0.78947368,0.10000000,0.17751479,0.70846623,0.53000000,0.66666667,0.12000000,0.20338983
8,0.66830713,0.53666667,0.86666667,0.08666667,0.15757576,0.70776123,0.51000000,0.60000000,0.06000000,0.10909091
9,0.66163778,0.70333333,0.69934641,0.71333333,0.70627063,0.69045579,0.53000000,0.52631579,0.60000000,0.56074766
10,0.64032185,0.71000000,0.81818182,0.54000000,0.65060241,0.69156754,0.50000000,0.50000000,0.38000000,0.43181818
11,0.64027572,0.61000000,0.81132075,0.28666667,0.42364532,0.70431978,0.55000000,0.60869565,0.28000000,0.38356164
12,0.64630497,0.64000000,0.58536585,0.96000000,0.72727273,0.70848572,0.53000000,0.51764706,0.88000000,0.65185185
13,0.62673461,0.66666667,0.63157895,0.80000000,0.70588235,0.73440635,0.51000000,0.50746269,0.68000000,0.58119658
14,0.62406516,0.72333333,0.72789116,0.71333333,0.72053872,0.70142680,0.49000000,0.49056604,0.52000000,0.50485437
15,0.60437614,0.70333333,0.79611650,0.54666667,0.64822134,0.69832516,0.57000000,0.58536585,0.48000000,0.52747253
16,0.62874806,0.63666667,0.74117647,0.42000000,0.53617021,0.71436048,0.53000000,0.55172414,0.32000000,0.40506329
17,0.60625929,0.69333333,0.62608696,0.96000000,0.75789474,0.71911156,0.55000000,0.53086420,0.86000000,0.65648855
18,0.57483107,0.73000000,0.67692308,0.88000000,0.76521739,0.73162347,0.52000000,0.51388889,0.74000000,0.60655738
19,0.58798563,0.70333333,0.64878049,0.88666667,0.74929577,0.72197264,0.55000000,0.53333333,0.80000000,0.64000000
20,0.61318713,0.61000000,0.80000000,0.29333333,0.42926829,0.75229919,0.54000000,0.62500000,0.20000000,0.30303030
21,0.63880092,0.56000000,0.95000000,0.12666667,0.22352941,0.77127624,0.52000000,0.62500000,0.10000000,0.17241379
22,0.56979275,0.72666667,0.83333333,0.56666667,0.67460317,0.77681166,0.53000000,0.54545455,0.36000000,0.43373494
23,0.57848316,0.69666667,0.62770563,0.96666667,0.76115486,0.78270173,0.54000000,0.52500000,0.84000000,0.64615385
24,0.58227652,0.76000000,0.69306931,0.93333333,0.79545455,0.70534539,0.54000000,0.52857143,0.74000000,0.61666667
25,0.67371613,0.60333333,0.55849057,0.98666667,0.71325301,0.87719238,0.50000000,0.50000000,0.92000000,0.64788732
26,0.56568968,0.69000000,0.87012987,0.44666667,0.59030837,0.74482894,0.56000000,0.60000000,0.36000000,0.45000000
