epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68754745,0.55333333,0.55333333,0.55333333,0.55333333,0.69685972,0.49000000,0.49056604,0.52000000,0.50485437
2,0.68355763,0.57000000,0.56953642,0.57333333,0.57142857,0.69677001,0.49000000,0.49090909,0.54000000,0.51428571
3,0.68058956,0.59666667,0.61788618,0.50666667,0.55677656,0.69871610,0.46000000,0.45454545,0.40000000,0.42553191
4,0.67959309,0.60333333,0.79245283,0.28000000,0.41379310,0.69690239,0.50000000,0.50000000,0.24000000,0.32432432
5,0.67732728,0.58333333,0.55364807,0.86000000,0.67362924,0.69588912,0.50000000,0.50000000,0.74000000,0.59677419
6,0.67171204,0.66666667,0.68115942,0.62666667,0.65277778,0.69393116,0.50000000,0.50000000,0.50000000,0.50000000
7,0.66984802,0.67333333,0.64444444,0.77333333,0.70303030,0.69557792,0.51000000,0.50793651,0.64000000,0.56637168
8,0.66681790,0.66666667,0.63586957,0.78000000,0.70059880,0.69449598,0.51000000,0.50769231,0.66000000,0.57391304
9,0.66338271,0.68333333,0.71653543,0.60666667,0.65703971,0.69235814,0.50000000,0.50000000,0.46000000,0.47916667
10,0.65987480,0.70000000,0.69230769,0.72000000,0.70588235,0.69420272,0.50000000,0.50000000,0.60000000,0.54545455
11,0.65981817,0.67666667,0.63054187,0.85333333,0.72521246,0.69636792,0.53000000,0.52112676,0.74000000,0.61157025
12,0.65468836,0.65000000,0.77777778,0.42000000,0.54545455,0.69510919,0.51000000,0.51612903,0.32000000,0.39506173
13,0.64977014,0.74000000,0.77272727,0.68000000,0.72340426,0.69473708,0.52000000,0.52000000,0.52000000,0.52000000
14,0.64629668,0.72000000,0.70625000,0.75333333,0.72903226,0.69445020,0.55000000,0.54237288,0.64000000,0.58715596
15,0.64215517,0.73666667,0.74149660,0.72666667,0.73400673,0.69494301,0.52000000,0.51851852,0.56000000,0.53846154
16,0.64287579,0.69333333,0.64948454,0.84000000,0.73255814,0.69909173,0.52000000,0.51388889,0.74000000,0.60655738
17,0.63491058,0.75000000,0.82608696,0.63333333,0.71698113,0.69540739,0.53000000,0.53658537,0.44000000,0.48351648
18,0.63412416,0.70000000,0.65151515,0.86000000,0.74137931,0.69711739,0.54000000,0.52702703,0.78000000,0.62903226
19,0.62969089,0.74666667,0.72560976,0.79333333,0.75796178,0.69975442,0.52000000,0.51612903,0.64000000,0.57142857
20,0.62307978,0.71000000,0.69090909,0.76000000,0.72380952,0.69795430,0.50000000,0.50000000,0.64000000,0.56140351
21,0.62397361,0.69000000,0.64179104,0.86000000,0.73504274,0.70320988,0.54000000,0.52631579,0.80000000,0.63492063
22,0.61181718,0.74666667,0.74666667,0.74666667,0.74666667,0.70068449,0.49000000,0.49122807,0.56000000,0.52336449
23,0.61686790,0.71333333,0.90000000,0.48000000,0.62608696,0.70712948,0.55000000,0.59259259,0.32000000,0.41558442
24,0.61064571,0.76333333,0.89108911,0.60000000,0.71713147,0.70251477,0.52000000,0.52500000,0.42000000,0.46666667
25,0.59686500,0.73666667,0.70285714,0.82000000,0.75692308,0.70651776,0.52000000,0.51515152,0.68000000,0.58620690
26,0.59369051,0.75000000,0.77777778,0.70000000,0.73684211,0.70519054,0.49000000,0.48979592,0.48000000,0.48484848
27,0.59051341,0.77000000,0.90099010,0.60666667,0.72509960,0.71556789,0.52000000,0.52631579,0.40000000,0.45454545
28,0.59335268,0.75333333,0.94186047,0.54000000,0.68644068,0.71818268,0.51000000,0.51612903,0.32000000,0.39506173
29,0.59959412,0.67333333,0.94827586,0.36666667,0.52884615,0.74208564,0.56000000,0.62500000,0.30000000,0.40540541
30,0.61097878,0.63333333,0.93478261,0.28666667,0.43877551,0.74181366,0.52000000,0.56250000,0.18000000,0.27272727
31,0.57021761,0.73000000,0.66829268,0.91333333,0.77183099,0.72692925,0.53000000,0.51851852,0.84000000,0.64122137
32,0.64498025,0.61000000,0.56273764,0.98666667,0.71670702,0.78367734,0.51000000,0.50561798,0.90000000,0.64748201
33,0.55275035,0.79666667,0.90090090,0.66666667,0.76628352,0.73251218,0.53000000,0.53658537,0.44000000,0.48351648
34,0.55348742,0.74666667,0.68500000,0.91333333,0.78285714,0.73793489,0.54000000,0.52500000,0.84000000,0.64615385
35,0.56519419,0.69333333,0.62719298,0.95333333,0.75661376,0.75330120,0.55000000,0.53012048,0.88000000,0.66165414
36,0.52543563,0.80000000,0.76470588,0.86666667,0.81250000,0.72899228,0.52000000,0.51562500,0.66000000,0.57894737
