epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69035071,0.53000000,0.60975610,0.16666667,0.26178010,0.70180660,0.47000000,0.42105263,0.16000000,0.23188406
2,0.68477422,0.58333333,0.64705882,0.36666667,0.46808511,0.70016557,0.51000000,0.51724138,0.30000000,0.37974684
3,0.68005335,0.57000000,0.54545455,0.84000000,0.66141732,0.69849622,0.49000000,0.49350649,0.76000000,0.59842520
4,0.67422479,0.59666667,0.61068702,0.53333333,0.56939502,0.69798309,0.49000000,0.48979592,0.48000000,0.48484848
5,0.66998833,0.60333333,0.58469945,0.71333333,0.64264264,0.70038778,0.51000000,0.50793651,0.64000000,0.56637168
6,0.66606688,0.64333333,0.69369369,0.51333333,0.59003831,0.70032758,0.52000000,0.52380952,0.44000000,0.47826087
7,0.66356111,0.62000000,0.57692308,0.90000000,0.70312500,0.70612103,0.51000000,0.50649351,0.78000000,0.61417323
8,0.65856320,0.62000000,0.58737864,0.80666667,0.67977528,0.70187742,0.49000000,0.49315068,0.72000000,0.58536585
9,0.65246147,0.66000000,0.63636364,0.74666667,0.68711656,0.70345211,0.52000000,0.51724138,0.60000000,0.55555556
10,0.65764195,0.58333333,0.83783784,0.20666667,0.33155080,0.71216476,0.52000000,0.56250000,0.18000000,0.27272727
11,0.64605224,0.64000000,0.78378378,0.38666667,0.51785714,0.71006286,0.47000000,0.44444444,0.24000000,0.31168831
12,0.64365786,0.61666667,0.71604938,0.38666667,0.50216450,0.70940429,0.48000000,0.46428571,0.26000000,0.33333333
13,0.63288701,0.65666667,0.63128492,0.75333333,0.68693009,0.70692021,0.53000000,0.52459016,0.64000000,0.57657658
14,0.63791424,0.62000000,0.86000000,0.28666667,0.43000000,0.71868408,0.49000000,0.47368421,0.18000000,0.26086957
15,0.62180835,0.69333333,0.71014493,0.65333333,0.68055556,0.71128803,0.51000000,0.50980392,0.52000000,0.51485149
16,0.61482668,0.70666667,0.70945946,0.70000000,0.70469799,0.71104360,0.51000000,0.50980392,0.52000000,0.51485149
17,0.62198031,0.67333333,0.61111111,0.95333333,0.74479167,0.72454208,0.53000000,0.51898734,0.82000000,0.63565891
18,0.62812257,0.60666667,0.88095238,0.24666667,0.38541667,0.73381209,0.52000000,0.57142857,0.16000000,0.25000000
19,0.59854698,0.70666667,0.79245283,0.56000000,0.65625000,0.72445858,0.50000000,0.50000000,0.38000000,0.43181818
20,0.58990556,0.74333333,0.75524476,0.72000000,0.73720137,0.72028220,0.49000000,0.48979592,0.48000000,0.48484848
21,0.69739747,0.53000000,1.00000000,0.06000000,0.11320755,0.81707311,0.49000000,0.40000000,0.04000000,0.07272727
22,0.58314729,0.73000000,0.83495146,0.57333333,0.67984190,0.72521222,0.50000000,0.50000000,0.34000000,0.40476190
23,0.57400817,0.76333333,0.74233129,0.80666667,0.77316294,0.72761184,0.50000000,0.50000000,0.60000000,0.54545455
24,0.57497263,0.71666667,0.87356322,0.50666667,0.64135021,0.74045593,0.50000000,0.50000000,0.32000000,0.39024390
25,0.57098186,0.72000000,0.92307692,0.48000000,0.63157895,0.74700165,0.50000000,0.50000000,0.26000000,0.34210526
26,0.58676344,0.65333333,0.94230769,0.32666667,0.48514851,0.77096015,0.49000000,0.47619048,0.20000000,0.28169014
27,0.55897099,0.72666667,0.66037736,0.93333333,0.77348066,0.76080245,0.54000000,0.52702703,0.78000000,0.62903226
28,0.65431410,0.54666667,1.00000000,0.09333333,0.17073171,0.83047324,0.50000000,0.50000000,0.06000000,0.10714286
29,0.62048972,0.56666667,0.95454545,0.14000000,0.24418605,0.81477898,0.51000000,0.54545455,0.12000000,0.19672131
30,0.54897624,0.73000000,0.65333333,0.98000000,0.78400000,0.76358986,0.57000000,0.54666667,0.82000000,0.65600000
31,0.51133543,0.82333333,0.87596899,0.75333333,0.81003584,0.75038993,0.51000000,0.51162791,0.44000000,0.47311828
32,0.51102245,0.81666667,0.80254777,0.84000000,0.82084691,0.74361265,0.51000000,0.50943396,0.54000000,0.52427184
33,0.50769758,0.78000000,0.92857143,0.60666667,0.73387097,0.77757871,0.48000000,0.47058824,0.32000000,0.38095238
34,0.59295291,0.61000000,0.97142857,0.22666667,0.36756757,0.87303191,0.51000000,0.54545455,0.12000000,0.19672131
35,0.49382764,0.82000000,0.86923077,0.75333333,0.80714286,0.78576040,0.45000000,0.43902439,0.36000000,0.39560440
36,0.50139254,0.77000000,0.79562044,0.72666667,0.75958188,0.78222340,0.54000000,0.54761905,0.46000000,0.50000000
37,0.46992505,0.82333333,0.80503145,0.85333333,0.82847896,0.77268338,0.55000000,0.54901961,0.56000000,0.55445545
38,0.61564189,0.58666667,0.96428571,0.18000000,0.30337079,0.92145187,0.50000000,0.50000000,0.10000000,0.16666667
39,0.57263291,0.68000000,0.61065574,0.99333333,0.75634518,0.88159287,0.52000000,0.51190476,0.86000000,0.64179104
40,0.48190206,0.78000000,0.95652174,0.58666667,0.72727273,0.81415349,0.52000000,0.53125000,0.34000000,0.41463415
41,0.43493983,0.86666667,0.84810127,0.89333333,0.87012987,0.78621507,0.51000000,0.50943396,0.54000000,0.52427184
42,0.46076337,0.82000000,0.84782609,0.78000000,0.81250000,0.79899257,0.53000000,0.53658537,0.44000000,0.48351648
43,0.50580335,0.75333333,0.67431193,0.98000000,0.79891304,0.84508705,0.56000000,0.54054054,0.80000000,0.64516129
44,0.47759289,0.75333333,0.95238095,0.53333333,0.68376068,0.85979444,0.51000000,0.52000000,0.26000000,0.34666667
45,0.48050031,0.77333333,0.68981481,0.99333333,0.81420765,0.85291100,0.59000000,0.56164384,0.82000000,0.66666667
46,0.39861336,0.88666667,0.89189189,0.88000000,0.88590604,0.80927503,0.54000000,0.54545455,0.48000000,0.51063830
47,0.55863577,0.63666667,1.00000000,0.27333333,0.42931937,0.99488938,0.50000000,0.50000000,0.12000000,0.19354839
48,0.42703706,0.81666667,0.73869347,0.98000000,0.84240688,0.86710292,0.57000000,0.55072464,0.76000000,0.63865546
49,0.36857629,0.89666667,0.92198582,0.86666667,0.89347079,0.84439820,0.51000000,0.51219512,0.42000000,0.46153846
50,0.47654817,0.77666667,0.69302326,0.99333333,0.81643836,0.91176444,0.56000000,0.54054054,0.80000000,0.64516129
51,0.37730497,0.87666667,0.97478992,0.77333333,0.86245353,0.89536518,0.48000000,0.46666667,0.28000000,0.35000000
52,0.52181679,0.72333333,0.64502165,0.99333333,0.78215223,0.97705525,0.54000000,0.52500000,0.84000000,0.64615385
53,0.36384156,0.86000000,0.79347826,0.97333333,0.87425150,0.88177198,0.59000000,0.57142857,0.72000000,0.63716814
54,0.56020981,0.67666667,1.00000000,0.35333333,0.52216749,1.05657542,0.48000000,0.43750000,0.14000000,0.21212121
55,0.34231028,0.90666667,0.96923077,0.84000000,0.90000000,0.91534895,0.49000000,0.48484848,0.32000000,0.38554217
56,0.63632333,0.63666667,0.57915058,1.00000000,0.73349633,1.11146653,0.55000000,0.53012048,0.88000000,0.66165414
57,0.32608199,0.91000000,0.88679245,0.94000000,0.91262136,0.87661475,0.54000000,0.54000000,0.54000000,0.54000000
58,0.30806443,0.92000000,0.89375000,0.95333333,0.92258065,0.92280066,0.50000000,0.50000000,0.52000000,0.50980392
59,0.33423159,0.91333333,0.92465753,0.90000000,0.91216216,0.89377493,0.49000000,0.48717949,0.38000000,0.42696629
60,0.33833918,0.89000000,0.98347107,0.79333333,0.87822878,0.98112607,0.48000000,0.46428571,0.26000000,0.33333333
61,0.39465812,0.79000000,1.00000000,0.58000000,0.73417722,1.06241381,0.49000000,0.47058824,0.16000000,0.23880597
62,0.50223047,0.72666667,0.64655172,1.00000000,0.78534031,1.05440700,0.57000000,0.54430380,0.86000000,0.66666667
63,0.66895854,0.59000000,1.00000000,0.18000000,0.30508475,1.27144694,0.52000000,0.60000000,0.12000000,0.20000000
