epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69045287,0.54666667,0.55384615,0.48000000,0.51428571,0.69478512,0.54000000,0.54545455,0.48000000,0.51063830
2,0.68763447,0.53333333,0.52049180,0.84666667,0.64467005,0.69766027,0.53000000,0.51807229,0.86000000,0.64661654
3,0.68377250,0.56000000,0.55696203,0.58666667,0.57142857,0.69577104,0.52000000,0.51612903,0.64000000,0.57142857
4,0.68213654,0.55666667,0.53386454,0.89333333,0.66832918,0.69838905,0.52000000,0.51190476,0.86000000,0.64179104
5,0.68232292,0.58000000,0.74000000,0.24666667,0.37000000,0.69967437,0.47000000,0.42105263,0.16000000,0.23188406
6,0.68314910,0.55333333,0.78571429,0.14666667,0.24719101,0.70158905,0.46000000,0.33333333,0.08000000,0.12903226
7,0.67382950,0.61333333,0.67708333,0.43333333,0.52845528,0.69567364,0.45000000,0.44186047,0.38000000,0.40860215
8,0.67090130,0.63333333,0.60752688,0.75333333,0.67261905,0.69616264,0.49000000,0.49230769,0.64000000,0.55652174
9,0.66914773,0.61333333,0.67708333,0.43333333,0.52845528,0.69719076,0.46000000,0.45454545,0.40000000,0.42553191
10,0.67059976,0.60333333,0.79245283,0.28000000,0.41379310,0.70149595,0.48000000,0.45454545,0.20000000,0.27777778
11,0.66584843,0.61333333,0.70238095,0.39333333,0.50427350,0.69895107,0.46000000,0.44117647,0.30000000,0.35714286
12,0.66368824,0.63000000,0.58744395,0.87333333,0.70241287,0.70078611,0.51000000,0.50632911,0.80000000,0.62015504
13,0.66038394,0.65000000,0.61194030,0.82000000,0.70085470,0.70168030,0.50000000,0.50000000,0.72000000,0.59016393
14,0.66227859,0.61000000,0.56734694,0.92666667,0.70379747,0.70522839,0.53000000,0.51724138,0.90000000,0.65693431
15,0.65972406,0.62333333,0.57613169,0.93333333,0.71246819,0.70464522,0.55000000,0.52941176,0.90000000,0.66666667
16,0.65654808,0.63666667,0.58798283,0.91333333,0.71540470,0.70366436,0.51000000,0.50617284,0.82000000,0.62595420
17,0.65417379,0.62666667,0.71590909,0.42000000,0.52941176,0.70302796,0.44000000,0.42500000,0.34000000,0.37777778
18,0.64991730,0.64333333,0.59728507,0.88000000,0.71159030,0.70740348,0.48000000,0.48684211,0.74000000,0.58730159
19,0.66661358,0.56666667,0.85714286,0.16000000,0.26966292,0.71785587,0.52000000,0.60000000,0.12000000,0.20000000
20,0.64581954,0.65333333,0.60087719,0.91333333,0.72486772,0.70912015,0.48000000,0.48684211,0.74000000,0.58730159
21,0.64431292,0.64666667,0.78205128,0.40666667,0.53508772,0.70735866,0.44000000,0.39285714,0.22000000,0.28205128
22,0.63609946,0.70333333,0.70469799,0.70000000,0.70234114,0.70732665,0.45000000,0.45454545,0.50000000,0.47619048
23,0.63284415,0.70333333,0.67836257,0.77333333,0.72274143,0.70717514,0.49000000,0.49206349,0.62000000,0.54867257
24,0.64160424,0.62666667,0.57786885,0.94000000,0.71573604,0.71889359,0.51000000,0.50574713,0.88000000,0.64233577
25,0.69671196,0.51333333,0.50675676,1.00000000,0.67264574,0.76741558,0.48000000,0.48979592,0.96000000,0.64864865
26,0.62513793,0.73000000,0.70175439,0.80000000,0.74766355,0.70847619,0.49000000,0.49230769,0.64000000,0.55652174
27,0.62052655,0.71333333,0.68823529,0.78000000,0.73125000,0.71011686,0.49000000,0.49206349,0.62000000,0.54867257
28,0.61677444,0.73333333,0.70833333,0.79333333,0.74842767,0.71041191,0.48000000,0.48387097,0.60000000,0.53571429
29,0.61619192,0.72333333,0.66502463,0.90000000,0.76487252,0.71665311,0.49000000,0.49295775,0.70000000,0.57851240
30,0.61660975,0.67000000,0.78651685,0.46666667,0.58577406,0.72032589,0.43000000,0.39393939,0.26000000,0.31325301
31,0.61034209,0.73000000,0.66995074,0.90666667,0.77053824,0.72287077,0.50000000,0.50000000,0.72000000,0.59016393
32,0.60220265,0.74000000,0.76086957,0.70000000,0.72916667,0.71513915,0.44000000,0.44230769,0.46000000,0.45098039
33,0.62835580,0.62000000,0.57200000,0.95333333,0.71500000,0.74834716,0.51000000,0.50588235,0.86000000,0.63703704
34,0.59418821,0.76000000,0.80468750,0.68666667,0.74100719,0.72196972,0.45000000,0.44897959,0.44000000,0.44444444
35,0.60290742,0.67000000,0.82278481,0.43333333,0.56768559,0.72948545,0.46000000,0.42857143,0.24000000,0.30769231
36,0.58973461,0.74000000,0.79508197,0.64666667,0.71323529,0.72955853,0.44000000,0.42500000,0.34000000,0.37777778
37,0.58834970,0.71333333,0.65384615,0.90666667,0.75977654,0.73116904,0.49000000,0.49333333,0.74000000,0.59200000
38,0.57552868,0.76333333,0.73652695,0.82000000,0.77602524,0.72457761,0.45000000,0.45762712,0.54000000,0.49541284
39,0.59914011,0.66666667,0.90322581,0.37333333,0.52830189,0.74495643,0.53000000,0.60000000,0.18000000,0.27692308
40,0.57285291,0.74333333,0.85436893,0.58666667,0.69565217,0.73055351,0.50000000,0.50000000,0.32000000,0.39024390
41,0.56631958,0.76333333,0.71823204,0.86666667,0.78549849,0.72750556,0.45000000,0.46153846,0.60000000,0.52173913
42,0.55820334,0.79666667,0.82962963,0.74666667,0.78596491,0.72956264,0.47000000,0.46938776,0.46000000,0.46464646
43,0.55487752,0.77666667,0.85470085,0.66666667,0.74906367,0.73330933,0.49000000,0.48780488,0.40000000,0.43956044
44,0.54680884,0.78000000,0.75301205,0.83333333,0.79113924,0.74085999,0.41000000,0.42105263,0.48000000,0.44859813
45,0.56566298,0.71000000,0.64125561,0.95333333,0.76675603,0.75204521,0.51000000,0.50617284,0.82000000,0.62595420
46,0.54729676,0.75333333,0.69387755,0.90666667,0.78612717,0.74895734,0.46000000,0.47222222,0.68000000,0.55737705
47,0.56307662,0.68333333,0.87671233,0.42666667,0.57399103,0.75385082,0.51000000,0.52380952,0.22000000,0.30985915
48,0.58784986,0.65333333,0.97916667,0.31333333,0.47474747,0.77715898,0.52000000,0.57142857,0.16000000,0.25000000
49,0.53252542,0.77666667,0.71727749,0.91333333,0.80351906,0.75689572,0.42000000,0.43939394,0.58000000,0.50000000
50,0.54322541,0.73000000,0.65753425,0.96000000,0.78048780,0.78085691,0.48000000,0.48717949,0.76000000,0.59375000
