epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68613201,0.57000000,0.59130435,0.45333333,0.51320755,0.70023894,0.48000000,0.47619048,0.40000000,0.43478261
2,0.68242413,0.56000000,0.54500000,0.72666667,0.62285714,0.70358616,0.40000000,0.42424242,0.56000000,0.48275862
3,0.67985862,0.56333333,0.54337900,0.79333333,0.64498645,0.70538282,0.46000000,0.47368421,0.72000000,0.57142857
4,0.67645919,0.57666667,0.55203620,0.81333333,0.65768194,0.70591909,0.43000000,0.45205479,0.66000000,0.53658537
5,0.67405009,0.62000000,0.70930233,0.40666667,0.51694915,0.70801938,0.45000000,0.41379310,0.24000000,0.30379747
6,0.67190015,0.63666667,0.77333333,0.38666667,0.51555556,0.71059555,0.46000000,0.42857143,0.24000000,0.30769231
7,0.66579640,0.66666667,0.67605634,0.64000000,0.65753425,0.70498765,0.48000000,0.48076923,0.50000000,0.49019608
8,0.66358775,0.65000000,0.61658031,0.79333333,0.69387755,0.70124441,0.49000000,0.49230769,0.64000000,0.55652174
9,0.65876520,0.67333333,0.67105263,0.68000000,0.67549669,0.70702869,0.47000000,0.47272727,0.52000000,0.49523810
10,0.66163218,0.63000000,0.83050847,0.32666667,0.46889952,0.71117139,0.53000000,0.57894737,0.22000000,0.31884058
11,0.65361124,0.67666667,0.64171123,0.80000000,0.71216617,0.70037156,0.50000000,0.50000000,0.64000000,0.56140351
12,0.64743966,0.70000000,0.71428571,0.66666667,0.68965517,0.70322305,0.53000000,0.52941176,0.54000000,0.53465347
13,0.64227426,0.70333333,0.69677419,0.72000000,0.70819672,0.70569092,0.50000000,0.50000000,0.54000000,0.51923077
14,0.63774770,0.69666667,0.67664671,0.75333333,0.71293375,0.70453596,0.49000000,0.49122807,0.56000000,0.52336449
15,0.63744235,0.67333333,0.62621359,0.86000000,0.72471910,0.70354921,0.50000000,0.50000000,0.64000000,0.56140351
16,0.63247186,0.67333333,0.62745098,0.85333333,0.72316384,0.71539360,0.49000000,0.49275362,0.68000000,0.57142857
17,0.62393910,0.73333333,0.70833333,0.79333333,0.74842767,0.71049833,0.48000000,0.48148148,0.52000000,0.50000000
18,0.62050742,0.71000000,0.65671642,0.88000000,0.75213675,0.71650630,0.50000000,0.50000000,0.66000000,0.56896552
19,0.62716138,0.67333333,0.60833333,0.97333333,0.74871795,0.71750104,0.47000000,0.48051948,0.74000000,0.58267717
20,0.60714507,0.75666667,0.73913043,0.79333333,0.76527331,0.70898664,0.54000000,0.54000000,0.54000000,0.54000000
21,0.61168319,0.70000000,0.63043478,0.96666667,0.76315789,0.72382164,0.47000000,0.48000000,0.72000000,0.57600000
22,0.60477686,0.71333333,0.77118644,0.60666667,0.67910448,0.71900421,0.56000000,0.58333333,0.42000000,0.48837209
23,0.59171122,0.75000000,0.73006135,0.79333333,0.76038339,0.72234452,0.53000000,0.53191489,0.50000000,0.51546392
24,0.58892608,0.72333333,0.65876777,0.92666667,0.77008310,0.73147643,0.50000000,0.50000000,0.68000000,0.57627119
25,0.59325999,0.68666667,0.96666667,0.38666667,0.55238095,0.73553491,0.51000000,0.52631579,0.20000000,0.28985507
26,0.63519269,0.55333333,1.00000000,0.10666667,0.19277108,0.77205479,0.49000000,0.33333333,0.02000000,0.03773585
27,0.56347209,0.75333333,0.70000000,0.88666667,0.78235294,0.73758042,0.51000000,0.50819672,0.62000000,0.55855856
28,0.57388836,0.70333333,0.92957746,0.44000000,0.59728507,0.75163919,0.53000000,0.57142857,0.24000000,0.33802817
29,0.56184202,0.73666667,0.89010989,0.54000000,0.67219917,0.73650712,0.56000000,0.60000000,0.36000000,0.45000000
30,0.54865360,0.77000000,0.70149254,0.94000000,0.80341880,0.74821824,0.52000000,0.51515152,0.68000000,0.58620690
31,0.55313307,0.74000000,0.66513761,0.96666667,0.78804348,0.76815212,0.49000000,0.49315068,0.72000000,0.58536585
32,0.52210975,0.80333333,0.75706215,0.89333333,0.81957187,0.74490011,0.54000000,0.53571429,0.60000000,0.56603774
33,0.51023847,0.81666667,0.84172662,0.78000000,0.80968858,0.75593412,0.52000000,0.52500000,0.42000000,0.46666667
34,0.50676167,0.82333333,0.76795580,0.92666667,0.83987915,0.75888836,0.56000000,0.55172414,0.64000000,0.59259259
35,0.51240194,0.80333333,0.88888889,0.69333333,0.77902622,0.76968640,0.54000000,0.55000000,0.44000000,0.48888889
36,0.48375550,0.83333333,0.78735632,0.91333333,0.84567901,0.77801144,0.52000000,0.51923077,0.54000000,0.52941176
37,0.47280940,0.85000000,0.81818182,0.90000000,0.85714286,0.76936340,0.55000000,0.54716981,0.58000000,0.56310680
38,0.53060079,0.69666667,0.96825397,0.40666667,0.57276995,0.83834332,0.54000000,0.61111111,0.22000000,0.32352941
39,0.49926311,0.80333333,0.74594595,0.92000000,0.82388060,0.76006001,0.53000000,0.52307692,0.68000000,0.59130435
40,0.45439902,0.84666667,0.91269841,0.76666667,0.83333333,0.79328549,0.53000000,0.53658537,0.44000000,0.48351648
41,0.59897745,0.62000000,0.97368421,0.24666667,0.39361702,0.92746389,0.48000000,0.37500000,0.06000000,0.10344828
42,0.47119182,0.83000000,0.90243902,0.74000000,0.81318681,0.77828473,0.55000000,0.56097561,0.46000000,0.50549451
43,0.47668457,0.77000000,0.68837209,0.98666667,0.81095890,0.87709081,0.52000000,0.51351351,0.76000000,0.61290323
44,0.42988363,0.84666667,0.78888889,0.94666667,0.86060606,0.82369584,0.48000000,0.47916667,0.46000000,0.46938776
45,0.45766795,0.78333333,0.70142180,0.98666667,0.81994460,0.85610092,0.52000000,0.51388889,0.74000000,0.60655738
46,0.50072789,0.71333333,0.98484848,0.43333333,0.60185185,0.87759852,0.51000000,0.52941176,0.18000000,0.26865672
47,0.38882157,0.90666667,0.88607595,0.93333333,0.90909091,0.84398007,0.53000000,0.53191489,0.50000000,0.51546392
48,0.36966965,0.90000000,0.90540541,0.89333333,0.89932886,0.85958034,0.52000000,0.52173913,0.48000000,0.50000000
49,0.41803840,0.82333333,0.98989899,0.65333333,0.78714859,0.88985533,0.53000000,0.56521739,0.26000000,0.35616438
50,0.43823427,0.77666667,0.69302326,0.99333333,0.81643836,0.94570488,0.52000000,0.51351351,0.76000000,0.61290323
51,0.37254182,0.88333333,0.97520661,0.78666667,0.87084871,0.90189034,0.51000000,0.51612903,0.32000000,0.39506173
52,0.69455087,0.61333333,1.00000000,0.22666667,0.36956522,1.07785797,0.53000000,0.66666667,0.12000000,0.20338983
