epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68830222,0.52000000,0.63636364,0.09333333,0.16279070,0.69106632,0.53000000,0.63636364,0.14000000,0.22950820
2,0.68240380,0.54666667,0.58536585,0.32000000,0.41379310,0.69079238,0.54000000,0.55882353,0.38000000,0.45238095
3,0.69418186,0.51333333,0.50675676,1.00000000,0.67264574,0.70317608,0.50000000,0.50000000,1.00000000,0.66666667
4,0.67579013,0.63666667,0.63398693,0.64666667,0.64026403,0.69067353,0.57000000,0.56603774,0.60000000,0.58252427
5,0.67249721,0.63333333,0.65384615,0.56666667,0.60714286,0.69186306,0.58000000,0.58333333,0.56000000,0.57142857
6,0.66946536,0.63666667,0.61581921,0.72666667,0.66666667,0.69280821,0.53000000,0.52459016,0.64000000,0.57657658
7,0.66989654,0.61000000,0.56680162,0.93333333,0.70528967,0.69303590,0.54000000,0.52500000,0.84000000,0.64615385
8,0.66344303,0.63000000,0.66386555,0.52666667,0.58736059,0.69249421,0.57000000,0.57446809,0.54000000,0.55670103
9,0.66057593,0.65666667,0.67153285,0.61333333,0.64111498,0.69329762,0.56000000,0.56250000,0.54000000,0.55102041
10,0.66008294,0.64333333,0.59227468,0.92000000,0.72062663,0.69499815,0.53000000,0.52000000,0.78000000,0.62400000
11,0.65343022,0.66000000,0.63043478,0.77333333,0.69461078,0.69711822,0.52000000,0.51562500,0.66000000,0.57894737
12,0.64994496,0.67000000,0.71428571,0.56666667,0.63197026,0.69438183,0.55000000,0.55319149,0.52000000,0.53608247
13,0.65356642,0.58000000,0.74000000,0.24666667,0.37000000,0.70639431,0.47000000,0.43478261,0.20000000,0.27397260
14,0.65233916,0.64000000,0.58750000,0.94000000,0.72307692,0.69679123,0.57000000,0.54545455,0.84000000,0.66141732
15,0.64809406,0.64666667,0.58943089,0.96666667,0.73232323,0.70216650,0.55000000,0.53012048,0.88000000,0.66165414
16,0.63392287,0.67000000,0.62318841,0.86000000,0.72268908,0.70214063,0.53000000,0.52238806,0.70000000,0.59829060
17,0.64848095,0.63000000,0.57587549,0.98666667,0.72727273,0.71430123,0.52000000,0.51136364,0.90000000,0.65217391
18,0.62394226,0.67333333,0.74074074,0.53333333,0.62015504,0.70812851,0.54000000,0.54761905,0.46000000,0.50000000
19,0.64455712,0.57666667,0.76744186,0.22000000,0.34196891,0.73400742,0.48000000,0.45000000,0.18000000,0.25714286
20,0.61002481,0.73666667,0.75177305,0.70666667,0.72852234,0.70720005,0.54000000,0.54000000,0.54000000,0.54000000
21,0.66750836,0.55000000,0.82608696,0.12666667,0.21965318,0.76568913,0.51000000,0.55555556,0.10000000,0.16949153
22,0.60132486,0.71333333,0.66326531,0.86666667,0.75144509,0.71762985,0.51000000,0.50769231,0.66000000,0.57391304
23,0.60089123,0.74000000,0.68181818,0.90000000,0.77586207,0.71268982,0.53000000,0.52238806,0.70000000,0.59829060
24,0.60361189,0.63666667,0.77333333,0.38666667,0.51555556,0.73940700,0.48000000,0.46666667,0.28000000,0.35000000
25,0.59798110,0.67666667,0.61572052,0.94000000,0.74406332,0.72110420,0.53000000,0.51948052,0.80000000,0.62992126
26,0.73337644,0.53333333,1.00000000,0.06666667,0.12500000,0.86245084,0.50000000,0.50000000,0.04000000,0.07407407
27,0.57367903,0.78333333,0.72251309,0.92000000,0.80938416,0.71623921,0.52000000,0.51470588,0.70000000,0.59322034
28,0.56163305,0.73666667,0.76296296,0.68666667,0.72280702,0.73960614,0.50000000,0.50000000,0.46000000,0.47916667
29,0.63921940,0.61000000,0.56179775,1.00000000,0.71942446,0.78910041,0.49000000,0.49450549,0.90000000,0.63829787
30,0.58205891,0.67333333,0.60833333,0.97333333,0.74871795,0.73898780,0.51000000,0.50617284,0.82000000,0.62595420
31,0.57928115,0.66333333,0.60082305,0.97333333,0.74300254,0.76137024,0.51000000,0.50602410,0.84000000,0.63157895
32,0.54725730,0.72333333,0.65581395,0.94000000,0.77260274,0.74132168,0.55000000,0.53333333,0.80000000,0.64000000
33,0.53599602,0.78000000,0.71000000,0.94666667,0.81142857,0.75789189,0.52000000,0.51351351,0.76000000,0.61290323
34,0.51862061,0.83333333,0.86231884,0.79333333,0.82638889,0.73328412,0.55000000,0.56097561,0.46000000,0.50549451
35,0.53069878,0.76000000,0.68224299,0.97333333,0.80219780,0.75474054,0.53000000,0.52054795,0.76000000,0.61788618
36,0.51771849,0.74666667,0.87755102,0.57333333,0.69354839,0.76856136,0.54000000,0.57142857,0.32000000,0.41025641
37,0.49540225,0.83000000,0.76470588,0.95333333,0.84866469,0.75310636,0.53000000,0.52238806,0.70000000,0.59829060
38,0.47980410,0.85333333,0.81927711,0.90666667,0.86075949,0.74825543,0.57000000,0.56140351,0.64000000,0.59813084
39,0.47953045,0.83000000,0.79289941,0.89333333,0.84012539,0.76468074,0.54000000,0.53571429,0.60000000,0.56603774
40,0.48513964,0.81666667,0.74111675,0.97333333,0.84149856,0.77127326,0.54000000,0.52777778,0.76000000,0.62295082
