epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69476885,0.50333333,0.50370370,0.45333333,0.47719298,0.68828291,0.55000000,0.58064516,0.36000000,0.44444444
2,0.69068319,0.52666667,0.52857143,0.49333333,0.51034483,0.68865418,0.56000000,0.58333333,0.42000000,0.48837209
3,0.69037694,0.50666667,0.52380952,0.14666667,0.22916667,0.69366318,0.50000000,0.50000000,0.10000000,0.16666667
4,0.68723887,0.51666667,0.56756757,0.14000000,0.22459893,0.69522381,0.51000000,0.55555556,0.10000000,0.16949153
5,0.68445444,0.54000000,0.63043478,0.19333333,0.29591837,0.69539839,0.48000000,0.41666667,0.10000000,0.16129032
6,0.68240970,0.53333333,0.52016129,0.86000000,0.64824121,0.69369245,0.50000000,0.50000000,0.84000000,0.62686567
7,0.67904043,0.53333333,0.52212389,0.78666667,0.62765957,0.69369733,0.49000000,0.49350649,0.76000000,0.59842520
8,0.67702055,0.57666667,0.56020942,0.71333333,0.62756598,0.69387054,0.53000000,0.52238806,0.70000000,0.59829060
9,0.67406833,0.62000000,0.60588235,0.68666667,0.64375000,0.69591171,0.54000000,0.53333333,0.64000000,0.58181818
10,0.67192709,0.62333333,0.61935484,0.64000000,0.62950820,0.69744033,0.55000000,0.54545455,0.60000000,0.57142857
11,0.68284935,0.54666667,0.52464789,0.99333333,0.68663594,0.70523405,0.50000000,0.50000000,0.92000000,0.64788732
12,0.66876096,0.62333333,0.60109290,0.73333333,0.66066066,0.69659263,0.52000000,0.51562500,0.66000000,0.57894737
13,0.66687828,0.66666667,0.66891892,0.66000000,0.66442953,0.69856328,0.52000000,0.52083333,0.50000000,0.51020408
14,0.66913980,0.57000000,0.54150198,0.91333333,0.67990074,0.70284939,0.46000000,0.47560976,0.78000000,0.59090909
15,0.66331017,0.62666667,0.60106383,0.75333333,0.66863905,0.69864148,0.51000000,0.50746269,0.68000000,0.58119658
16,0.66233194,0.59000000,0.56459330,0.78666667,0.65738162,0.70043153,0.50000000,0.50000000,0.72000000,0.59016393
17,0.65886009,0.68666667,0.68666667,0.68666667,0.68666667,0.69953072,0.55000000,0.54901961,0.56000000,0.55445545
18,0.67011356,0.55000000,0.74193548,0.15333333,0.25414365,0.71221024,0.51000000,0.55555556,0.10000000,0.16949153
19,0.66956687,0.56000000,0.53260870,0.98000000,0.69014085,0.70903981,0.49000000,0.49438202,0.88000000,0.63309353
20,0.65966624,0.59000000,0.72881356,0.28666667,0.41148325,0.70818174,0.48000000,0.43750000,0.14000000,0.21212121
21,0.65608001,0.60000000,0.74193548,0.30666667,0.43396226,0.70941895,0.50000000,0.50000000,0.18000000,0.26470588
22,0.65705866,0.59000000,0.76470588,0.26000000,0.38805970,0.71125561,0.49000000,0.46153846,0.12000000,0.19047619
23,0.65483755,0.59666667,0.78431373,0.26666667,0.39800995,0.70808226,0.50000000,0.50000000,0.14000000,0.21875000
24,0.64467949,0.68000000,0.72881356,0.57333333,0.64179104,0.70531768,0.53000000,0.54285714,0.38000000,0.44705882
25,0.64363921,0.67666667,0.64324324,0.79333333,0.71044776,0.70407772,0.53000000,0.52238806,0.70000000,0.59829060
26,0.64032841,0.68333333,0.65714286,0.76666667,0.70769231,0.70306164,0.54000000,0.53333333,0.64000000,0.58181818
27,0.63736665,0.67000000,0.63350785,0.80666667,0.70967742,0.70584267,0.50000000,0.50000000,0.70000000,0.58333333
28,0.63422972,0.68666667,0.65384615,0.79333333,0.71686747,0.70615143,0.51000000,0.50819672,0.62000000,0.55855856
29,0.63047868,0.69000000,0.67924528,0.72000000,0.69902913,0.71123052,0.46000000,0.46296296,0.50000000,0.48076923
30,0.64446419,0.60666667,0.83333333,0.26666667,0.40404040,0.72565657,0.48000000,0.42857143,0.12000000,0.18750000
31,0.62600768,0.71000000,0.74418605,0.64000000,0.68817204,0.71087325,0.49000000,0.48837209,0.42000000,0.45161290
32,0.64008933,0.61666667,0.84313725,0.28666667,0.42786070,0.72554493,0.52000000,0.57142857,0.16000000,0.25000000
33,0.62351584,0.66666667,0.61792453,0.87333333,0.72375691,0.71730793,0.46000000,0.47297297,0.70000000,0.56451613
34,0.62209046,0.67333333,0.80232558,0.46000000,0.58474576,0.72055405,0.57000000,0.62068966,0.36000000,0.45569620
35,0.73627394,0.50333333,1.00000000,0.00666667,0.01324503,0.81109267,0.50000000,0.00000000,0.00000000,0.00000000
36,0.63780451,0.59666667,0.55513308,0.97333333,0.70702179,0.72642660,0.48000000,0.48863636,0.86000000,0.62318841
37,0.60829765,0.70666667,0.65979381,0.85333333,0.74418605,0.71569258,0.50000000,0.50000000,0.70000000,0.58333333
38,0.66234744,0.55666667,0.90476190,0.12666667,0.22222222,0.76367331,0.51000000,0.57142857,0.08000000,0.14035088
39,0.60430944,0.70000000,0.64705882,0.88000000,0.74576271,0.72164398,0.47000000,0.47945205,0.70000000,0.56910569
40,0.68517417,0.56000000,0.53191489,1.00000000,0.69444444,0.77378094,0.48000000,0.48958333,0.94000000,0.64383562
41,0.59271383,0.73333333,0.70348837,0.80666667,0.75155280,0.71807885,0.53000000,0.52631579,0.60000000,0.56074766
42,0.58848143,0.76333333,0.76158940,0.76666667,0.76411960,0.72137684,0.51000000,0.50909091,0.56000000,0.53333333
43,0.58578318,0.75000000,0.79069767,0.68000000,0.73118280,0.72731644,0.50000000,0.50000000,0.40000000,0.44444444
44,0.58719152,0.73333333,0.67676768,0.89333333,0.77011494,0.72339004,0.51000000,0.50724638,0.70000000,0.58823529
45,0.57671380,0.77333333,0.76973684,0.78000000,0.77483444,0.71886039,0.53000000,0.52727273,0.58000000,0.55238095
46,0.63046849,0.60000000,0.94117647,0.21333333,0.34782609,0.77222836,0.51000000,0.54545455,0.12000000,0.19672131
47,0.57600117,0.71000000,0.80582524,0.55333333,0.65612648,0.73349202,0.55000000,0.57575758,0.38000000,0.45783133
48,0.58610660,0.65666667,0.59832636,0.95333333,0.73521851,0.74219853,0.46000000,0.47500000,0.76000000,0.58461538
49,0.58632582,0.65000000,0.59259259,0.96000000,0.73282443,0.75122374,0.48000000,0.48780488,0.80000000,0.60606061
50,0.55393988,0.80000000,0.81690141,0.77333333,0.79452055,0.73454255,0.48000000,0.47916667,0.46000000,0.46938776
51,0.55814862,0.75333333,0.69387755,0.90666667,0.78612717,0.73297673,0.52000000,0.51428571,0.72000000,0.60000000
52,0.55924237,0.72000000,0.88372093,0.50666667,0.64406780,0.75170285,0.59000000,0.65517241,0.38000000,0.48101266
53,0.54675591,0.76000000,0.70312500,0.90000000,0.78947368,0.74498647,0.51000000,0.50724638,0.70000000,0.58823529
54,0.94654602,0.50000000,0.00000000,0.00000000,0.00000000,1.07951164,0.50000000,0.00000000,0.00000000,0.00000000
55,0.53536439,0.81333333,0.76704545,0.90000000,0.82822086,0.72967708,0.48000000,0.48275862,0.56000000,0.51851852
56,0.56422132,0.66666667,0.60416667,0.96666667,0.74358974,0.77016240,0.46000000,0.47500000,0.76000000,0.58461538
57,0.52480143,0.82666667,0.82666667,0.82666667,0.82666667,0.74634838,0.48000000,0.47916667,0.46000000,0.46938776
58,0.55385256,0.71000000,0.94366197,0.44666667,0.60633484,0.76617336,0.57000000,0.65217391,0.30000000,0.41095890
59,0.51984906,0.84333333,0.82389937,0.87333333,0.84789644,0.73248518,0.52000000,0.52000000,0.52000000,0.52000000
60,0.52969015,0.75666667,0.68780488,0.94000000,0.79436620,0.75887334,0.51000000,0.50724638,0.70000000,0.58823529
61,0.51121521,0.82000000,0.88095238,0.74000000,0.80434783,0.75165296,0.53000000,0.53658537,0.44000000,0.48351648
62,0.54022157,0.71666667,0.93333333,0.46666667,0.62222222,0.78202820,0.56000000,0.65000000,0.26000000,0.37142857
63,0.55976593,0.65666667,0.59514170,0.98000000,0.74055416,0.80366409,0.49000000,0.49411765,0.84000000,0.62222222
64,0.49949399,0.82666667,0.77222222,0.92666667,0.84242424,0.74407279,0.54000000,0.53125000,0.68000000,0.59649123
65,0.57823646,0.63000000,1.00000000,0.26000000,0.41269841,0.82383496,0.53000000,0.66666667,0.12000000,0.20338983
66,0.53655928,0.71666667,0.98507463,0.44000000,0.60829493,0.80401427,0.55000000,0.66666667,0.20000000,0.30769231
67,0.48054749,0.81333333,0.75268817,0.93333333,0.83333333,0.76890880,0.51000000,0.50746269,0.68000000,0.58119658
68,0.47168154,0.85333333,0.89552239,0.80000000,0.84507042,0.76126999,0.53000000,0.53658537,0.44000000,0.48351648
69,0.47238332,0.84666667,0.93333333,0.74666667,0.82962963,0.76506537,0.54000000,0.55263158,0.42000000,0.47727273
70,0.46196377,0.88333333,0.87096774,0.90000000,0.88524590,0.74432659,0.52000000,0.52000000,0.52000000,0.52000000
