epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69156504,0.53000000,0.62162162,0.15333333,0.24598930,0.70525056,0.48000000,0.43750000,0.14000000,0.21212121
2,0.68579787,0.56333333,0.55974843,0.59333333,0.57605178,0.70053786,0.39000000,0.40000000,0.44000000,0.41904762
3,0.68352807,0.56333333,0.57251908,0.50000000,0.53380783,0.69933194,0.43000000,0.42553191,0.40000000,0.41237113
4,0.68150741,0.57666667,0.60550459,0.44000000,0.50965251,0.69927841,0.46000000,0.45000000,0.36000000,0.40000000
5,0.68020517,0.56333333,0.54008439,0.85333333,0.66149871,0.69917631,0.47000000,0.48148148,0.78000000,0.59541985
6,0.68007845,0.58333333,0.71929825,0.27333333,0.39613527,0.70180780,0.51000000,0.52631579,0.20000000,0.28985507
7,0.67612731,0.59666667,0.56277056,0.86666667,0.68241470,0.69816548,0.49000000,0.49367089,0.78000000,0.60465116
8,0.67412269,0.61333333,0.57391304,0.88000000,0.69473684,0.69894087,0.48000000,0.48750000,0.78000000,0.60000000
9,0.67071515,0.62666667,0.60555556,0.72666667,0.66060606,0.69763440,0.49000000,0.49180328,0.60000000,0.54054054
10,0.67561764,0.58000000,0.77272727,0.22666667,0.35051546,0.70470089,0.52000000,0.58333333,0.14000000,0.22580645
11,0.66985887,0.61000000,0.57081545,0.88666667,0.69451697,0.69992888,0.47000000,0.48192771,0.80000000,0.60150376
12,0.66690928,0.62000000,0.58035714,0.86666667,0.69518717,0.69926375,0.47000000,0.48101266,0.76000000,0.58914729
13,0.66668606,0.61666667,0.71604938,0.38666667,0.50216450,0.70196682,0.50000000,0.50000000,0.24000000,0.32432432
14,0.66178983,0.65666667,0.62566845,0.78000000,0.69436202,0.69895309,0.47000000,0.47887324,0.68000000,0.56198347
15,0.66000283,0.63666667,0.63758389,0.63333333,0.63545151,0.69874388,0.47000000,0.47058824,0.48000000,0.47524752
16,0.66073787,0.63333333,0.59009009,0.87333333,0.70430108,0.69955778,0.46000000,0.47500000,0.76000000,0.58461538
17,0.65957916,0.64333333,0.59307359,0.91333333,0.71916010,0.69910711,0.46000000,0.47619048,0.80000000,0.59701493
18,0.65440017,0.65666667,0.66433566,0.63333333,0.64846416,0.69723701,0.46000000,0.45652174,0.42000000,0.43750000
19,0.65223086,0.66000000,0.65789474,0.66666667,0.66225166,0.69741285,0.46000000,0.46000000,0.46000000,0.46000000
20,0.65761232,0.61000000,0.56521739,0.95333333,0.70967742,0.70408565,0.48000000,0.48888889,0.88000000,0.62857143
21,0.64820093,0.68000000,0.64835165,0.78666667,0.71084337,0.69856429,0.47000000,0.47692308,0.62000000,0.53913043
22,0.65163743,0.63333333,0.58196721,0.94666667,0.72081218,0.70474213,0.46000000,0.47727273,0.84000000,0.60869565
23,0.64617389,0.65333333,0.60454545,0.88666667,0.71891892,0.70232749,0.47000000,0.48192771,0.80000000,0.60150376
24,0.64051759,0.69000000,0.68152866,0.71333333,0.69706840,0.69902611,0.49000000,0.49056604,0.52000000,0.50485437
25,0.63983226,0.66333333,0.61951220,0.84666667,0.71549296,0.70265275,0.46000000,0.47368421,0.72000000,0.57142857
26,0.64472967,0.63333333,0.81250000,0.34666667,0.48598131,0.70707405,0.56000000,0.66666667,0.24000000,0.35294118
27,0.63511640,0.67333333,0.62264151,0.88000000,0.72928177,0.70369720,0.48000000,0.48717949,0.76000000,0.59375000
28,0.63553256,0.66666667,0.81250000,0.43333333,0.56521739,0.70479000,0.55000000,0.60869565,0.28000000,0.38356164
29,0.63198495,0.67666667,0.81176471,0.46000000,0.58723404,0.70523787,0.55000000,0.60000000,0.30000000,0.40000000
30,0.65103006,0.59333333,0.55303030,0.97333333,0.70531401,0.72409928,0.46000000,0.47826087,0.88000000,0.61971831
31,0.62691998,0.67000000,0.61434978,0.91333333,0.73458445,0.70921749,0.47000000,0.48148148,0.78000000,0.59541985
32,0.62678277,0.66000000,0.60714286,0.90666667,0.72727273,0.71176070,0.47000000,0.48192771,0.80000000,0.60150376
33,0.61990976,0.66666667,0.61467890,0.89333333,0.72826087,0.71078616,0.46000000,0.47500000,0.76000000,0.58461538
34,0.61083460,0.75333333,0.73456790,0.79333333,0.76282051,0.70636827,0.50000000,0.50000000,0.54000000,0.51923077
35,0.62799042,0.63000000,0.84210526,0.32000000,0.46376812,0.72278082,0.55000000,0.66666667,0.20000000,0.30769231
36,0.60487533,0.74000000,0.71951220,0.78666667,0.75159236,0.70949292,0.49000000,0.49122807,0.56000000,0.52336449
37,0.61471605,0.66666667,0.82894737,0.42000000,0.55752212,0.71928865,0.55000000,0.63157895,0.24000000,0.34782609
38,0.73017609,0.52333333,0.51194539,1.00000000,0.67720090,0.79907554,0.49000000,0.49484536,0.96000000,0.65306122
39,0.60314763,0.69666667,0.87341772,0.46000000,0.60262009,0.71745408,0.54000000,0.58333333,0.28000000,0.37837838
40,0.64321005,0.55666667,0.84000000,0.14000000,0.24000000,0.75314957,0.54000000,0.75000000,0.12000000,0.20689655
41,0.61399996,0.62666667,0.57661290,0.95333333,0.71859296,0.72847825,0.49000000,0.49425287,0.86000000,0.62773723
42,0.61888433,0.61666667,0.56916996,0.96000000,0.71464020,0.72954726,0.49000000,0.49425287,0.86000000,0.62773723
43,0.63742507,0.57000000,0.86206897,0.16666667,0.27932961,0.76079667,0.53000000,0.66666667,0.12000000,0.20338983
