epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69899905,0.50000000,0.50000000,0.91333333,0.64622642,0.69809312,0.53000000,0.51648352,0.94000000,0.66666667
2,0.69146848,0.49333333,0.49572650,0.77333333,0.60416667,0.69377929,0.46000000,0.47297297,0.70000000,0.56451613
3,0.68817788,0.54000000,0.58108108,0.28666667,0.38392857,0.69349015,0.52000000,0.54545455,0.24000000,0.33333333
4,0.68515891,0.56666667,0.55154639,0.71333333,0.62209302,0.69172710,0.48000000,0.48437500,0.62000000,0.54385965
5,0.68339282,0.58666667,0.56190476,0.78666667,0.65555556,0.69266897,0.44000000,0.45588235,0.62000000,0.52542373
6,0.68312424,0.51666667,0.50957854,0.88666667,0.64720195,0.69448227,0.52000000,0.51190476,0.86000000,0.64179104
7,0.67880988,0.61666667,0.67326733,0.45333333,0.54183267,0.69289613,0.52000000,0.53125000,0.34000000,0.41463415
8,0.67670256,0.56666667,0.62820513,0.32666667,0.42982456,0.69311959,0.54000000,0.57692308,0.30000000,0.39473684
9,0.67499381,0.58666667,0.55603448,0.86000000,0.67539267,0.69279110,0.46000000,0.47297297,0.70000000,0.56451613
10,0.67217141,0.60666667,0.72222222,0.34666667,0.46846847,0.69489288,0.51000000,0.52000000,0.26000000,0.34666667
11,0.66917229,0.65333333,0.61734694,0.80666667,0.69942197,0.69225615,0.54000000,0.53225806,0.66000000,0.58928571
12,0.66556382,0.64333333,0.72164948,0.46666667,0.56680162,0.69218093,0.50000000,0.50000000,0.36000000,0.41860465
13,0.66357088,0.66333333,0.72897196,0.52000000,0.60700389,0.69448966,0.54000000,0.55882353,0.38000000,0.45238095
14,0.66142946,0.69000000,0.66473988,0.76666667,0.71207430,0.69387269,0.51000000,0.50943396,0.54000000,0.52427184
15,0.65547204,0.67666667,0.73451327,0.55333333,0.63117871,0.69441390,0.51000000,0.51351351,0.38000000,0.43678161
16,0.66393954,0.58000000,0.78571429,0.22000000,0.34375000,0.70648009,0.51000000,0.52941176,0.18000000,0.26865672
17,0.64739466,0.70000000,0.71739130,0.66000000,0.68750000,0.69913274,0.51000000,0.51162791,0.44000000,0.47311828
18,0.65018111,0.67333333,0.62380952,0.87333333,0.72777778,0.69635469,0.52000000,0.51515152,0.68000000,0.58620690
19,0.64183927,0.69666667,0.65775401,0.82000000,0.72997033,0.70182824,0.49000000,0.49152542,0.58000000,0.53211009
20,0.63831288,0.69666667,0.65608466,0.82666667,0.73156342,0.70473099,0.50000000,0.50000000,0.60000000,0.54545455
21,0.63506979,0.68666667,0.78000000,0.52000000,0.62400000,0.70387983,0.52000000,0.53125000,0.34000000,0.41463415
22,0.64313477,0.64333333,0.58921162,0.94666667,0.72634271,0.71134764,0.49000000,0.49397590,0.82000000,0.61654135
23,0.66565305,0.54666667,0.52482270,0.98666667,0.68518519,0.74320936,0.47000000,0.48351648,0.88000000,0.62411348
24,0.62032056,0.70333333,0.65968586,0.84000000,0.73900293,0.70576781,0.52000000,0.51515152,0.68000000,0.58620690
25,0.61522269,0.73000000,0.69273743,0.82666667,0.75379939,0.70378643,0.51000000,0.50877193,0.58000000,0.54205607
26,0.61327505,0.69333333,0.65425532,0.82000000,0.72781065,0.70663208,0.50000000,0.50000000,0.66000000,0.56896552
27,0.60888135,0.71000000,0.65365854,0.89333333,0.75492958,0.71139997,0.51000000,0.50724638,0.70000000,0.58823529
28,0.60533351,0.71333333,0.65238095,0.91333333,0.76111111,0.71678036,0.52000000,0.51428571,0.72000000,0.60000000
29,0.59041655,0.75333333,0.71590909,0.84000000,0.77300613,0.71856195,0.51000000,0.50819672,0.62000000,0.55855856
30,0.61448121,0.66333333,0.60251046,0.96000000,0.74035990,0.73099768,0.50000000,0.50000000,0.82000000,0.62121212
31,0.58420360,0.77000000,0.82400000,0.68666667,0.74909091,0.70982724,0.53000000,0.54054054,0.40000000,0.45977011
32,0.57703626,0.76666667,0.80769231,0.70000000,0.75000000,0.72581977,0.50000000,0.50000000,0.36000000,0.41860465
33,0.57773256,0.74666667,0.86274510,0.58666667,0.69841270,0.73044705,0.52000000,0.53333333,0.32000000,0.40000000
34,0.60940492,0.65000000,0.89473684,0.34000000,0.49275362,0.77250957,0.54000000,0.61111111,0.22000000,0.32352941
35,0.56620651,0.76000000,0.72941176,0.82666667,0.77500000,0.71469009,0.54000000,0.54000000,0.54000000,0.54000000
36,0.56462324,0.73000000,0.80530973,0.60666667,0.69201521,0.75345623,0.52000000,0.52941176,0.36000000,0.42857143
37,0.64756501,0.59333333,0.55185185,0.99333333,0.70952381,0.81985319,0.49000000,0.49425287,0.86000000,0.62773723
