epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.72881961,0.50333333,0.54545455,0.04000000,0.07453416,0.76474869,0.47000000,0.36363636,0.08000000,0.13114754
2,0.68936586,0.51000000,0.55172414,0.10666667,0.17877095,0.72757781,0.44000000,0.35000000,0.14000000,0.20000000
3,0.68191636,0.55333333,0.53030303,0.93333333,0.67632850,0.72140139,0.52000000,0.51063830,0.96000000,0.66666667
4,0.66846311,0.58000000,0.63953488,0.36666667,0.46610169,0.71342421,0.44000000,0.40625000,0.26000000,0.31707317
5,0.66225553,0.61000000,0.58128079,0.78666667,0.66855524,0.71475720,0.51000000,0.50684932,0.74000000,0.60162602
6,0.65553129,0.64000000,0.65909091,0.58000000,0.61702128,0.71672577,0.48000000,0.47916667,0.46000000,0.46938776
7,0.65955687,0.60000000,0.55905512,0.94666667,0.70297030,0.72591108,0.51000000,0.50561798,0.90000000,0.64748201
8,0.64551848,0.65666667,0.65986395,0.64666667,0.65319865,0.71757489,0.44000000,0.44230769,0.46000000,0.45098039
9,0.64130872,0.63666667,0.60846561,0.76666667,0.67846608,0.72172791,0.46000000,0.47058824,0.64000000,0.54237288
10,0.67542630,0.53333333,0.75000000,0.10000000,0.17647059,0.76194036,0.49000000,0.46666667,0.14000000,0.21538462
11,0.64954334,0.59333333,0.79166667,0.25333333,0.38383838,0.74684352,0.48000000,0.45454545,0.20000000,0.27777778
12,0.65510559,0.56333333,0.75675676,0.18666667,0.29946524,0.76957059,0.50000000,0.50000000,0.20000000,0.28571429
13,0.61246753,0.70000000,0.68750000,0.73333333,0.70967742,0.72944009,0.46000000,0.46774194,0.58000000,0.51785714
14,0.61129916,0.67333333,0.76530612,0.50000000,0.60483871,0.73356801,0.46000000,0.44736842,0.34000000,0.38636364
15,0.59771872,0.71000000,0.71724138,0.69333333,0.70508475,0.72849464,0.51000000,0.50909091,0.56000000,0.53333333
16,0.58876711,0.71666667,0.73381295,0.68000000,0.70588235,0.73670870,0.49000000,0.49019608,0.50000000,0.49504950
17,0.67524749,0.54666667,0.52500000,0.98000000,0.68372093,0.77733368,0.53000000,0.51612903,0.96000000,0.67132867
18,0.61414480,0.62000000,0.84615385,0.29333333,0.43564356,0.77130908,0.51000000,0.52380952,0.22000000,0.30985915
19,0.57926208,0.70666667,0.81632653,0.53333333,0.64516129,0.76446128,0.49000000,0.48780488,0.40000000,0.43956044
20,0.56942886,0.75333333,0.71590909,0.84000000,0.77300613,0.74236590,0.47000000,0.47619048,0.60000000,0.53097345
21,0.61195320,0.62333333,0.87755102,0.28666667,0.43216080,0.79965979,0.52000000,0.55555556,0.20000000,0.29411765
22,0.55934066,0.76000000,0.77464789,0.73333333,0.75342466,0.74227417,0.49000000,0.48979592,0.48000000,0.48484848
