epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68497050,0.53666667,0.52014652,0.94666667,0.67139480,0.69829619,0.45000000,0.47311828,0.88000000,0.61538462
2,0.77560419,0.50000000,0.00000000,0.00000000,0.00000000,0.77188885,0.50000000,0.00000000,0.00000000,0.00000000
3,0.67506504,0.59000000,0.70149254,0.31333333,0.43317972,0.69218999,0.54000000,0.59090909,0.26000000,0.36111111
4,0.68475050,0.54000000,0.92857143,0.08666667,0.15853659,0.70014662,0.49000000,0.40000000,0.04000000,0.07272727
5,0.67911822,0.54000000,0.80000000,0.10666667,0.18823529,0.69913787,0.54000000,0.75000000,0.12000000,0.20689655
6,0.66330677,0.69333333,0.69594595,0.68666667,0.69127517,0.69131267,0.51000000,0.50847458,0.60000000,0.55045872
7,0.65484178,0.62666667,0.61309524,0.68666667,0.64779874,0.68804425,0.53000000,0.52380952,0.66000000,0.58407080
8,0.67394423,0.55000000,0.52631579,1.00000000,0.68965517,0.70507717,0.53000000,0.51612903,0.96000000,0.67132867
9,0.65092307,0.66000000,0.60619469,0.91333333,0.72872340,0.68198746,0.54000000,0.52564103,0.82000000,0.64062500
10,0.67809433,0.54666667,0.52447552,1.00000000,0.68807339,0.73221439,0.51000000,0.50537634,0.94000000,0.65734266
11,0.63839030,0.66333333,0.60337553,0.95333333,0.73901809,0.69405514,0.51000000,0.50602410,0.84000000,0.63157895
12,0.67011464,0.53666667,1.00000000,0.07333333,0.13664596,0.72526795,0.54000000,1.00000000,0.08000000,0.14814815
13,0.65541959,0.56666667,0.88461538,0.15333333,0.26136364,0.73248035,0.54000000,0.66666667,0.16000000,0.25806452
14,0.67671561,0.54666667,1.00000000,0.09333333,0.17073171,0.75829208,0.54000000,0.83333333,0.10000000,0.17857143
15,0.59978038,0.79000000,0.80419580,0.76666667,0.78498294,0.69362438,0.52000000,0.51785714,0.58000000,0.54716981
16,0.62260711,0.62666667,0.57364341,0.98666667,0.72549020,0.72080243,0.49000000,0.49425287,0.86000000,0.62773723
17,0.62819946,0.60666667,0.71621622,0.35333333,0.47321429,0.75310218,0.54000000,0.56250000,0.36000000,0.43902439
18,0.63934249,0.61666667,0.76923077,0.33333333,0.46511628,0.69579434,0.54000000,0.61111111,0.22000000,0.32352941
19,0.56937587,0.73000000,0.69491525,0.82000000,0.75229358,0.72589034,0.52000000,0.51470588,0.70000000,0.59322034
20,0.58212608,0.66666667,0.91666667,0.36666667,0.52380952,0.75362140,0.62000000,0.80000000,0.32000000,0.45714286
21,0.59820861,0.64333333,0.90566038,0.32000000,0.47290640,0.74173093,0.58000000,0.70000000,0.28000000,0.40000000
22,0.68635684,0.58333333,0.93103448,0.18000000,0.30167598,0.87370801,0.55000000,0.69230769,0.18000000,0.28571429
23,0.55997276,0.75000000,0.68656716,0.92000000,0.78632479,0.71734971,0.50000000,0.50000000,0.72000000,0.59016393
24,0.51062459,0.76333333,0.71823204,0.86666667,0.78549849,0.74117774,0.51000000,0.50704225,0.72000000,0.59504132
25,0.61012536,0.61666667,0.94871795,0.24666667,0.39153439,0.86319041,0.58000000,0.78571429,0.22000000,0.34375000
26,0.60233086,0.62666667,0.57307692,0.99333333,0.72682927,0.76671982,0.49000000,0.49450549,0.90000000,0.63829787
27,0.53844684,0.68000000,0.92187500,0.39333333,0.55140187,0.76062417,0.56000000,0.65000000,0.26000000,0.37142857
28,0.59044224,0.65000000,0.59183673,0.96666667,0.73417722,0.77902633,0.51000000,0.50602410,0.84000000,0.63157895
