epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68606043,0.55333333,0.53703704,0.77333333,0.63387978,0.70419860,0.51000000,0.50769231,0.66000000,0.57391304
2,0.68676305,0.51333333,0.66666667,0.05333333,0.09876543,0.70708907,0.48000000,0.33333333,0.04000000,0.07142857
3,0.67416805,0.60000000,0.57142857,0.80000000,0.66666667,0.70245850,0.45000000,0.46268657,0.62000000,0.52991453
4,0.66867197,0.61666667,0.59259259,0.74666667,0.66076696,0.70423931,0.45000000,0.45901639,0.56000000,0.50450450
5,0.66642094,0.60333333,0.57209302,0.82000000,0.67397260,0.70231909,0.50000000,0.50000000,0.74000000,0.59677419
6,0.66415316,0.60666667,0.56956522,0.87333333,0.68947368,0.70459861,0.52000000,0.51219512,0.84000000,0.63636364
7,0.65802342,0.65000000,0.62162162,0.76666667,0.68656716,0.70006514,0.47000000,0.47619048,0.60000000,0.53097345
8,0.66485506,0.59000000,0.82926829,0.22666667,0.35602094,0.71166420,0.48000000,0.43750000,0.14000000,0.21212121
9,0.65118742,0.64333333,0.60189573,0.84666667,0.70360111,0.70563632,0.48000000,0.48648649,0.72000000,0.58064516
10,0.64761627,0.63666667,0.59447005,0.86000000,0.70299728,0.70426220,0.52000000,0.51315789,0.78000000,0.61904762
11,0.64935678,0.63000000,0.71910112,0.42666667,0.53556485,0.71152633,0.48000000,0.46666667,0.28000000,0.35000000
12,0.63780868,0.67666667,0.76237624,0.51333333,0.61354582,0.70656431,0.49000000,0.48571429,0.34000000,0.40000000
13,0.63091606,0.68666667,0.73728814,0.58000000,0.64925373,0.70299560,0.52000000,0.52380952,0.44000000,0.47826087
14,0.62649214,0.69000000,0.65240642,0.81333333,0.72403561,0.70228559,0.53000000,0.52238806,0.70000000,0.59829060
15,0.65776134,0.56000000,0.87500000,0.14000000,0.24137931,0.73128253,0.52000000,0.60000000,0.12000000,0.20000000
16,0.64632046,0.60666667,0.56106870,0.98000000,0.71359223,0.72694057,0.54000000,0.52325581,0.90000000,0.66176471
17,0.61675507,0.68666667,0.63207547,0.89333333,0.74033149,0.71106505,0.52000000,0.51315789,0.78000000,0.61904762
18,0.65170741,0.57333333,0.89285714,0.16666667,0.28089888,0.74529266,0.51000000,0.54545455,0.12000000,0.19672131
19,0.61795759,0.64000000,0.58898305,0.92666667,0.72020725,0.72159171,0.54000000,0.52500000,0.84000000,0.64615385
20,0.65764022,0.58333333,0.54545455,1.00000000,0.70588235,0.75342256,0.50000000,0.50000000,0.92000000,0.64788732
21,0.58688855,0.76666667,0.78985507,0.72666667,0.75694444,0.70840150,0.49000000,0.48888889,0.44000000,0.46315789
22,0.57795459,0.73666667,0.72611465,0.76000000,0.74267101,0.71817046,0.48000000,0.48275862,0.56000000,0.51851852
23,0.62185937,0.61000000,0.88372093,0.25333333,0.39378238,0.75086862,0.52000000,0.57142857,0.16000000,0.25000000
24,0.57760268,0.77000000,0.83471074,0.67333333,0.74538745,0.70949429,0.51000000,0.51282051,0.40000000,0.44943820
25,0.57519597,0.69666667,0.87341772,0.46000000,0.60262009,0.73812765,0.52000000,0.53571429,0.30000000,0.38461538
26,0.56632549,0.73000000,0.89655172,0.52000000,0.65822785,0.73120540,0.51000000,0.51612903,0.32000000,0.39506173
27,0.55960554,0.78333333,0.73224044,0.89333333,0.80480480,0.71689588,0.51000000,0.50724638,0.70000000,0.58823529
28,0.56815785,0.68333333,0.61802575,0.96000000,0.75195822,0.75555402,0.59000000,0.55555556,0.90000000,0.68702290
29,0.53297764,0.78000000,0.71428571,0.93333333,0.80924855,0.73657972,0.54000000,0.52941176,0.72000000,0.61016949
30,0.57175344,0.67666667,0.60995851,0.98000000,0.75191816,0.77712154,0.56000000,0.53750000,0.86000000,0.66153846
31,0.61012542,0.63666667,0.57976654,0.99333333,0.73218673,0.79998994,0.51000000,0.50561798,0.90000000,0.64748201
32,0.51809186,0.80666667,0.85384615,0.74000000,0.79285714,0.73346233,0.49000000,0.48780488,0.40000000,0.43956044
33,0.50989318,0.78333333,0.71794872,0.93333333,0.81159420,0.74618709,0.52000000,0.51428571,0.72000000,0.60000000
