epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68908393,0.54000000,0.62000000,0.20666667,0.31000000,0.69506121,0.51000000,0.52631579,0.20000000,0.28985507
2,0.71215218,0.50333333,1.00000000,0.00666667,0.01324503,0.72442079,0.50000000,0.00000000,0.00000000,0.00000000
3,0.68608677,0.53000000,0.51711027,0.90666667,0.65859564,0.70310241,0.43000000,0.45783133,0.76000000,0.57142857
4,0.68292373,0.55333333,0.53100775,0.91333333,0.67156863,0.71084195,0.44000000,0.46250000,0.74000000,0.56923077
5,0.68378609,0.55000000,0.52767528,0.95333333,0.67933492,0.70134795,0.49000000,0.49425287,0.86000000,0.62773723
6,0.68031311,0.56666667,0.53703704,0.96666667,0.69047619,0.70833677,0.45000000,0.47191011,0.84000000,0.60431655
7,0.67887217,0.53333333,0.81250000,0.08666667,0.15662651,0.69992590,0.52000000,0.66666667,0.08000000,0.14285714
8,0.66957694,0.58000000,0.68181818,0.30000000,0.41666667,0.71505266,0.51000000,0.52380952,0.22000000,0.30985915
9,0.70565808,0.53000000,0.51557093,0.99333333,0.67881549,0.73137492,0.49000000,0.49484536,0.96000000,0.65306122
10,0.66643149,0.63666667,0.59447005,0.86000000,0.70299728,0.70736122,0.47000000,0.47761194,0.64000000,0.54700855
11,0.65004265,0.63333333,0.66129032,0.54666667,0.59854015,0.71936232,0.49000000,0.48717949,0.38000000,0.42696629
12,0.64671040,0.61333333,0.65740741,0.47333333,0.55038760,0.72083926,0.48000000,0.47222222,0.34000000,0.39534884
13,0.63305199,0.69333333,0.65760870,0.80666667,0.72455090,0.72265810,0.49000000,0.49206349,0.62000000,0.54867257
14,0.64680785,0.65333333,0.59745763,0.94000000,0.73056995,0.71313614,0.43000000,0.45679012,0.74000000,0.56488550
15,0.64089710,0.63666667,0.80597015,0.36000000,0.49769585,0.74266541,0.56000000,0.68750000,0.22000000,0.33333333
16,0.64796805,0.64666667,0.58870968,0.97333333,0.73366834,0.71061277,0.49000000,0.49397590,0.82000000,0.61654135
17,0.62350374,0.66333333,0.60606061,0.93333333,0.73490814,0.73181158,0.45000000,0.46835443,0.74000000,0.57364341
18,0.62451780,0.63666667,0.84745763,0.33333333,0.47846890,0.74311906,0.51000000,0.52380952,0.22000000,0.30985915
19,0.62879461,0.62666667,0.57421875,0.98000000,0.72413793,0.73094666,0.46000000,0.47674419,0.82000000,0.60294118
20,0.67337942,0.55333333,0.52836879,0.99333333,0.68981481,0.77136016,0.48000000,0.48936170,0.92000000,0.63888889
21,0.60783237,0.68333333,0.83950617,0.45333333,0.58874459,0.79001540,0.58000000,0.65384615,0.34000000,0.44736842
22,0.56941432,0.75666667,0.71508380,0.85333333,0.77811550,0.76556998,0.49000000,0.49019608,0.50000000,0.49504950
23,0.58865684,0.69666667,0.85542169,0.47333333,0.60944206,0.73844600,0.52000000,0.53571429,0.30000000,0.38461538
24,0.61354643,0.63000000,0.65853659,0.54000000,0.59340659,0.80468583,0.50000000,0.50000000,0.38000000,0.43181818
25,0.60515875,0.65000000,0.80000000,0.40000000,0.53333333,0.81465971,0.49000000,0.48000000,0.24000000,0.32000000
26,0.59118533,0.66000000,0.76086957,0.46666667,0.57851240,0.75433630,0.53000000,0.56000000,0.28000000,0.37333333
27,0.64769441,0.62000000,0.70000000,0.42000000,0.52500000,0.78954375,0.52000000,0.52777778,0.38000000,0.44186047
28,0.57358253,0.68000000,0.61250000,0.98000000,0.75384615,0.81996584,0.48000000,0.48684211,0.74000000,0.58730159
29,0.57872254,0.68000000,0.61637931,0.95333333,0.74869110,0.77505279,0.51000000,0.50617284,0.82000000,0.62595420
30,0.57681394,0.67333333,0.60569106,0.99333333,0.75252525,0.87384683,0.47000000,0.48235294,0.82000000,0.60740741
31,0.58868098,0.66666667,0.60504202,0.96000000,0.74226804,0.77977157,0.47000000,0.48101266,0.76000000,0.58914729
32,0.57857120,0.67333333,0.83333333,0.43333333,0.57017544,0.77975166,0.46000000,0.42307692,0.22000000,0.28947368
33,0.54047859,0.70000000,0.96875000,0.41333333,0.57943925,0.89028329,0.51000000,0.51724138,0.30000000,0.37974684
34,0.48555884,0.77666667,0.71502591,0.92000000,0.80466472,0.88302702,0.44000000,0.45454545,0.60000000,0.51724138
35,0.51615053,0.73333333,0.82407407,0.59333333,0.68992248,0.89880109,0.51000000,0.51351351,0.38000000,0.43678161
36,0.56067824,0.69000000,0.92537313,0.41333333,0.57142857,1.02574611,0.54000000,0.57692308,0.30000000,0.39473684
37,0.61443877,0.70000000,0.62931034,0.97333333,0.76439791,0.89795721,0.52000000,0.51315789,0.78000000,0.61904762
