epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69243860,0.51000000,0.80000000,0.02666667,0.05161290,0.69327611,0.51000000,1.00000000,0.02000000,0.03921569
2,0.68869948,0.50666667,0.58333333,0.04666667,0.08641975,0.69705045,0.50000000,0.50000000,0.08000000,0.13793103
3,0.69384980,0.50666667,0.50340136,0.98666667,0.66666667,0.71400619,0.50000000,0.50000000,0.98000000,0.66216216
4,0.68356943,0.55000000,0.63636364,0.23333333,0.34146341,0.70434415,0.51000000,0.51851852,0.28000000,0.36363636
5,0.68396723,0.55000000,0.52669039,0.98666667,0.68677494,0.71332276,0.48000000,0.48958333,0.94000000,0.64383562
6,0.66732264,0.67333333,0.69117647,0.62666667,0.65734266,0.69704342,0.48000000,0.47916667,0.46000000,0.46938776
7,0.66763914,0.64333333,0.66412214,0.58000000,0.61921708,0.69503081,0.47000000,0.46938776,0.46000000,0.46464646
8,0.66974109,0.60666667,0.56250000,0.96000000,0.70935961,0.72213989,0.47000000,0.48275862,0.84000000,0.61313869
9,0.65192169,0.67000000,0.76842105,0.48666667,0.59591837,0.69091499,0.53000000,0.54545455,0.36000000,0.43373494
10,0.66938853,0.59000000,0.55212355,0.95333333,0.69926650,0.74266112,0.50000000,0.50000000,0.88000000,0.63768116
11,0.67273778,0.53000000,0.90909091,0.06666667,0.12422360,0.72392142,0.53000000,0.80000000,0.08000000,0.14545455
12,0.65705138,0.53666667,0.82352941,0.09333333,0.16766467,0.69908750,0.51000000,0.53846154,0.14000000,0.22222222
13,0.63299358,0.66000000,0.61111111,0.88000000,0.72131148,0.69705999,0.58000000,0.55714286,0.78000000,0.65000000
14,0.62730962,0.63000000,0.78260870,0.36000000,0.49315068,0.70078355,0.54000000,0.59090909,0.26000000,0.36111111
15,0.61952376,0.67666667,0.61471861,0.94666667,0.74540682,0.70370412,0.57000000,0.54545455,0.84000000,0.66141732
16,0.60919386,0.75000000,0.71676301,0.82666667,0.76780186,0.69426358,0.56000000,0.55357143,0.62000000,0.58490566
17,0.59135193,0.72000000,0.65420561,0.93333333,0.76923077,0.70941091,0.55000000,0.53424658,0.78000000,0.63414634
18,0.59366089,0.72333333,0.86813187,0.52666667,0.65560166,0.71498150,0.55000000,0.60000000,0.30000000,0.40000000
19,0.60216725,0.62333333,0.84905660,0.30000000,0.44334975,0.70910782,0.55000000,0.61904762,0.26000000,0.36619718
20,0.67659211,0.58333333,0.54578755,0.99333333,0.70449173,0.80664551,0.50000000,0.50000000,0.92000000,0.64788732
21,0.56700784,0.78000000,0.75925926,0.82000000,0.78846154,0.68763334,0.57000000,0.57142857,0.56000000,0.56565657
22,0.60891819,0.70000000,0.69230769,0.72000000,0.70588235,0.72326493,0.47000000,0.47169811,0.50000000,0.48543689
23,0.52974719,0.79666667,0.75428571,0.88000000,0.81230769,0.71386564,0.54000000,0.53846154,0.56000000,0.54901961
24,0.54503137,0.76000000,0.71666667,0.86000000,0.78181818,0.70271987,0.59000000,0.57894737,0.66000000,0.61682243
25,0.55300498,0.73333333,0.71875000,0.76666667,0.74193548,0.71233076,0.60000000,0.60416667,0.58000000,0.59183673
26,0.64180577,0.61666667,0.56809339,0.97333333,0.71744472,0.79378825,0.52000000,0.51136364,0.90000000,0.65217391
27,0.59415877,0.69000000,0.70503597,0.65333333,0.67820069,0.70660180,0.61000000,0.60377358,0.64000000,0.62135922
28,0.63243961,0.56333333,0.95238095,0.13333333,0.23391813,0.80291390,0.57000000,1.00000000,0.14000000,0.24561404
29,0.59750420,0.60000000,0.96875000,0.20666667,0.34065934,0.76193279,0.53000000,0.71428571,0.10000000,0.17543860
30,0.58134562,0.66666667,0.60330579,0.97333333,0.74489796,0.82303268,0.52000000,0.51162791,0.88000000,0.64705882
31,0.52309418,0.73333333,0.66203704,0.95333333,0.78142077,0.76746291,0.55000000,0.53333333,0.80000000,0.64000000
32,0.90119165,0.54666667,0.52447552,1.00000000,0.68807339,1.12707973,0.50000000,0.50000000,0.98000000,0.66216216
33,0.54183352,0.71666667,0.72413793,0.70000000,0.71186441,0.75328660,0.56000000,0.56000000,0.56000000,0.56000000
34,0.58585602,0.67000000,0.60408163,0.98666667,0.74936709,0.86934352,0.50000000,0.50000000,0.86000000,0.63235294
35,0.47205299,0.79000000,0.71641791,0.96000000,0.82051282,0.80016780,0.51000000,0.50793651,0.64000000,0.56637168
36,0.46833798,0.78000000,0.74705882,0.84666667,0.79375000,0.84040695,0.51000000,0.50980392,0.52000000,0.51485149
37,0.46640667,0.78333333,0.70531401,0.97333333,0.81792717,0.82321125,0.54000000,0.52777778,0.76000000,0.62295082
38,0.48103800,0.81000000,0.74603175,0.94000000,0.83185841,0.78042942,0.52000000,0.51612903,0.64000000,0.57142857
39,0.43483704,0.85666667,0.82822086,0.90000000,0.86261981,0.76559126,0.56000000,0.56521739,0.52000000,0.54166667
40,0.52411956,0.75666667,0.68780488,0.94000000,0.79436620,0.79030836,0.54000000,0.53030303,0.70000000,0.60344828
41,0.41217926,0.84333333,0.78142077,0.95333333,0.85885886,0.79865646,0.53000000,0.52727273,0.58000000,0.55238095
42,0.76960218,0.58000000,0.54347826,1.00000000,0.70422535,1.08836436,0.48000000,0.48936170,0.92000000,0.63888889
