epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69362152,0.50333333,0.50171821,0.97333333,0.66213152,0.70070738,0.52000000,0.51041667,0.98000000,0.67123288
2,0.68754613,0.59000000,0.56053812,0.83333333,0.67024129,0.69714850,0.53000000,0.52000000,0.78000000,0.62400000
3,0.68490696,0.57000000,0.54251012,0.89333333,0.67506297,0.69801146,0.49000000,0.49382716,0.80000000,0.61068702
4,0.68146414,0.62333333,0.61212121,0.67333333,0.64126984,0.69712377,0.52000000,0.51785714,0.58000000,0.54716981
5,0.68106955,0.57666667,0.65333333,0.32666667,0.43555556,0.69762355,0.52000000,0.53571429,0.30000000,0.38461538
6,0.67621577,0.63000000,0.59069767,0.84666667,0.69589041,0.69743270,0.52000000,0.51428571,0.72000000,0.60000000
7,0.67364919,0.63666667,0.59534884,0.85333333,0.70136986,0.69787610,0.47000000,0.47761194,0.64000000,0.54700855
8,0.67158467,0.63000000,0.58227848,0.92000000,0.71317829,0.69859153,0.48000000,0.48648649,0.72000000,0.58064516
9,0.66809636,0.66333333,0.62564103,0.81333333,0.70724638,0.69771361,0.48000000,0.48333333,0.58000000,0.52727273
10,0.67408258,0.56666667,0.77777778,0.18666667,0.30107527,0.70244390,0.52000000,0.56250000,0.18000000,0.27272727
11,0.66315979,0.67000000,0.65269461,0.72666667,0.68769716,0.69784009,0.46000000,0.46428571,0.52000000,0.49056604
12,0.66155934,0.65000000,0.60368664,0.87333333,0.71389646,0.69884628,0.49000000,0.49275362,0.68000000,0.57142857
13,0.65913159,0.65333333,0.60176991,0.90666667,0.72340426,0.69967979,0.47000000,0.47887324,0.68000000,0.56198347
14,0.65532506,0.65333333,0.67164179,0.60000000,0.63380282,0.69939512,0.51000000,0.51063830,0.48000000,0.49484536
15,0.65204787,0.66000000,0.61650485,0.84666667,0.71348315,0.70030278,0.50000000,0.50000000,0.68000000,0.57627119
16,0.65000713,0.68000000,0.72500000,0.58000000,0.64444444,0.69887620,0.54000000,0.55263158,0.42000000,0.47727273
17,0.65561664,0.62333333,0.82456140,0.31333333,0.45410628,0.70324582,0.53000000,0.56521739,0.26000000,0.35616438
18,0.64358014,0.67666667,0.63451777,0.83333333,0.72046110,0.69808167,0.51000000,0.50724638,0.70000000,0.58823529
