epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71291935,0.50000000,0.50000000,0.01333333,0.02597403,0.72444457,0.49000000,0.40000000,0.04000000,0.07272727
2,0.69120485,0.53666667,0.52488688,0.77333333,0.62533693,0.70410216,0.44000000,0.45588235,0.62000000,0.52542373
3,0.70197219,0.50333333,0.50167224,1.00000000,0.66815145,0.71415454,0.49000000,0.49494949,0.98000000,0.65771812
4,0.68171656,0.55000000,0.58064516,0.36000000,0.44444444,0.70343673,0.45000000,0.41935484,0.26000000,0.32098765
5,0.68688202,0.52666667,0.51398601,0.98000000,0.67431193,0.71040052,0.47000000,0.48453608,0.94000000,0.63945578
6,0.67445284,0.59666667,0.57754011,0.72000000,0.64094955,0.70445675,0.41000000,0.42105263,0.48000000,0.44859813
7,0.67056847,0.60333333,0.60544218,0.59333333,0.59932660,0.70524549,0.46000000,0.46000000,0.46000000,0.46000000
8,0.67298275,0.60333333,0.55984556,0.96666667,0.70904645,0.70742345,0.48000000,0.48837209,0.84000000,0.61764706
9,0.67015129,0.56666667,0.77777778,0.18666667,0.30107527,0.71105236,0.51000000,0.55555556,0.10000000,0.16949153
10,0.66862828,0.59333333,0.55303030,0.97333333,0.70531401,0.71170813,0.48000000,0.48888889,0.88000000,0.62857143
11,0.66315001,0.57000000,0.75609756,0.20666667,0.32460733,0.71316481,0.51000000,0.54545455,0.12000000,0.19672131
12,0.65415841,0.62333333,0.74025974,0.38000000,0.50220264,0.70992428,0.51000000,0.51724138,0.30000000,0.37974684
13,0.65025342,0.63666667,0.70297030,0.47333333,0.56573705,0.71042866,0.47000000,0.45714286,0.32000000,0.37647059
14,0.65086603,0.59666667,0.77358491,0.27333333,0.40394089,0.71584898,0.52000000,0.55000000,0.22000000,0.31428571
15,0.63813603,0.72000000,0.74626866,0.66666667,0.70422535,0.70981002,0.45000000,0.43902439,0.36000000,0.39560440
16,0.63398582,0.69000000,0.65240642,0.81333333,0.72403561,0.71228176,0.46000000,0.46875000,0.60000000,0.52631579
17,0.62597066,0.70333333,0.71631206,0.67333333,0.69415808,0.71324283,0.46000000,0.45652174,0.42000000,0.43750000
18,0.62379748,0.70000000,0.66129032,0.82000000,0.73214286,0.71878898,0.48000000,0.48387097,0.60000000,0.53571429
19,0.62312716,0.64666667,0.78947368,0.40000000,0.53097345,0.72393775,0.52000000,0.54166667,0.26000000,0.35135135
20,0.61031276,0.71000000,0.67403315,0.81333333,0.73716012,0.72342819,0.46000000,0.46666667,0.56000000,0.50909091
21,0.60149008,0.72333333,0.73103448,0.70666667,0.71864407,0.71793133,0.47000000,0.46808511,0.44000000,0.45360825
22,0.61433452,0.65666667,0.59591837,0.97333333,0.73924051,0.73970002,0.48000000,0.48717949,0.76000000,0.59375000
23,0.58857787,0.74000000,0.75352113,0.71333333,0.73287671,0.72445875,0.43000000,0.42553191,0.40000000,0.41237113
24,0.58013725,0.74666667,0.75342466,0.73333333,0.74324324,0.72269833,0.48000000,0.48076923,0.50000000,0.49019608
25,0.57123762,0.75333333,0.73456790,0.79333333,0.76282051,0.72562134,0.50000000,0.50000000,0.54000000,0.51923077
26,0.60142267,0.65333333,0.59126984,0.99333333,0.74129353,0.76264220,0.53000000,0.51764706,0.88000000,0.65185185
27,0.56284714,0.78333333,0.82945736,0.71333333,0.76702509,0.72718263,0.47000000,0.46511628,0.40000000,0.43010753
28,0.62915844,0.56333333,0.95238095,0.13333333,0.23391813,0.80161464,0.52000000,0.62500000,0.10000000,0.17241379
29,0.64650571,0.54333333,0.93333333,0.09333333,0.16969697,0.82103986,0.52000000,0.75000000,0.06000000,0.11111111
30,0.63670188,0.59666667,0.55350554,1.00000000,0.71258907,0.81913936,0.48000000,0.48936170,0.92000000,0.63888889
31,0.55091572,0.74666667,0.67289720,0.96000000,0.79120879,0.76986128,0.50000000,0.50000000,0.74000000,0.59677419
32,0.72667497,0.55000000,0.52631579,1.00000000,0.68965517,0.90018690,0.48000000,0.48936170,0.92000000,0.63888889
33,0.59554327,0.61000000,0.97142857,0.22666667,0.36756757,0.80977565,0.55000000,0.72727273,0.16000000,0.26229508
34,0.55772889,0.69333333,0.61983471,1.00000000,0.76530612,0.80240583,0.53000000,0.51807229,0.86000000,0.64661654
35,0.50800312,0.79000000,0.71859296,0.95333333,0.81948424,0.77366883,0.47000000,0.47826087,0.66000000,0.55462185
36,0.48611721,0.83000000,0.84615385,0.80666667,0.82593857,0.77383447,0.45000000,0.44680851,0.42000000,0.43298969
37,0.53199083,0.73333333,0.65486726,0.98666667,0.78723404,0.83010876,0.48000000,0.48717949,0.76000000,0.59375000
38,0.48619807,0.77666667,0.70646766,0.94666667,0.80911681,0.79007995,0.48000000,0.48484848,0.64000000,0.55172414
39,0.55469239,0.68333333,0.61410788,0.98666667,0.75703325,0.84963375,0.51000000,0.50588235,0.86000000,0.63703704
40,0.61504841,0.64333333,0.58365759,1.00000000,0.73710074,0.90603614,0.50000000,0.50000000,0.92000000,0.64788732
41,0.48677912,0.80333333,0.96907216,0.62666667,0.76113360,0.79194242,0.49000000,0.48387097,0.30000000,0.37037037
42,0.79762465,0.53666667,0.51903114,1.00000000,0.68337130,1.06701469,0.49000000,0.49484536,0.96000000,0.65306122
43,0.49578217,0.75333333,0.67117117,0.99333333,0.80107527,0.83814573,0.46000000,0.47435897,0.74000000,0.57812500
44,0.43730775,0.87666667,0.85534591,0.90666667,0.88025890,0.80747849,0.43000000,0.43396226,0.46000000,0.44660194
45,0.58509767,0.60000000,0.96875000,0.20666667,0.34065934,0.92125624,0.51000000,0.57142857,0.08000000,0.14035088
46,0.68453169,0.55333333,1.00000000,0.10666667,0.19277108,1.02341175,0.52000000,0.75000000,0.06000000,0.11111111
47,0.40925446,0.89000000,0.95348837,0.82000000,0.88172043,0.80662853,0.46000000,0.44444444,0.32000000,0.37209302
48,0.43464479,0.81666667,0.98969072,0.64000000,0.77732794,0.84302342,0.49000000,0.48484848,0.32000000,0.38554217
49,0.40824887,0.87000000,0.80662983,0.97333333,0.88217523,0.83405799,0.49000000,0.49230769,0.64000000,0.55652174
50,0.39657748,0.88333333,0.97520661,0.78666667,0.87084871,0.85769790,0.47000000,0.45945946,0.34000000,0.39080460
51,0.37951279,0.90000000,0.92857143,0.86666667,0.89655172,0.81614208,0.52000000,0.52272727,0.46000000,0.48936170
52,0.42352948,0.81000000,0.72906404,0.98666667,0.83852691,0.85666591,0.49000000,0.49333333,0.74000000,0.59200000
53,0.39209032,0.86000000,0.79670330,0.96666667,0.87349398,0.81348681,0.52000000,0.51562500,0.66000000,0.57894737
54,0.41096407,0.84000000,0.89230769,0.77333333,0.82857143,0.87967789,0.47000000,0.46511628,0.40000000,0.43010753
55,0.47193828,0.71666667,1.00000000,0.43333333,0.60465116,0.93850780,0.48000000,0.43750000,0.14000000,0.21212121
56,0.44978455,0.77000000,0.68493151,1.00000000,0.81300813,0.97442257,0.50000000,0.50000000,0.80000000,0.61538462
57,1.01114345,0.54666667,0.52447552,1.00000000,0.68807339,1.35724115,0.48000000,0.48958333,0.94000000,0.64383562
