epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.72558784,0.50666667,0.50335570,1.00000000,0.66964286,0.74745363,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68564653,0.53666667,0.57971014,0.26666667,0.36529680,0.71217638,0.49000000,0.48387097,0.30000000,0.37037037
3,0.68013054,0.57666667,0.64197531,0.34666667,0.45021645,0.71374077,0.50000000,0.50000000,0.30000000,0.37500000
4,0.68179059,0.52666667,0.70000000,0.09333333,0.16470588,0.71676099,0.55000000,0.69230769,0.18000000,0.28571429
5,0.66860026,0.52666667,0.57407407,0.20666667,0.30392157,0.71365786,0.50000000,0.50000000,0.24000000,0.32432432
6,0.69925445,0.51333333,0.50675676,1.00000000,0.67264574,0.74963051,0.48000000,0.48979592,0.96000000,0.64864865
7,0.65625691,0.60000000,0.64705882,0.44000000,0.52380952,0.71171463,0.50000000,0.50000000,0.40000000,0.44444444
8,0.65694308,0.60333333,0.56126482,0.94666667,0.70471464,0.72428495,0.43000000,0.46236559,0.86000000,0.60139860
9,0.64696169,0.61000000,0.72602740,0.35333333,0.47533632,0.71379691,0.47000000,0.45454545,0.30000000,0.36144578
10,0.63592136,0.71000000,0.67597765,0.80666667,0.73556231,0.71207976,0.52000000,0.51562500,0.66000000,0.57894737
11,0.62708771,0.70333333,0.66850829,0.80666667,0.73111782,0.71628189,0.51000000,0.50793651,0.64000000,0.56637168
12,0.64594305,0.59000000,0.84615385,0.22000000,0.34920635,0.74392110,0.52000000,0.55000000,0.22000000,0.31428571
13,0.62134820,0.70000000,0.64285714,0.90000000,0.75000000,0.73268396,0.48000000,0.48648649,0.72000000,0.58064516
14,0.61047262,0.70000000,0.67045455,0.78666667,0.72392638,0.72346693,0.53000000,0.52459016,0.64000000,0.57657658
15,0.62675077,0.65333333,0.59349593,0.97333333,0.73737374,0.74370819,0.46000000,0.47777778,0.86000000,0.61428571
16,0.66645169,0.53333333,0.91666667,0.07333333,0.13580247,0.79160237,0.52000000,0.62500000,0.10000000,0.17241379
17,0.68112123,0.54000000,0.92857143,0.08666667,0.15853659,0.82288086,0.52000000,0.62500000,0.10000000,0.17241379
18,0.68130440,0.53000000,1.00000000,0.06000000,0.11320755,0.83110732,0.51000000,0.57142857,0.08000000,0.14035088
19,0.61060905,0.64000000,0.58400000,0.97333333,0.73000000,0.76474679,0.48000000,0.48863636,0.86000000,0.62318841
20,0.56433403,0.75666667,0.85321101,0.62000000,0.71814672,0.73572135,0.50000000,0.50000000,0.40000000,0.44444444
21,0.60969996,0.59000000,0.93548387,0.19333333,0.32044199,0.77258956,0.56000000,0.75000000,0.18000000,0.29032258
22,0.63891834,0.58000000,1.00000000,0.16000000,0.27586207,0.83002532,0.55000000,0.77777778,0.14000000,0.23728814
23,0.54959404,0.77666667,0.71727749,0.91333333,0.80351906,0.74394208,0.51000000,0.50793651,0.64000000,0.56637168
24,0.59965843,0.70333333,0.64055300,0.92666667,0.75749319,0.70648581,0.49000000,0.49350649,0.76000000,0.59842520
25,0.55376977,0.69666667,0.88311688,0.45333333,0.59911894,0.78226924,0.56000000,0.62500000,0.30000000,0.40540541
26,0.51166892,0.81000000,0.75409836,0.92000000,0.82882883,0.73294616,0.53000000,0.52380952,0.66000000,0.58407080
27,0.49697417,0.81000000,0.84962406,0.75333333,0.79858657,0.74514067,0.51000000,0.51162791,0.44000000,0.47311828
28,0.52130228,0.75666667,0.68075117,0.96666667,0.79889807,0.75074369,0.50000000,0.50000000,0.76000000,0.60317460
29,0.48702946,0.79666667,0.73298429,0.93333333,0.82111437,0.76399529,0.53000000,0.52173913,0.72000000,0.60504202
30,0.52262217,0.75666667,0.68246445,0.96000000,0.79778393,0.76411456,0.50000000,0.50000000,0.76000000,0.60317460
31,0.47455221,0.81000000,0.92660550,0.67333333,0.77992278,0.81909531,0.52000000,0.52941176,0.36000000,0.42857143
32,0.49354753,0.78000000,0.70000000,0.98000000,0.81666667,0.75487000,0.52000000,0.51388889,0.74000000,0.60655738
33,0.45645523,0.82666667,0.92241379,0.71333333,0.80451128,0.77758789,0.51000000,0.51351351,0.38000000,0.43678161
34,0.44682425,0.84666667,0.78260870,0.96000000,0.86227545,0.77081281,0.54000000,0.53030303,0.70000000,0.60344828
35,0.44222546,0.84333333,0.77540107,0.96666667,0.86053412,0.78220975,0.53000000,0.52173913,0.72000000,0.60504202
36,0.46409515,0.80333333,0.72195122,0.98666667,0.83380282,0.81055176,0.49000000,0.49315068,0.72000000,0.58536585
37,0.44878647,0.82333333,0.98019802,0.66000000,0.78884462,0.85376048,0.55000000,0.58620690,0.34000000,0.43037975
38,0.39729953,0.87666667,0.85534591,0.90666667,0.88025890,0.79361635,0.52000000,0.52000000,0.52000000,0.52000000
39,0.51076883,0.70666667,1.00000000,0.41333333,0.58490566,0.94106340,0.60000000,0.81250000,0.26000000,0.39393939
40,0.39600030,0.88000000,0.90140845,0.85333333,0.87671233,0.79145277,0.51000000,0.51162791,0.44000000,0.47311828
41,0.81521970,0.55000000,0.52631579,1.00000000,0.68965517,1.13615131,0.48000000,0.48958333,0.94000000,0.64383562
42,0.43122020,0.77666667,0.98823529,0.56000000,0.71489362,0.90223879,0.54000000,0.59090909,0.26000000,0.36111111
43,0.67196840,0.62666667,0.57251908,1.00000000,0.72815534,1.06351268,0.50000000,0.50000000,0.94000000,0.65277778
44,0.53821242,0.66333333,0.98039216,0.33333333,0.49751244,0.99109221,0.55000000,0.60869565,0.28000000,0.38356164
45,0.51315153,0.71000000,0.63404255,0.99333333,0.77402597,0.97488874,0.49000000,0.49425287,0.86000000,0.62773723
46,0.46735585,0.73000000,1.00000000,0.46000000,0.63013699,1.02817857,0.55000000,0.61904762,0.26000000,0.36619718
47,0.34792078,0.89333333,0.84302326,0.96666667,0.90062112,0.83199263,0.53000000,0.52459016,0.64000000,0.57657658
48,1.09495628,0.51666667,0.50847458,1.00000000,0.67415730,1.33612120,0.50000000,0.50000000,0.98000000,0.66216216
49,0.31833345,0.90000000,0.85294118,0.96666667,0.90625000,0.87613082,0.49000000,0.49090909,0.54000000,0.51428571
50,0.32624856,0.90333333,0.99186992,0.81333333,0.89377289,1.01470423,0.48000000,0.47222222,0.34000000,0.39534884
51,0.67659861,0.61333333,0.56390977,1.00000000,0.72115385,1.11726117,0.49000000,0.49473684,0.94000000,0.64827586
52,0.42701018,0.76666667,0.98780488,0.54000000,0.69827586,1.16095817,0.57000000,0.70588235,0.24000000,0.35820896
53,0.33632514,0.86666667,1.00000000,0.73333333,0.84615385,1.02293015,0.50000000,0.50000000,0.28000000,0.35897436
54,0.34209722,0.84000000,0.75757576,1.00000000,0.86206897,1.00651646,0.47000000,0.47826087,0.66000000,0.55462185
55,0.26501226,0.93000000,0.91612903,0.94666667,0.93114754,0.88544184,0.53000000,0.52941176,0.54000000,0.53465347
56,0.35119551,0.83666667,1.00000000,0.67333333,0.80478088,1.03454638,0.52000000,0.54166667,0.26000000,0.35135135
57,0.56121981,0.68000000,0.61065574,0.99333333,0.75634518,0.99670273,0.52000000,0.51111111,0.92000000,0.65714286
