epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69043303,0.52666667,0.52777778,0.50666667,0.51700680,0.69725358,0.53000000,0.52727273,0.58000000,0.55238095
2,0.68482596,0.56333333,0.53909465,0.87333333,0.66666667,0.69278336,0.49000000,0.49382716,0.80000000,0.61068702
3,0.68507397,0.53000000,0.51648352,0.94000000,0.66666667,0.69608188,0.51000000,0.50549451,0.92000000,0.65248227
4,0.67919314,0.55666667,0.53256705,0.92666667,0.67639903,0.69411498,0.50000000,0.50000000,0.88000000,0.63768116
5,0.68573678,0.51666667,0.77777778,0.04666667,0.08805031,0.70213366,0.55000000,1.00000000,0.10000000,0.18181818
6,0.66855478,0.61666667,0.71604938,0.38666667,0.50216450,0.68931687,0.55000000,0.58064516,0.36000000,0.44444444
7,0.66452807,0.66000000,0.62500000,0.80000000,0.70175439,0.68813288,0.55000000,0.53623188,0.74000000,0.62184874
8,0.66628772,0.60333333,0.56224900,0.93333333,0.70175439,0.69194937,0.53000000,0.51807229,0.86000000,0.64661654
9,0.65632504,0.68000000,0.71093750,0.60666667,0.65467626,0.68780673,0.57000000,0.56862745,0.58000000,0.57425743
10,0.65552121,0.69666667,0.69536424,0.70000000,0.69767442,0.68734878,0.59000000,0.57894737,0.66000000,0.61682243
11,0.65726155,0.60333333,0.56126482,0.94666667,0.70471464,0.69302630,0.54000000,0.52325581,0.90000000,0.66176471
12,0.64688051,0.70666667,0.68902439,0.75333333,0.71974522,0.68733370,0.54000000,0.53333333,0.64000000,0.58181818
13,0.64410216,0.70000000,0.67045455,0.78666667,0.72392638,0.68725401,0.55000000,0.53731343,0.72000000,0.61538462
14,0.64245427,0.66333333,0.60698690,0.92666667,0.73350923,0.68857467,0.59000000,0.55696203,0.88000000,0.68217054
15,0.63682503,0.67666667,0.62679426,0.87333333,0.72980501,0.68873155,0.56000000,0.53947368,0.82000000,0.65079365
16,0.65478277,0.57000000,0.53903346,0.96666667,0.69212411,0.71040863,0.52000000,0.51063830,0.96000000,0.66666667
17,0.63114566,0.72666667,0.82075472,0.58000000,0.67968750,0.68694520,0.59000000,0.60000000,0.54000000,0.56842105
18,0.63528150,0.64000000,0.58750000,0.94000000,0.72307692,0.69641775,0.55000000,0.52941176,0.90000000,0.66666667
19,0.62481356,0.67666667,0.61572052,0.94000000,0.74406332,0.69131631,0.57000000,0.54430380,0.86000000,0.66666667
20,0.62086314,0.76333333,0.79699248,0.70666667,0.74911661,0.68361098,0.59000000,0.58490566,0.62000000,0.60194175
21,0.62641019,0.65000000,0.59259259,0.96000000,0.73282443,0.69934386,0.52000000,0.51162791,0.88000000,0.64705882
22,0.61031461,0.75666667,0.71270718,0.86000000,0.77945619,0.68733031,0.58000000,0.56250000,0.72000000,0.63157895
23,0.61326408,0.72333333,0.83838384,0.55333333,0.66666667,0.68740571,0.60000000,0.62500000,0.50000000,0.55555556
24,0.61618507,0.65333333,0.59583333,0.95333333,0.73333333,0.70220995,0.56000000,0.53571429,0.90000000,0.67164179
25,0.64501774,0.56000000,1.00000000,0.12000000,0.21428571,0.73391157,0.49000000,0.44444444,0.08000000,0.13559322
26,0.87899309,0.50333333,1.00000000,0.00666667,0.01324503,0.94820923,0.50000000,0.00000000,0.00000000,0.00000000
27,0.59716707,0.69000000,0.62445415,0.95333333,0.75461741,0.70330656,0.55000000,0.53086420,0.86000000,0.65648855
28,0.59980375,0.71000000,0.95652174,0.44000000,0.60273973,0.70472854,0.54000000,0.57142857,0.32000000,0.41025641
29,0.60626644,0.66666667,0.98076923,0.34000000,0.50495050,0.71317887,0.52000000,0.54545455,0.24000000,0.33333333
30,0.57553416,0.78666667,0.72872340,0.91333333,0.81065089,0.69122100,0.57000000,0.55555556,0.70000000,0.61946903
31,0.60293162,0.63666667,0.57976654,0.99333333,0.73218673,0.72204971,0.52000000,0.51136364,0.90000000,0.65217391
32,0.57994783,0.69666667,0.62770563,0.96666667,0.76115486,0.69888884,0.55000000,0.53086420,0.86000000,0.65648855
33,0.56432819,0.78000000,0.89622642,0.63333333,0.74218750,0.69508171,0.57000000,0.58139535,0.50000000,0.53763441
34,0.55233622,0.76000000,0.70967742,0.88000000,0.78571429,0.70712632,0.54000000,0.52857143,0.74000000,0.61666667
35,0.61960357,0.61000000,1.00000000,0.22000000,0.36065574,0.75636065,0.50000000,0.50000000,0.16000000,0.24242424
36,0.55154276,0.79333333,0.88596491,0.67333333,0.76515152,0.69853860,0.57000000,0.57777778,0.52000000,0.54736842
37,0.55922830,0.72333333,0.64888889,0.97333333,0.77866667,0.71460116,0.54000000,0.52439024,0.86000000,0.65151515
38,0.61940622,0.61666667,1.00000000,0.23333333,0.37837838,0.77987236,0.49000000,0.44444444,0.08000000,0.13559322
