epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68855202,0.50333333,0.51063830,0.16000000,0.24365482,0.68842447,0.54000000,0.60000000,0.24000000,0.34285714
2,0.67824799,0.55333333,0.57407407,0.41333333,0.48062016,0.68906081,0.56000000,0.57500000,0.46000000,0.51111111
3,0.75577772,0.50000000,0.50000000,0.99333333,0.66517857,0.77014303,0.50000000,0.50000000,1.00000000,0.66666667
4,0.66637897,0.62000000,0.62000000,0.62000000,0.62000000,0.69393981,0.52000000,0.51785714,0.58000000,0.54716981
5,0.69308764,0.51333333,0.70000000,0.04666667,0.08750000,0.72693664,0.50000000,0.50000000,0.06000000,0.10714286
6,0.71218640,0.51666667,0.50853242,0.99333333,0.67268623,0.74674344,0.48000000,0.48979592,0.96000000,0.64864865
7,0.65523690,0.65666667,0.65771812,0.65333333,0.65551839,0.69571412,0.53000000,0.52631579,0.60000000,0.56074766
8,0.65955579,0.57000000,0.71428571,0.23333333,0.35175879,0.71067065,0.50000000,0.50000000,0.18000000,0.26470588
9,0.68615234,0.52333333,0.88888889,0.05333333,0.10062893,0.73952448,0.49000000,0.42857143,0.06000000,0.10526316
10,0.64437997,0.66333333,0.61951220,0.84666667,0.71549296,0.70650512,0.51000000,0.50704225,0.72000000,0.59504132
11,0.66867924,0.57000000,0.53874539,0.97333333,0.69358670,0.72649008,0.52000000,0.51111111,0.92000000,0.65714286
12,0.64027578,0.63333333,0.75000000,0.40000000,0.52173913,0.70896512,0.56000000,0.60714286,0.34000000,0.43589744
13,0.64437956,0.61333333,0.56800000,0.94666667,0.71000000,0.72215408,0.53000000,0.51807229,0.86000000,0.64661654
14,0.63311714,0.65666667,0.60829493,0.88000000,0.71934605,0.71258581,0.47000000,0.48000000,0.72000000,0.57600000
15,0.63939267,0.62333333,0.57429719,0.95333333,0.71679198,0.72408831,0.52000000,0.51219512,0.84000000,0.63636364
16,0.72121203,0.52333333,0.51194539,1.00000000,0.67720090,0.79224181,0.48000000,0.48979592,0.96000000,0.64864865
17,0.61927611,0.70333333,0.75206612,0.60666667,0.67158672,0.71255147,0.52000000,0.52272727,0.46000000,0.48936170
18,0.61556315,0.69666667,0.74380165,0.60000000,0.66420664,0.71291292,0.54000000,0.54761905,0.46000000,0.50000000
19,0.62536073,0.63333333,0.58264463,0.94000000,0.71938776,0.72513270,0.51000000,0.50617284,0.82000000,0.62595420
20,0.68668061,0.53000000,1.00000000,0.06000000,0.11320755,0.78067172,0.49000000,0.40000000,0.04000000,0.07272727
21,0.65927863,0.57333333,0.54074074,0.97333333,0.69523810,0.76170212,0.50000000,0.50000000,0.92000000,0.64788732
22,0.59821177,0.72333333,0.77235772,0.63333333,0.69597070,0.72228503,0.53000000,0.53658537,0.44000000,0.48351648
23,0.62731540,0.60333333,0.55984556,0.96666667,0.70904645,0.75158018,0.52000000,0.51190476,0.86000000,0.64179104
24,0.59262574,0.72000000,0.82352941,0.56000000,0.66666667,0.72694033,0.54000000,0.55000000,0.44000000,0.48888889
25,0.69037455,0.56666667,0.53597122,0.99333333,0.69626168,0.81976014,0.49000000,0.49473684,0.94000000,0.64827586
26,0.60597807,0.62333333,0.89361702,0.28000000,0.42639594,0.74512500,0.55000000,0.63157895,0.24000000,0.34782609
27,0.58241004,0.72000000,0.66176471,0.90000000,0.76271186,0.73667169,0.46000000,0.47058824,0.64000000,0.54237288
28,0.59624135,0.66333333,0.60251046,0.96000000,0.74035990,0.76083601,0.49000000,0.49382716,0.80000000,0.61068702
29,0.59679222,0.64333333,0.87719298,0.33333333,0.48309179,0.75461876,0.53000000,0.57142857,0.24000000,0.33802817
30,0.56130791,0.76666667,0.70833333,0.90666667,0.79532164,0.72850806,0.46000000,0.46875000,0.60000000,0.52631579
31,0.54928946,0.80000000,0.80405405,0.79333333,0.79865772,0.73352623,0.48000000,0.48000000,0.48000000,0.48000000
32,0.86198831,0.50666667,1.00000000,0.01333333,0.02631579,1.00678289,0.50000000,0.00000000,0.00000000,0.00000000
