epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69216633,0.51666667,0.50896057,0.94666667,0.66200466,0.70473158,0.48000000,0.48913043,0.90000000,0.63380282
2,0.68705976,0.53333333,0.56250000,0.30000000,0.39130435,0.70829153,0.42000000,0.35714286,0.20000000,0.25641026
3,0.68255597,0.55666667,0.58415842,0.39333333,0.47011952,0.70135450,0.46000000,0.44444444,0.32000000,0.37209302
4,0.67967439,0.63333333,0.65384615,0.56666667,0.60714286,0.70371580,0.45000000,0.43243243,0.32000000,0.36781609
5,0.70738721,0.50000000,0.50000000,1.00000000,0.66666667,0.75739509,0.50000000,0.50000000,1.00000000,0.66666667
6,0.67957175,0.59333333,0.63461538,0.44000000,0.51968504,0.69868499,0.57000000,0.62068966,0.36000000,0.45569620
7,0.67022443,0.67000000,0.71428571,0.56666667,0.63197026,0.70410830,0.51000000,0.51351351,0.38000000,0.43678161
8,0.66302669,0.60666667,0.56060606,0.98666667,0.71497585,0.71257156,0.47000000,0.48275862,0.84000000,0.61313869
9,0.66246462,0.56666667,0.70833333,0.22666667,0.34343434,0.71275878,0.52000000,0.55000000,0.22000000,0.31428571
10,0.65502429,0.68666667,0.69178082,0.67333333,0.68243243,0.69906908,0.50000000,0.50000000,0.46000000,0.47916667
11,0.66131490,0.57666667,0.54339623,0.96000000,0.69397590,0.73144883,0.47000000,0.48351648,0.88000000,0.62411348
12,0.65558225,0.58333333,0.80487805,0.22000000,0.34554974,0.73255765,0.57000000,0.73333333,0.22000000,0.33846154
13,0.62979299,0.65333333,0.85937500,0.36666667,0.51401869,0.72635150,0.51000000,0.52631579,0.20000000,0.28985507
14,0.61191195,0.72333333,0.68715084,0.82000000,0.74772036,0.71435928,0.49000000,0.49122807,0.56000000,0.52336449
15,0.60999745,0.71333333,0.65384615,0.90666667,0.75977654,0.74386674,0.51000000,0.50704225,0.72000000,0.59504132
16,0.67987436,0.56333333,0.53380783,1.00000000,0.69605568,0.83590049,0.45000000,0.47311828,0.88000000,0.61538462
17,0.62357503,0.58000000,0.59523810,0.50000000,0.54347826,0.73771363,0.55000000,0.56410256,0.44000000,0.49438202
18,0.57289416,0.71333333,0.65533981,0.90000000,0.75842697,0.75808311,0.56000000,0.54545455,0.72000000,0.62068966
19,0.57671571,0.73666667,0.83177570,0.59333333,0.69260700,0.75881201,0.54000000,0.57142857,0.32000000,0.41025641
20,0.62920952,0.62666667,0.62837838,0.62000000,0.62416107,0.69906706,0.53000000,0.52941176,0.54000000,0.53465347
21,0.61128795,0.68000000,0.61440678,0.96666667,0.75129534,0.77653837,0.51000000,0.50602410,0.84000000,0.63157895
22,0.56814176,0.72666667,0.75000000,0.68000000,0.71328671,0.77181137,0.52000000,0.52173913,0.48000000,0.50000000
23,0.59676003,0.71000000,0.81188119,0.54666667,0.65338645,0.74561495,0.45000000,0.43902439,0.36000000,0.39560440
24,0.60436529,0.67666667,0.77319588,0.50000000,0.60728745,0.78660220,0.47000000,0.45454545,0.30000000,0.36144578
25,0.51451987,0.76666667,0.71505376,0.88666667,0.79166667,0.81581771,0.48000000,0.48214286,0.54000000,0.50943396
26,0.50249362,0.77333333,0.75949367,0.80000000,0.77922078,0.82047051,0.51000000,0.50877193,0.58000000,0.54205607
27,0.51663262,0.76333333,0.70899471,0.89333333,0.79056047,0.90317076,0.42000000,0.43103448,0.50000000,0.46296296
28,0.54423177,0.67666667,0.80459770,0.46666667,0.59071730,0.90654892,0.53000000,0.56521739,0.26000000,0.35616438
29,0.55602640,0.74666667,0.89361702,0.56000000,0.68852459,0.73230344,0.53000000,0.55172414,0.32000000,0.40506329
30,0.62046570,0.57666667,1.00000000,0.15333333,0.26589595,0.83516955,0.52000000,0.60000000,0.12000000,0.20000000
