epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69773859,0.48666667,0.40000000,0.05333333,0.09411765,0.72957152,0.46000000,0.25000000,0.04000000,0.06896552
2,0.67656428,0.55000000,0.60273973,0.29333333,0.39461883,0.71393996,0.47000000,0.44000000,0.22000000,0.29333333
3,0.67082942,0.57000000,0.65217391,0.30000000,0.41095890,0.71570569,0.47000000,0.43478261,0.20000000,0.27397260
4,0.66693902,0.56000000,0.63636364,0.28000000,0.38888889,0.71849734,0.49000000,0.48000000,0.24000000,0.32000000
5,0.66601568,0.61000000,0.56790123,0.92000000,0.70229008,0.71710855,0.51000000,0.50574713,0.88000000,0.64233577
6,0.65623075,0.65666667,0.60930233,0.87333333,0.71780822,0.71687871,0.50000000,0.50000000,0.70000000,0.58333333
7,0.67101592,0.56666667,0.53759398,0.95333333,0.68750000,0.73551869,0.50000000,0.50000000,0.90000000,0.64285714
8,0.64606762,0.70000000,0.64285714,0.90000000,0.75000000,0.71896100,0.48000000,0.48571429,0.68000000,0.56666667
9,0.64253795,0.69333333,0.65591398,0.81333333,0.72619048,0.71267754,0.52000000,0.51562500,0.66000000,0.57894737
10,0.64125800,0.68000000,0.62162162,0.92000000,0.74193548,0.71934891,0.50000000,0.50000000,0.78000000,0.60937500
11,0.68331581,0.53333333,0.51724138,1.00000000,0.68181818,0.75759965,0.50000000,0.50000000,0.92000000,0.64788732
12,0.62873095,0.70333333,0.66137566,0.83333333,0.73746313,0.71976227,0.52000000,0.51470588,0.70000000,0.59322034
13,0.62640262,0.70666667,0.64622642,0.91333333,0.75690608,0.72052246,0.50000000,0.50000000,0.74000000,0.59677419
14,0.67158091,0.56333333,0.53380783,1.00000000,0.69605568,0.76335406,0.50000000,0.50000000,0.92000000,0.64788732
15,0.62119669,0.68333333,0.79569892,0.49333333,0.60905350,0.72059941,0.53000000,0.54285714,0.38000000,0.44705882
16,0.61469382,0.69333333,0.83720930,0.48000000,0.61016949,0.72321457,0.53000000,0.54054054,0.40000000,0.45977011
17,0.60285962,0.72666667,0.73287671,0.71333333,0.72297297,0.72212374,0.56000000,0.55555556,0.60000000,0.57692308
18,0.60116470,0.75333333,0.79230769,0.68666667,0.73571429,0.71914506,0.55000000,0.55319149,0.52000000,0.53608247
19,0.59505689,0.75000000,0.71929825,0.82000000,0.76635514,0.71989650,0.58000000,0.56896552,0.66000000,0.61111111
20,0.64744341,0.59333333,0.55147059,1.00000000,0.71090047,0.77023453,0.49000000,0.49438202,0.88000000,0.63309353
21,0.59425843,0.73333333,0.66203704,0.95333333,0.78142077,0.72980416,0.50000000,0.50000000,0.74000000,0.59677419
22,0.58091396,0.78666667,0.86440678,0.68000000,0.76119403,0.72840631,0.54000000,0.55000000,0.44000000,0.48888889
23,0.57323170,0.78000000,0.80434783,0.74000000,0.77083333,0.73089212,0.55000000,0.55102041,0.54000000,0.54545455
24,0.56778628,0.77666667,0.79020979,0.75333333,0.77133106,0.73545837,0.56000000,0.56521739,0.52000000,0.54166667
25,0.56960291,0.74333333,0.89247312,0.55333333,0.68312757,0.73873472,0.52000000,0.53125000,0.34000000,0.41463415
26,0.68751568,0.54333333,0.52264808,1.00000000,0.68649886,0.82203341,0.47000000,0.48351648,0.88000000,0.62411348
27,0.61865509,0.57666667,1.00000000,0.15333333,0.26589595,0.77126312,0.49000000,0.42857143,0.06000000,0.10526316
28,0.55290568,0.76666667,0.92553191,0.58000000,0.71311475,0.74350333,0.52000000,0.53333333,0.32000000,0.40000000
29,0.63430268,0.55666667,1.00000000,0.11333333,0.20359281,0.80318743,0.50000000,0.50000000,0.04000000,0.07407407
30,0.59357888,0.67333333,0.60569106,0.99333333,0.75252525,0.78316671,0.55000000,0.53012048,0.88000000,0.66165414
31,0.69675171,0.54000000,0.52083333,1.00000000,0.68493151,0.83800006,0.49000000,0.49462366,0.92000000,0.64335664
32,0.57982349,0.69666667,0.62343096,0.99333333,0.76606684,0.76101273,0.54000000,0.52500000,0.84000000,0.64615385
33,0.52135444,0.82000000,0.89344262,0.72666667,0.80147059,0.74797487,0.54000000,0.55555556,0.40000000,0.46511628
34,0.54269642,0.72333333,0.97183099,0.46000000,0.62443439,0.77771705,0.52000000,0.55000000,0.22000000,0.31428571
35,0.67169547,0.53333333,1.00000000,0.06666667,0.12500000,0.89472985,0.50000000,0.50000000,0.04000000,0.07407407
