epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67657000,0.56666667,0.54273504,0.84666667,0.66145833,0.69660205,0.53000000,0.51851852,0.84000000,0.64122137
2,0.83513486,0.50000000,0.00000000,0.00000000,0.00000000,0.85516495,0.50000000,0.00000000,0.00000000,0.00000000
3,0.67023718,0.60666667,0.69047619,0.38666667,0.49572650,0.70184678,0.44000000,0.41176471,0.28000000,0.33333333
4,0.68427438,0.54666667,0.81818182,0.12000000,0.20930233,0.70128983,0.49000000,0.42857143,0.06000000,0.10526316
5,0.67747688,0.56666667,0.65151515,0.28666667,0.39814815,0.68417740,0.53000000,0.56000000,0.28000000,0.37333333
6,0.69929606,0.50666667,0.50347222,0.96666667,0.66210046,0.71171659,0.51000000,0.50537634,0.94000000,0.65734266
7,0.64462638,0.65000000,0.79220779,0.40666667,0.53744493,0.69361776,0.55000000,0.58620690,0.34000000,0.43037975
8,0.66649538,0.60000000,0.56198347,0.90666667,0.69387755,0.70360571,0.52000000,0.51136364,0.90000000,0.65217391
9,0.68835813,0.53333333,0.51785714,0.96666667,0.67441860,0.70248705,0.53000000,0.51578947,0.98000000,0.67586207
10,0.69955635,0.50666667,0.50337838,0.99333333,0.66816143,0.74523026,0.49000000,0.49494949,0.98000000,0.65771812
11,0.63992178,0.67000000,0.61538462,0.90666667,0.73315364,0.70305008,0.49000000,0.49382716,0.80000000,0.61068702
12,0.65641439,0.55000000,0.85714286,0.12000000,0.21052632,0.70652491,0.53000000,0.61538462,0.16000000,0.25396825
13,0.62402254,0.67333333,0.62500000,0.86666667,0.72625698,0.72451597,0.50000000,0.50000000,0.76000000,0.60317460
14,0.68680620,0.52666667,0.90000000,0.06000000,0.11250000,0.76212096,0.51000000,1.00000000,0.02000000,0.03921569
15,0.60483360,0.74333333,0.75524476,0.72000000,0.73720137,0.69369215,0.49000000,0.49056604,0.52000000,0.50485437
16,0.61733562,0.68666667,0.62173913,0.95333333,0.75263158,0.73725557,0.51000000,0.50561798,0.90000000,0.64748201
17,0.63925922,0.59666667,0.91428571,0.21333333,0.34594595,0.75409335,0.52000000,0.55555556,0.20000000,0.29411765
18,0.70083624,0.55666667,0.79310345,0.15333333,0.25698324,0.77467465,0.48000000,0.37500000,0.06000000,0.10344828
19,0.59685773,0.70666667,0.63839286,0.95333333,0.76470588,0.73975432,0.48000000,0.48809524,0.82000000,0.61194030
20,0.59394187,0.65333333,0.88333333,0.35333333,0.50476190,0.74904859,0.50000000,0.50000000,0.26000000,0.34210526
21,0.61090171,0.69666667,0.71851852,0.64666667,0.68070175,0.73837286,0.48000000,0.47916667,0.46000000,0.46938776
22,0.65194702,0.56000000,0.95000000,0.12666667,0.22352941,0.87355757,0.52000000,0.66666667,0.08000000,0.14285714
23,0.54204333,0.77333333,0.70098039,0.95333333,0.80790960,0.74958634,0.49000000,0.49333333,0.74000000,0.59200000
24,0.58649755,0.66666667,0.60080645,0.99333333,0.74874372,0.83421034,0.48000000,0.48888889,0.88000000,0.62857143
25,0.54954255,0.66666667,0.96296296,0.34666667,0.50980392,0.86888939,0.51000000,0.52941176,0.18000000,0.26865672
26,0.62912661,0.63333333,0.58064516,0.96000000,0.72361809,0.79934317,0.51000000,0.50549451,0.92000000,0.65248227
27,0.61678874,0.61666667,0.92682927,0.25333333,0.39790576,0.89214462,0.53000000,0.63636364,0.14000000,0.22950820
28,0.47466797,0.82666667,0.75789474,0.96000000,0.84705882,0.82188034,0.49000000,0.49230769,0.64000000,0.55652174
29,0.50300986,0.74666667,0.90217391,0.55333333,0.68595041,0.78037202,0.54000000,0.55263158,0.42000000,0.47727273
30,0.78787589,0.57333333,0.53985507,0.99333333,0.69953052,1.01560497,0.49000000,0.49473684,0.94000000,0.64827586
