epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68689477,0.54666667,0.52868852,0.86000000,0.65482234,0.71366102,0.44000000,0.45588235,0.62000000,0.52542373
2,0.68274134,0.56666667,0.54347826,0.83333333,0.65789474,0.71560460,0.42000000,0.44285714,0.62000000,0.51666667
3,0.68137819,0.56666667,0.54000000,0.90000000,0.67500000,0.71558762,0.43000000,0.45205479,0.66000000,0.53658537
4,0.67658019,0.59333333,0.56422018,0.82000000,0.66847826,0.71457458,0.43000000,0.44615385,0.58000000,0.50434783
5,0.67401451,0.61666667,0.58293839,0.82000000,0.68144044,0.71473819,0.40000000,0.42187500,0.54000000,0.47368421
6,0.67101926,0.61333333,0.62878788,0.55333333,0.58865248,0.71802163,0.39000000,0.38297872,0.36000000,0.37113402
7,0.67115563,0.61333333,0.58018868,0.82000000,0.67955801,0.71445125,0.42000000,0.43939394,0.58000000,0.50000000
8,0.66577834,0.63666667,0.64335664,0.61333333,0.62798635,0.71879530,0.41000000,0.40425532,0.38000000,0.39175258
9,0.66784763,0.61666667,0.57201646,0.92666667,0.70737913,0.71653259,0.45000000,0.46666667,0.70000000,0.56000000
10,0.66369927,0.58666667,0.67567568,0.33333333,0.44642857,0.72413158,0.48000000,0.45833333,0.22000000,0.29729730
11,0.65910786,0.63000000,0.70103093,0.45333333,0.55060729,0.72335601,0.47000000,0.45161290,0.28000000,0.34567901
12,0.65493143,0.67000000,0.67832168,0.64666667,0.66211604,0.72052300,0.45000000,0.44186047,0.38000000,0.40860215
13,0.65228081,0.67000000,0.64245810,0.76666667,0.69908815,0.71961898,0.44000000,0.44642857,0.50000000,0.47169811
14,0.65000921,0.66333333,0.68992248,0.59333333,0.63799283,0.72193623,0.46000000,0.45238095,0.38000000,0.41304348
15,0.65199411,0.60666667,0.69512195,0.38000000,0.49137931,0.72777259,0.47000000,0.44827586,0.26000000,0.32911392
16,0.66870767,0.53000000,0.84615385,0.07333333,0.13496933,0.74609566,0.48000000,0.25000000,0.02000000,0.03703704
17,0.64678735,0.67000000,0.62085308,0.87333333,0.72576177,0.71770126,0.50000000,0.50000000,0.68000000,0.57627119
18,0.65005946,0.64666667,0.59090909,0.95333333,0.72959184,0.72036618,0.49000000,0.49350649,0.76000000,0.59842520
19,0.63535869,0.71333333,0.72857143,0.68000000,0.70344828,0.72357857,0.48000000,0.47727273,0.42000000,0.44680851
20,0.63119477,0.69000000,0.67484663,0.73333333,0.70287540,0.72395194,0.49000000,0.48979592,0.48000000,0.48484848
21,0.63207906,0.68333333,0.63157895,0.88000000,0.73537604,0.72516966,0.50000000,0.50000000,0.66000000,0.56896552
22,0.62926012,0.66666667,0.61682243,0.88000000,0.72527473,0.72939581,0.51000000,0.50746269,0.68000000,0.58119658
23,0.62372470,0.72000000,0.77500000,0.62000000,0.68888889,0.73162329,0.51000000,0.51219512,0.42000000,0.46153846
24,0.62101156,0.70000000,0.65151515,0.86000000,0.74137931,0.72690701,0.49000000,0.49206349,0.62000000,0.54867257
25,0.61468452,0.72666667,0.71794872,0.74666667,0.73202614,0.73010331,0.50000000,0.50000000,0.50000000,0.50000000
26,0.61559808,0.74000000,0.79508197,0.64666667,0.71323529,0.73118466,0.48000000,0.47222222,0.34000000,0.39534884
27,0.60737097,0.73666667,0.71515152,0.78666667,0.74920635,0.73004895,0.50000000,0.50000000,0.54000000,0.51923077
28,0.61241478,0.72000000,0.77966102,0.61333333,0.68656716,0.74270618,0.47000000,0.46341463,0.38000000,0.41758242
29,0.60807467,0.71333333,0.65238095,0.91333333,0.76111111,0.73653203,0.51000000,0.50793651,0.64000000,0.56637168
30,0.60081512,0.73000000,0.68648649,0.84666667,0.75820896,0.73384953,0.50000000,0.50000000,0.56000000,0.52830189
31,0.61527175,0.63000000,0.83050847,0.32666667,0.46889952,0.76097149,0.51000000,0.52631579,0.20000000,0.28985507
32,0.59058249,0.76333333,0.78832117,0.72000000,0.75261324,0.73891842,0.54000000,0.54761905,0.46000000,0.50000000
33,0.63439709,0.60666667,0.56201550,0.96666667,0.71078431,0.76691741,0.48000000,0.48780488,0.80000000,0.60606061
34,0.57980502,0.76000000,0.74375000,0.79333333,0.76774194,0.74191862,0.52000000,0.52000000,0.52000000,0.52000000
35,0.65812814,0.58666667,0.54814815,0.98666667,0.70476190,0.77535611,0.48000000,0.48863636,0.86000000,0.62318841
36,0.57134521,0.76666667,0.75974026,0.78000000,0.76973684,0.74843341,0.52000000,0.51923077,0.54000000,0.52941176
37,0.56852740,0.76000000,0.75324675,0.77333333,0.76315789,0.75093335,0.53000000,0.53061224,0.52000000,0.52525253
38,0.58276492,0.71666667,0.64705882,0.95333333,0.77088949,0.75485563,0.55000000,0.53623188,0.74000000,0.62184874
39,0.59172916,0.68333333,0.61802575,0.96000000,0.75195822,0.75615066,0.52000000,0.51315789,0.78000000,0.61904762
40,0.64009506,0.60000000,0.55681818,0.98000000,0.71014493,0.77864945,0.48000000,0.48837209,0.84000000,0.61764706
41,0.57219470,0.70333333,0.89610390,0.46000000,0.60792952,0.77775043,0.53000000,0.56000000,0.28000000,0.37333333
42,0.54383332,0.80333333,0.81379310,0.78666667,0.80000000,0.75189590,0.55000000,0.55555556,0.50000000,0.52631579
43,0.58355093,0.66666667,0.60504202,0.96000000,0.74226804,0.76136982,0.53000000,0.51948052,0.80000000,0.62992126
44,0.67346865,0.53666667,1.00000000,0.07333333,0.13664596,0.88718426,0.48000000,0.25000000,0.02000000,0.03703704
45,0.54153228,0.74333333,0.80165289,0.64666667,0.71586716,0.78584683,0.50000000,0.50000000,0.36000000,0.41860465
46,0.53015870,0.78000000,0.73076923,0.88666667,0.80120482,0.77050740,0.54000000,0.53703704,0.58000000,0.55769231
47,0.53123951,0.79666667,0.73544974,0.92666667,0.82005900,0.75059235,0.53000000,0.52459016,0.64000000,0.57657658
48,0.53201395,0.75666667,0.82905983,0.64666667,0.72659176,0.79592931,0.50000000,0.50000000,0.34000000,0.40476190
49,0.59526646,0.61333333,0.92500000,0.24666667,0.38947368,0.85554028,0.51000000,0.53333333,0.16000000,0.24615385
50,0.53069377,0.73666667,0.91764706,0.52000000,0.66382979,0.80409050,0.49000000,0.48275862,0.28000000,0.35443038
51,0.50029540,0.79666667,0.74316940,0.90666667,0.81681682,0.78382277,0.53000000,0.52727273,0.58000000,0.55238095
52,0.50922364,0.79666667,0.73056995,0.94000000,0.82215743,0.76307893,0.53000000,0.52459016,0.64000000,0.57657658
53,0.52586174,0.74333333,0.67136150,0.95333333,0.78787879,0.79493862,0.53000000,0.52173913,0.72000000,0.60504202
54,0.50001782,0.85666667,0.85906040,0.85333333,0.85618729,0.75128126,0.57000000,0.57777778,0.52000000,0.54736842
55,0.54451281,0.70000000,0.63043478,0.96666667,0.76315789,0.79719651,0.54000000,0.52631579,0.80000000,0.63492063
56,0.47893846,0.82666667,0.86567164,0.77333333,0.81690141,0.79488796,0.52000000,0.52500000,0.42000000,0.46666667
57,0.47155657,0.83000000,0.84137931,0.81333333,0.82711864,0.80094188,0.54000000,0.54761905,0.46000000,0.50000000
58,0.58348316,0.61333333,1.00000000,0.22666667,0.36956522,0.92247021,0.50000000,0.50000000,0.14000000,0.21875000
59,0.46340343,0.85333333,0.90769231,0.78666667,0.84285714,0.80573332,0.53000000,0.54054054,0.40000000,0.45977011
60,0.46057659,0.86666667,0.89855072,0.82666667,0.86111111,0.79113132,0.54000000,0.55263158,0.42000000,0.47727273
61,0.45318809,0.87333333,0.85443038,0.90000000,0.87662338,0.79172361,0.54000000,0.54000000,0.54000000,0.54000000
62,0.45338818,0.87000000,0.89361702,0.84000000,0.86597938,0.79174376,0.50000000,0.50000000,0.42000000,0.45652174
63,0.54466480,0.68666667,0.61475410,1.00000000,0.76142132,0.84219712,0.53000000,0.51898734,0.82000000,0.63565891
64,0.47620302,0.78000000,0.95652174,0.58666667,0.72727273,0.87344909,0.53000000,0.55555556,0.30000000,0.38961039
65,0.42299172,0.87333333,0.83734940,0.92666667,0.87974684,0.81498200,0.52000000,0.52000000,0.52000000,0.52000000
66,0.47035229,0.79333333,0.71782178,0.96666667,0.82386364,0.81478924,0.56000000,0.54545455,0.72000000,0.62068966
67,0.41897425,0.87000000,0.91729323,0.81333333,0.86219081,0.82993031,0.51000000,0.51351351,0.38000000,0.43678161
68,0.42235091,0.86666667,0.91666667,0.80666667,0.85815603,0.85081452,0.51000000,0.51351351,0.38000000,0.43678161
69,0.53465503,0.64333333,1.00000000,0.28666667,0.44559585,0.92657775,0.52000000,0.58333333,0.14000000,0.22580645
