epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68312335,0.50000000,0.50000000,0.02666667,0.05063291,0.70680374,0.48000000,0.00000000,0.00000000,0.00000000
2,0.67411667,0.59333333,0.56930693,0.76666667,0.65340909,0.69603640,0.51000000,0.50793651,0.64000000,0.56637168
3,0.67203158,0.64333333,0.61878453,0.74666667,0.67673716,0.68756264,0.54000000,0.53448276,0.62000000,0.57407407
4,0.67754477,0.50333333,0.66666667,0.01333333,0.02614379,0.72356343,0.51000000,1.00000000,0.02000000,0.03921569
5,0.66316956,0.60000000,0.67045455,0.39333333,0.49579832,0.70050353,0.49000000,0.48275862,0.28000000,0.35443038
6,0.66327167,0.60000000,0.56048387,0.92666667,0.69849246,0.70764810,0.49000000,0.49397590,0.82000000,0.61654135
7,0.65664774,0.62333333,0.74666667,0.37333333,0.49777778,0.70867503,0.56000000,0.65000000,0.26000000,0.37142857
8,0.66394228,0.61333333,0.72972973,0.36000000,0.48214286,0.69243240,0.54000000,0.59090909,0.26000000,0.36111111
9,0.65056872,0.58666667,0.59154930,0.56000000,0.57534247,0.72133911,0.55000000,0.54901961,0.56000000,0.55445545
10,0.64361417,0.68333333,0.64248705,0.82666667,0.72303207,0.69651270,0.56000000,0.55000000,0.66000000,0.60000000
11,0.64684778,0.61333333,0.64655172,0.50000000,0.56390977,0.75165665,0.59000000,0.60465116,0.52000000,0.55913978
12,0.64898330,0.64000000,0.62352941,0.70666667,0.66250000,0.69031984,0.55000000,0.54901961,0.56000000,0.55445545
13,0.71846902,0.58333333,0.82051282,0.21333333,0.33862434,0.83713013,0.56000000,0.66666667,0.24000000,0.35294118
14,0.63885933,0.59666667,0.80851064,0.25333333,0.38578680,0.74321628,0.58000000,0.70000000,0.28000000,0.40000000
15,0.61579335,0.62000000,0.76470588,0.34666667,0.47706422,0.72842389,0.56000000,0.63636364,0.28000000,0.38888889
16,0.60370678,0.69333333,0.66111111,0.79333333,0.72121212,0.70725876,0.50000000,0.50000000,0.64000000,0.56140351
17,0.63418639,0.64000000,0.58606557,0.95333333,0.72588832,0.71515739,0.55000000,0.53012048,0.88000000,0.66165414
18,0.63514018,0.62333333,0.57489879,0.94666667,0.71536524,0.72805983,0.54000000,0.52380952,0.88000000,0.65671642
19,0.57087547,0.75000000,0.68472906,0.92666667,0.78753541,0.74426770,0.57000000,0.55223881,0.74000000,0.63247863
20,0.60946119,0.65333333,0.83823529,0.38000000,0.52293578,0.86592269,0.51000000,0.52173913,0.24000000,0.32876712
21,0.65900373,0.60666667,0.55970149,1.00000000,0.71770335,0.79119229,0.50000000,0.50000000,0.92000000,0.64788732
22,0.56452870,0.70666667,0.64485981,0.92000000,0.75824176,0.76952481,0.55000000,0.53246753,0.82000000,0.64566929
23,0.58720934,0.69333333,0.75892857,0.56666667,0.64885496,0.75308996,0.53000000,0.53846154,0.42000000,0.47191011
24,0.59084278,0.67333333,0.85135135,0.42000000,0.56250000,0.84603655,0.46000000,0.41666667,0.20000000,0.27027027
25,0.55965328,0.74000000,0.77692308,0.67333333,0.72142857,0.80214369,0.51000000,0.51063830,0.48000000,0.49484536
26,0.55316669,0.71333333,0.63913043,0.98000000,0.77368421,0.78643918,0.53000000,0.51948052,0.80000000,0.62992126
27,0.53568387,0.72333333,0.65727700,0.93333333,0.77134986,0.91381073,0.55000000,0.53424658,0.78000000,0.63414634
28,0.49902612,0.74333333,0.67980296,0.92000000,0.78186969,0.86530757,0.56000000,0.54285714,0.76000000,0.63333333
29,0.53649193,0.72000000,0.71710526,0.72666667,0.72185430,0.76560491,0.53000000,0.53061224,0.52000000,0.52525253
30,0.56117237,0.68333333,0.62557078,0.91333333,0.74254743,0.77472806,0.53000000,0.52238806,0.70000000,0.59829060
31,0.51672941,0.72666667,0.86170213,0.54000000,0.66393443,0.85766703,0.50000000,0.50000000,0.34000000,0.40476190
32,0.49607015,0.75666667,0.88118812,0.59333333,0.70916335,0.90728790,0.56000000,0.58333333,0.42000000,0.48837209
33,0.58533567,0.68333333,0.78947368,0.50000000,0.61224490,0.92505753,0.50000000,0.50000000,0.34000000,0.40476190
34,0.45476532,0.82333333,0.85925926,0.77333333,0.81403509,0.90667653,0.53000000,0.53488372,0.46000000,0.49462366
35,0.60792238,0.62333333,0.89361702,0.28000000,0.42639594,0.95979619,0.52000000,0.58333333,0.14000000,0.22580645
36,0.50050038,0.76333333,0.74233129,0.80666667,0.77316294,0.84963006,0.49000000,0.49122807,0.56000000,0.52336449
37,0.48092556,0.77000000,0.73964497,0.83333333,0.78369906,0.83183348,0.56000000,0.55172414,0.64000000,0.59259259
38,0.50827569,0.77333333,0.70098039,0.95333333,0.80790960,0.99900377,0.49000000,0.49333333,0.74000000,0.59200000
39,0.46524334,0.77666667,0.77124183,0.78666667,0.77887789,0.79687744,0.55000000,0.54901961,0.56000000,0.55445545
40,0.38389918,0.82666667,0.76344086,0.94666667,0.84523810,0.92832875,0.53000000,0.52238806,0.70000000,0.59829060
41,0.57340270,0.68666667,0.61764706,0.98000000,0.75773196,0.85860980,0.57000000,0.54545455,0.84000000,0.66141732
