epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69702250,0.50000000,0.50000000,0.98666667,0.66367713,0.69744706,0.52000000,0.51020408,1.00000000,0.67567568
2,0.70409667,0.50000000,0.00000000,0.00000000,0.00000000,0.70917577,0.50000000,0.00000000,0.00000000,0.00000000
3,0.68448001,0.54000000,0.63043478,0.19333333,0.29591837,0.68878686,0.53000000,0.56521739,0.26000000,0.35616438
4,0.68042094,0.60333333,0.64761905,0.45333333,0.53333333,0.68967587,0.53000000,0.54054054,0.40000000,0.45977011
5,0.67854798,0.55000000,0.58064516,0.36000000,0.44444444,0.69205612,0.55000000,0.57575758,0.38000000,0.45783133
6,0.67833173,0.58333333,0.83783784,0.20666667,0.33155080,0.69346213,0.50000000,0.50000000,0.14000000,0.21875000
7,0.67012542,0.66333333,0.61290323,0.88666667,0.72479564,0.69520551,0.54000000,0.52857143,0.74000000,0.61666667
8,0.66514623,0.64666667,0.59243697,0.94000000,0.72680412,0.69557333,0.52000000,0.51315789,0.78000000,0.61904762
9,0.67079103,0.58666667,0.73214286,0.27333333,0.39805825,0.69950062,0.47000000,0.44444444,0.24000000,0.31168831
10,0.65456104,0.64333333,0.58634538,0.97333333,0.73182957,0.70494795,0.54000000,0.52564103,0.82000000,0.64062500
11,0.74369538,0.50333333,0.50167224,1.00000000,0.66815145,0.76811522,0.50000000,0.50000000,1.00000000,0.66666667
12,0.66529459,0.58000000,0.54411765,0.98666667,0.70142180,0.70352250,0.51000000,0.50537634,0.94000000,0.65734266
13,0.64859784,0.67000000,0.63212435,0.81333333,0.71137026,0.70198667,0.55000000,0.53731343,0.72000000,0.61538462
14,0.62820077,0.64000000,0.64189189,0.63333333,0.63758389,0.73219585,0.49000000,0.49122807,0.56000000,0.52336449
15,0.63773185,0.61666667,0.56809339,0.97333333,0.71744472,0.73769814,0.49000000,0.49438202,0.88000000,0.63309353
16,0.61608553,0.67333333,0.61818182,0.90666667,0.73513514,0.72646195,0.54000000,0.52702703,0.78000000,0.62903226
17,0.67566025,0.53000000,0.51557093,0.99333333,0.67881549,0.75732970,0.48000000,0.48958333,0.94000000,0.64383562
18,0.62324101,0.69333333,0.63425926,0.91333333,0.74863388,0.71055055,0.56000000,0.54054054,0.80000000,0.64516129
19,0.60189831,0.68333333,0.62222222,0.93333333,0.74666667,0.72347701,0.57000000,0.54545455,0.84000000,0.66141732
20,0.57359248,0.70000000,0.66853933,0.79333333,0.72560976,0.76248837,0.51000000,0.50819672,0.62000000,0.55855856
21,0.54997247,0.76333333,0.75816993,0.77333333,0.76567657,0.76368833,0.52000000,0.51923077,0.54000000,0.52941176
22,0.62848240,0.59666667,0.91428571,0.21333333,0.34594595,0.74348629,0.54000000,0.66666667,0.16000000,0.25806452
23,0.63328290,0.58000000,0.81578947,0.20666667,0.32978723,0.85036582,0.55000000,0.69230769,0.18000000,0.28571429
24,0.55791199,0.70000000,0.63636364,0.93333333,0.75675676,0.78072423,0.54000000,0.52631579,0.80000000,0.63492063
25,0.76379436,0.52333333,1.00000000,0.04666667,0.08917197,0.97785461,0.50000000,0.50000000,0.04000000,0.07407407
26,0.53019863,0.78000000,0.73863636,0.86666667,0.79754601,0.75223476,0.54000000,0.53225806,0.66000000,0.58928571
27,0.50675535,0.76666667,0.71978022,0.87333333,0.78915663,0.80421519,0.54000000,0.53225806,0.66000000,0.58928571
28,0.52075452,0.74333333,0.80165289,0.64666667,0.71586716,0.88113171,0.54000000,0.54347826,0.50000000,0.52083333
29,0.55483323,0.66000000,0.98000000,0.32666667,0.49000000,0.81926918,0.51000000,0.53333333,0.16000000,0.24615385
30,0.59861422,0.56000000,0.95000000,0.12666667,0.22352941,0.81372052,0.51000000,0.66666667,0.04000000,0.07547170
31,0.56099045,0.71333333,0.90000000,0.48000000,0.62608696,0.97024280,0.53000000,0.54838710,0.34000000,0.41975309
32,0.55902803,0.76333333,0.78417266,0.72666667,0.75432526,0.74646103,0.55000000,0.56097561,0.46000000,0.50549451
33,0.49873114,0.83333333,0.82894737,0.84000000,0.83443709,0.78537399,0.54000000,0.54166667,0.52000000,0.53061224
34,0.47784090,0.75000000,0.91208791,0.55333333,0.68879668,0.86413616,0.53000000,0.55172414,0.32000000,0.40506329
35,0.70359027,0.54000000,0.92857143,0.08666667,0.15853659,1.07349169,0.51000000,0.57142857,0.08000000,0.14035088
