epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68281353,0.56666667,0.59803922,0.40666667,0.48412698,0.70087725,0.53000000,0.54285714,0.38000000,0.44705882
2,0.67924559,0.56333333,0.85185185,0.15333333,0.25988701,0.70255923,0.54000000,0.75000000,0.12000000,0.20689655
3,0.66955477,0.63666667,0.63945578,0.62666667,0.63299663,0.69904387,0.45000000,0.44680851,0.42000000,0.43298969
4,0.66190410,0.62333333,0.60000000,0.74000000,0.66268657,0.70276308,0.44000000,0.45161290,0.56000000,0.50000000
5,0.65544879,0.67666667,0.64804469,0.77333333,0.70516717,0.69998693,0.47000000,0.47457627,0.56000000,0.51376147
6,0.65366936,0.66333333,0.79518072,0.44000000,0.56652361,0.70663267,0.56000000,0.58333333,0.42000000,0.48837209
7,0.64465857,0.66333333,0.78823529,0.44666667,0.57021277,0.70397013,0.54000000,0.55263158,0.42000000,0.47727273
8,0.63702232,0.65000000,0.63473054,0.70666667,0.66876972,0.71287107,0.47000000,0.47457627,0.56000000,0.51376147
9,0.62974834,0.72333333,0.68108108,0.84000000,0.75223881,0.70485473,0.46000000,0.46774194,0.58000000,0.51785714
10,0.63260186,0.65666667,0.60262009,0.92000000,0.72823219,0.71233100,0.46000000,0.47368421,0.72000000,0.57142857
11,0.63136554,0.64666667,0.86666667,0.34666667,0.49523810,0.72507095,0.57000000,0.64000000,0.32000000,0.42666667
12,0.60706997,0.74000000,0.81034483,0.62666667,0.70676692,0.71762085,0.49000000,0.48888889,0.44000000,0.46315789
13,0.60996938,0.69333333,0.89189189,0.44000000,0.58928571,0.71843475,0.59000000,0.65517241,0.38000000,0.48101266
14,0.59079552,0.71666667,0.67015707,0.85333333,0.75073314,0.72788221,0.48000000,0.48387097,0.60000000,0.53571429
15,0.60693532,0.67666667,0.89552239,0.40000000,0.55299539,0.73570085,0.62000000,0.71428571,0.40000000,0.51282051
16,0.60371900,0.65666667,0.59915612,0.94666667,0.73385013,0.74442136,0.48000000,0.48684211,0.74000000,0.58730159
17,0.59897727,0.65000000,0.59336100,0.95333333,0.73145780,0.77208281,0.51000000,0.50666667,0.76000000,0.60800000
18,0.64862692,0.59666667,0.55390335,0.99333333,0.71121718,0.79479921,0.49000000,0.49425287,0.86000000,0.62773723
19,0.58021909,0.69333333,0.88157895,0.44666667,0.59292035,0.77930295,0.59000000,0.65517241,0.38000000,0.48101266
20,0.58159691,0.69000000,0.92537313,0.41333333,0.57142857,0.78517425,0.55000000,0.59259259,0.32000000,0.41558442
21,0.58302999,0.66333333,0.60000000,0.98000000,0.74430380,0.78824705,0.50000000,0.50000000,0.78000000,0.60937500
22,0.56135559,0.70000000,0.63043478,0.96666667,0.76315789,0.77446729,0.53000000,0.52000000,0.78000000,0.62400000
23,0.53182161,0.76333333,0.68899522,0.96000000,0.80222841,0.75454164,0.50000000,0.50000000,0.74000000,0.59677419
24,0.50651437,0.82666667,0.77840909,0.91333333,0.84049080,0.73062289,0.58000000,0.56896552,0.66000000,0.61111111
25,0.51362008,0.73000000,0.66197183,0.94000000,0.77685950,0.77755851,0.51000000,0.50704225,0.72000000,0.59504132
26,0.50956655,0.83666667,0.86330935,0.80000000,0.83044983,0.74954313,0.53000000,0.53061224,0.52000000,0.52525253
27,0.49212465,0.83333333,0.89062500,0.76000000,0.82014388,0.76870924,0.54000000,0.55000000,0.44000000,0.48888889
28,0.45131490,0.84666667,0.87142857,0.81333333,0.84137931,0.79221117,0.51000000,0.51162791,0.44000000,0.47311828
29,0.55133486,0.71000000,0.63404255,0.99333333,0.77402597,0.85083991,0.50000000,0.50000000,0.82000000,0.62121212
30,0.73795968,0.60666667,0.55970149,1.00000000,0.71770335,1.00012767,0.51000000,0.50561798,0.90000000,0.64748201
