epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68664819,0.56666667,0.61111111,0.36666667,0.45833333,0.69226807,0.49000000,0.48571429,0.34000000,0.40000000
2,0.68134207,0.53666667,0.66666667,0.14666667,0.24043716,0.70170033,0.52000000,0.58333333,0.14000000,0.22580645
3,0.68429708,0.53333333,0.63888889,0.15333333,0.24731183,0.69862777,0.52000000,0.60000000,0.12000000,0.20000000
4,0.68423563,0.50666667,1.00000000,0.01333333,0.02631579,0.70164555,0.50000000,0.00000000,0.00000000,0.00000000
5,0.67739350,0.63000000,0.58823529,0.86666667,0.70080863,0.69995701,0.49000000,0.49333333,0.74000000,0.59200000
6,0.67208320,0.57333333,0.64102564,0.33333333,0.43859649,0.70020711,0.48000000,0.45000000,0.18000000,0.25714286
7,0.65526837,0.59000000,0.69565217,0.32000000,0.43835616,0.70883840,0.48000000,0.45000000,0.18000000,0.25714286
8,0.66400242,0.55666667,0.57798165,0.42000000,0.48648649,0.70230848,0.52000000,0.52631579,0.40000000,0.45454545
9,0.68307894,0.50333333,0.66666667,0.01333333,0.02614379,0.74333268,0.48000000,0.00000000,0.00000000,0.00000000
10,0.63713133,0.69666667,0.63849765,0.90666667,0.74931129,0.70726913,0.52000000,0.51315789,0.78000000,0.61904762
11,0.83820051,0.50000000,0.50000000,1.00000000,0.66666667,0.88846248,0.50000000,0.50000000,1.00000000,0.66666667
12,0.61258352,0.70666667,0.68023256,0.78000000,0.72670807,0.73972350,0.48000000,0.48437500,0.62000000,0.54385965
13,0.65150231,0.53666667,1.00000000,0.07333333,0.13664596,0.78003323,0.49000000,0.00000000,0.00000000,0.00000000
14,0.64695734,0.57333333,0.95833333,0.15333333,0.26436782,0.73148906,0.52000000,0.75000000,0.06000000,0.11111111
15,0.74790800,0.53333333,0.63888889,0.15333333,0.24731183,0.82477278,0.50000000,0.50000000,0.08000000,0.13793103
16,0.59110302,0.71000000,0.69090909,0.76000000,0.72380952,0.73408782,0.54000000,0.53846154,0.56000000,0.54901961
17,0.96813685,0.54333333,0.52264808,1.00000000,0.68649886,1.08327258,0.49000000,0.49484536,0.96000000,0.65306122
18,0.56545216,0.73666667,0.85148515,0.57333333,0.68525896,0.76051551,0.48000000,0.46875000,0.30000000,0.36585366
19,0.57428104,0.72333333,0.65581395,0.94000000,0.77260274,0.77269959,0.49000000,0.49315068,0.72000000,0.58536585
20,0.55959952,0.73333333,0.88043478,0.54000000,0.66942149,0.77783340,0.52000000,0.53571429,0.30000000,0.38461538
21,0.54290766,0.79000000,0.77018634,0.82666667,0.79742765,0.77280194,0.49000000,0.49152542,0.58000000,0.53211009
22,0.69780493,0.53333333,1.00000000,0.06666667,0.12500000,0.92868131,0.51000000,0.66666667,0.04000000,0.07547170
23,0.66067892,0.59000000,0.54981550,0.99333333,0.70783848,0.83704144,0.45000000,0.47311828,0.88000000,0.61538462
24,0.49317348,0.81333333,0.80128205,0.83333333,0.81699346,0.75965482,0.56000000,0.55555556,0.60000000,0.57692308
25,0.55982471,0.74333333,0.66976744,0.96000000,0.78904110,0.76469338,0.54000000,0.52857143,0.74000000,0.61666667
26,0.65266544,0.55333333,1.00000000,0.10666667,0.19277108,0.90882754,0.48000000,0.00000000,0.00000000,0.00000000
27,0.53469563,0.72000000,0.97142857,0.45333333,0.61818182,0.84783596,0.51000000,0.53333333,0.16000000,0.24615385
28,0.47608826,0.82333333,0.77094972,0.92000000,0.83890578,0.79110074,0.49000000,0.49180328,0.60000000,0.54054054
29,0.54095572,0.66666667,0.91666667,0.36666667,0.52380952,0.85491395,0.55000000,0.63157895,0.24000000,0.34782609
30,0.49815592,0.73333333,0.65765766,0.97333333,0.78494624,0.81964660,0.51000000,0.50632911,0.80000000,0.62015504
31,0.55968678,0.69333333,0.62184874,0.98666667,0.76288660,0.83677429,0.49000000,0.49397590,0.82000000,0.61654135
