epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69424951,0.51666667,0.51366120,0.62666667,0.56456456,0.70026994,0.48000000,0.48333333,0.58000000,0.52727273
2,0.72180086,0.50000000,0.00000000,0.00000000,0.00000000,0.73557413,0.50000000,0.00000000,0.00000000,0.00000000
3,0.68113023,0.61000000,0.59428571,0.69333333,0.64000000,0.69454026,0.50000000,0.50000000,0.56000000,0.52830189
4,0.67749250,0.54666667,0.63461538,0.22000000,0.32673267,0.70246619,0.49000000,0.47826087,0.22000000,0.30136986
5,0.67757672,0.54666667,0.70588235,0.16000000,0.26086957,0.70540434,0.54000000,0.64285714,0.18000000,0.28125000
6,0.66930753,0.60000000,0.56637168,0.85333333,0.68085106,0.69790483,0.54000000,0.52631579,0.80000000,0.63492063
7,0.66235465,0.64666667,0.62087912,0.75333333,0.68072289,0.69673800,0.55000000,0.53968254,0.68000000,0.60176991
8,0.66202700,0.62333333,0.58078603,0.88666667,0.70184697,0.70487142,0.52000000,0.51282051,0.80000000,0.62500000
9,0.65536928,0.67000000,0.75247525,0.50666667,0.60557769,0.70417327,0.47000000,0.45945946,0.34000000,0.39080460
10,0.67928225,0.52666667,0.51398601,0.98000000,0.67431193,0.72699660,0.50000000,0.50000000,0.94000000,0.65277778
11,0.65114254,0.61666667,0.57446809,0.90000000,0.70129870,0.70986676,0.48000000,0.48648649,0.72000000,0.58064516
12,0.66234308,0.55333333,0.83333333,0.13333333,0.22988506,0.72006607,0.51000000,0.54545455,0.12000000,0.19672131
13,0.64371443,0.63000000,0.77464789,0.36666667,0.49773756,0.70512700,0.50000000,0.50000000,0.26000000,0.34210526
14,0.67174459,0.53000000,1.00000000,0.06000000,0.11320755,0.73803377,0.52000000,0.66666667,0.08000000,0.14285714
15,0.63051414,0.70333333,0.70198675,0.70666667,0.70431894,0.70505434,0.53000000,0.52941176,0.54000000,0.53465347
16,0.62729001,0.69333333,0.64500000,0.86000000,0.73714286,0.70935285,0.51000000,0.50724638,0.70000000,0.58823529
17,0.63530111,0.60666667,0.77586207,0.30000000,0.43269231,0.72646230,0.52000000,0.54166667,0.26000000,0.35135135
18,0.62811786,0.63333333,0.81250000,0.34666667,0.48598131,0.71519625,0.49000000,0.47619048,0.20000000,0.28169014
19,0.62359315,0.63666667,0.58577406,0.93333333,0.71979434,0.71524668,0.51000000,0.50649351,0.78000000,0.61417323
20,0.65792346,0.56333333,0.88000000,0.14666667,0.25142857,0.76039612,0.51000000,0.54545455,0.12000000,0.19672131
21,0.60485274,0.71666667,0.76859504,0.62000000,0.68634686,0.71849775,0.47000000,0.46666667,0.42000000,0.44210526
22,0.66431153,0.54333333,0.93333333,0.09333333,0.16969697,0.77350402,0.51000000,0.60000000,0.06000000,0.10909091
23,0.60576403,0.69000000,0.62666667,0.94000000,0.75200000,0.71271104,0.48000000,0.48648649,0.72000000,0.58064516
24,0.60407323,0.67333333,0.60924370,0.96666667,0.74742268,0.71901613,0.50000000,0.50000000,0.80000000,0.61538462
25,0.59755319,0.68000000,0.86486486,0.42666667,0.57142857,0.72801346,0.49000000,0.48000000,0.24000000,0.32000000
26,0.60007006,0.66333333,0.60000000,0.98000000,0.74430380,0.73052210,0.52000000,0.51250000,0.82000000,0.63076923
27,0.67197651,0.54666667,1.00000000,0.09333333,0.17073171,0.78941435,0.50000000,0.50000000,0.06000000,0.10714286
28,0.56904846,0.76666667,0.74691358,0.80666667,0.77564103,0.70990860,0.52000000,0.51851852,0.56000000,0.53846154
29,0.61415529,0.62666667,0.95238095,0.26666667,0.41666667,0.76492381,0.52000000,0.56250000,0.18000000,0.27272727
30,0.63056308,0.61000000,0.56179775,1.00000000,0.71942446,0.76140594,0.51000000,0.50549451,0.92000000,0.65248227
