epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68386561,0.57333333,0.56626506,0.62666667,0.59493671,0.71015805,0.45000000,0.45454545,0.50000000,0.47619048
2,0.67875254,0.59666667,0.60583942,0.55333333,0.57839721,0.71102941,0.44000000,0.43181818,0.38000000,0.40425532
3,0.67520368,0.60666667,0.59411765,0.67333333,0.63125000,0.71155006,0.44000000,0.44827586,0.52000000,0.48148148
4,0.67175639,0.62666667,0.62666667,0.62666667,0.62666667,0.71125031,0.44000000,0.43181818,0.38000000,0.40425532
5,0.67054647,0.56333333,0.63768116,0.29333333,0.40182648,0.71592420,0.50000000,0.50000000,0.24000000,0.32432432
6,0.66528863,0.64000000,0.65000000,0.60666667,0.62758621,0.71254897,0.42000000,0.40909091,0.36000000,0.38297872
7,0.66186321,0.64333333,0.62874251,0.70000000,0.66246057,0.71453726,0.46000000,0.46000000,0.46000000,0.46000000
8,0.66028678,0.62333333,0.65811966,0.51333333,0.57677903,0.71642721,0.47000000,0.45945946,0.34000000,0.39080460
9,0.65639973,0.63333333,0.66129032,0.54666667,0.59854015,0.71909642,0.48000000,0.47058824,0.32000000,0.38095238
10,0.67436010,0.58333333,0.54646840,0.98000000,0.70167064,0.73070675,0.49000000,0.49450549,0.90000000,0.63829787
11,0.64768875,0.64333333,0.63694268,0.66666667,0.65146580,0.71914017,0.46000000,0.46000000,0.46000000,0.46000000
12,0.64558744,0.64666667,0.67460317,0.56666667,0.61594203,0.72306210,0.48000000,0.47500000,0.38000000,0.42222222
13,0.64414126,0.63000000,0.69696970,0.46000000,0.55421687,0.72619337,0.45000000,0.40740741,0.22000000,0.28571429
14,0.64043307,0.63666667,0.70297030,0.47333333,0.56573705,0.72711289,0.44000000,0.40625000,0.26000000,0.31707317
15,0.65937358,0.54333333,0.93333333,0.09333333,0.16969697,0.74742657,0.50000000,0.50000000,0.08000000,0.13793103
16,0.63840848,0.63000000,0.78260870,0.36000000,0.49315068,0.73221070,0.48000000,0.44444444,0.16000000,0.23529412
17,0.62530744,0.65000000,0.69911504,0.52666667,0.60076046,0.72906780,0.46000000,0.44117647,0.30000000,0.35714286
18,0.63098347,0.67666667,0.61674009,0.93333333,0.74270557,0.73019499,0.51000000,0.50617284,0.82000000,0.62595420
19,0.63606632,0.63666667,0.58367347,0.95333333,0.72405063,0.73490530,0.49000000,0.49425287,0.86000000,0.62773723
20,0.61025232,0.70333333,0.69677419,0.72000000,0.70819672,0.72165030,0.47000000,0.47169811,0.50000000,0.48543689
21,0.62247479,0.66000000,0.60256410,0.94000000,0.73437500,0.73285306,0.51000000,0.50602410,0.84000000,0.63157895
22,0.62393004,0.65000000,0.59493671,0.94000000,0.72868217,0.72699577,0.51000000,0.50617284,0.82000000,0.62595420
23,0.60886967,0.70000000,0.63392857,0.94666667,0.75935829,0.73232144,0.51000000,0.50632911,0.80000000,0.62015504
24,0.59328085,0.71666667,0.76422764,0.62666667,0.68864469,0.72681129,0.50000000,0.50000000,0.44000000,0.46808511
25,0.61357385,0.66000000,0.59836066,0.97333333,0.74111675,0.74218404,0.50000000,0.50000000,0.84000000,0.62686567
26,0.58888602,0.69666667,0.86419753,0.46666667,0.60606061,0.74214661,0.54000000,0.59090909,0.26000000,0.36111111
27,0.57732594,0.73333333,0.66666667,0.93333333,0.77777778,0.73292702,0.50000000,0.50000000,0.68000000,0.57627119
28,0.59783787,0.66666667,0.91666667,0.36666667,0.52380952,0.76479489,0.54000000,0.66666667,0.16000000,0.25806452
29,0.55963069,0.75000000,0.69633508,0.88666667,0.78005865,0.72950578,0.52000000,0.51515152,0.68000000,0.58620690
30,0.62791783,0.58666667,0.96428571,0.18000000,0.30337079,0.79565579,0.51000000,0.60000000,0.06000000,0.10909091
31,0.53799486,0.77333333,0.78082192,0.76000000,0.77027027,0.73891145,0.53000000,0.52830189,0.56000000,0.54368932
32,0.58485365,0.65666667,0.94339623,0.33333333,0.49261084,0.77834290,0.51000000,0.57142857,0.08000000,0.14035088
33,0.64719564,0.56666667,0.95454545,0.14000000,0.24418605,0.84765148,0.51000000,0.60000000,0.06000000,0.10909091
34,0.53176934,0.77333333,0.70098039,0.95333333,0.80790960,0.75275594,0.52000000,0.51470588,0.70000000,0.59322034
35,0.51153421,0.83333333,0.82051282,0.85333333,0.83660131,0.74107009,0.55000000,0.55102041,0.54000000,0.54545455
36,0.50199085,0.82333333,0.78034682,0.90000000,0.83591331,0.74167013,0.53000000,0.52459016,0.64000000,0.57657658
37,0.56934351,0.66333333,0.96226415,0.34000000,0.50246305,0.81952190,0.50000000,0.50000000,0.06000000,0.10714286
38,0.48490119,0.84666667,0.80952381,0.90666667,0.85534591,0.74276829,0.53000000,0.52542373,0.62000000,0.56880734
39,0.49695170,0.79666667,0.72139303,0.96666667,0.82621083,0.75670707,0.53000000,0.52173913,0.72000000,0.60504202
40,0.46564016,0.85000000,0.85714286,0.84000000,0.84848485,0.76179260,0.58000000,0.58695652,0.54000000,0.56250000
41,0.66363901,0.60666667,0.55970149,1.00000000,0.71770335,0.88263935,0.55000000,0.52808989,0.94000000,0.67625899
