epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68207395,0.57000000,0.57777778,0.52000000,0.54736842,0.70883554,0.49000000,0.48888889,0.44000000,0.46315789
2,0.68166858,0.55000000,0.70270270,0.17333333,0.27807487,0.72027296,0.48000000,0.45454545,0.20000000,0.27777778
3,0.66740662,0.64000000,0.73863636,0.43333333,0.54621849,0.70746642,0.44000000,0.41176471,0.28000000,0.33333333
4,0.66765296,0.56333333,0.53815261,0.89333333,0.67167920,0.71488726,0.50000000,0.50000000,0.84000000,0.62686567
5,0.70231557,0.53000000,0.51546392,1.00000000,0.68027211,0.74800140,0.50000000,0.50000000,0.98000000,0.66216216
6,0.65532511,0.60666667,0.57476636,0.82000000,0.67582418,0.70820647,0.52000000,0.51470588,0.70000000,0.59322034
7,0.65303141,0.65666667,0.80519481,0.41333333,0.54625551,0.70939195,0.44000000,0.40000000,0.24000000,0.30000000
8,0.65485263,0.59000000,0.55421687,0.92000000,0.69172932,0.71860415,0.54000000,0.52380952,0.88000000,0.65671642
9,0.66212678,0.57666667,0.54307116,0.96666667,0.69544365,0.73095888,0.54000000,0.52222222,0.94000000,0.67142857
10,0.67282647,0.57000000,0.53818182,0.98666667,0.69647059,0.74675596,0.51000000,0.50537634,0.94000000,0.65734266
11,0.63012266,0.66666667,0.62500000,0.83333333,0.71428571,0.71698552,0.54000000,0.53030303,0.70000000,0.60344828
12,0.63536072,0.64000000,0.58974359,0.92000000,0.71875000,0.72294647,0.54000000,0.52631579,0.80000000,0.63492063
13,0.67346311,0.57333333,0.54014599,0.98666667,0.69811321,0.75902694,0.49000000,0.49473684,0.94000000,0.64827586
14,0.67646879,0.51666667,1.00000000,0.03333333,0.06451613,0.76739931,0.54000000,1.00000000,0.08000000,0.14814815
15,0.66271365,0.58000000,0.54411765,0.98666667,0.70142180,0.75984603,0.53000000,0.51685393,0.92000000,0.66187050
16,0.60298437,0.73666667,0.72611465,0.76000000,0.74267101,0.71838641,0.49000000,0.49090909,0.54000000,0.51428571
17,0.63584673,0.57666667,0.89655172,0.17333333,0.29050279,0.74368197,0.53000000,0.63636364,0.14000000,0.22950820
18,0.61755562,0.62666667,0.86538462,0.30000000,0.44554455,0.73643035,0.51000000,0.53333333,0.16000000,0.24615385
19,0.63290554,0.63666667,0.58167331,0.97333333,0.72817955,0.74464643,0.53000000,0.51764706,0.88000000,0.65185185
20,0.69941694,0.50000000,0.00000000,0.00000000,0.00000000,0.80744123,0.51000000,1.00000000,0.02000000,0.03921569
21,0.76805300,0.50000000,0.00000000,0.00000000,0.00000000,0.87316591,0.50000000,0.00000000,0.00000000,0.00000000
22,0.57181978,0.78333333,0.81481481,0.73333333,0.77192982,0.72331864,0.47000000,0.46511628,0.40000000,0.43010753
23,0.62659490,0.63000000,0.57587549,0.98666667,0.72727273,0.77994400,0.50000000,0.50000000,0.86000000,0.63235294
24,0.64580357,0.55666667,1.00000000,0.11333333,0.20359281,0.79606581,0.50000000,0.50000000,0.06000000,0.10714286
25,0.65073758,0.54666667,1.00000000,0.09333333,0.17073171,0.80984652,0.53000000,1.00000000,0.06000000,0.11320755
26,0.55049312,0.79333333,0.81428571,0.76000000,0.78620690,0.73792380,0.51000000,0.51219512,0.42000000,0.46153846
27,0.57521266,0.69666667,0.92753623,0.42666667,0.58447489,0.76205903,0.49000000,0.47368421,0.18000000,0.26086957
28,0.54500610,0.79000000,0.88495575,0.66666667,0.76045627,0.74193954,0.46000000,0.42857143,0.24000000,0.30769231
29,0.69318485,0.53333333,1.00000000,0.06666667,0.12500000,0.88452959,0.52000000,0.75000000,0.06000000,0.11111111
30,0.57772583,0.67333333,0.61016949,0.96000000,0.74611399,0.77875471,0.57000000,0.54430380,0.86000000,0.66666667
31,0.59373355,0.66666667,0.60162602,0.98666667,0.74747475,0.78592575,0.53000000,0.51807229,0.86000000,0.64661654
32,0.51640207,0.78333333,0.72972973,0.90000000,0.80597015,0.75532836,0.55000000,0.53968254,0.68000000,0.60176991
33,0.63623464,0.63333333,0.57751938,0.99333333,0.73039216,0.82534117,0.53000000,0.51724138,0.90000000,0.65693431
34,0.51307237,0.76000000,0.70103093,0.90666667,0.79069767,0.73667854,0.55000000,0.53968254,0.68000000,0.60176991
35,0.49782273,0.83333333,0.81645570,0.86000000,0.83766234,0.74912870,0.55000000,0.54716981,0.58000000,0.56310680
36,0.58151406,0.60666667,1.00000000,0.21333333,0.35164835,0.81986845,0.51000000,0.55555556,0.10000000,0.16949153
37,0.50366402,0.77000000,0.70351759,0.93333333,0.80229226,0.76427180,0.53000000,0.52238806,0.70000000,0.59829060
38,0.70830995,0.59333333,0.55185185,0.99333333,0.70952381,0.93081903,0.48000000,0.48913043,0.90000000,0.63380282
39,0.58674675,0.60666667,1.00000000,0.21333333,0.35164835,0.85207391,0.50000000,0.50000000,0.08000000,0.13793103
40,0.48005927,0.86333333,0.86092715,0.86666667,0.86378738,0.73809570,0.55000000,0.55102041,0.54000000,0.54545455
41,0.53326708,0.71666667,0.97101449,0.44666667,0.61187215,0.82204604,0.50000000,0.50000000,0.16000000,0.24242424
42,0.47832468,0.81000000,0.74603175,0.94000000,0.83185841,0.77855575,0.58000000,0.56250000,0.72000000,0.63157895
43,0.48760822,0.76000000,0.68571429,0.96000000,0.80000000,0.80245972,0.55000000,0.53521127,0.76000000,0.62809917
44,0.45100290,0.86000000,0.83750000,0.89333333,0.86451613,0.75837129,0.56000000,0.56000000,0.56000000,0.56000000
45,0.47887033,0.77666667,0.95604396,0.58000000,0.72199170,0.80594754,0.49000000,0.47619048,0.20000000,0.28169014
46,1.18625128,0.52333333,0.51194539,1.00000000,0.67720090,1.38868868,0.49000000,0.49494949,0.98000000,0.65771812
47,0.44247228,0.86666667,0.93650794,0.78666667,0.85507246,0.79870301,0.51000000,0.51351351,0.38000000,0.43678161
48,0.53761768,0.69333333,0.98333333,0.39333333,0.56190476,0.90217268,0.47000000,0.38461538,0.10000000,0.15873016
49,0.45748565,0.86333333,0.82634731,0.92000000,0.87066246,0.76428556,0.57000000,0.56862745,0.58000000,0.57425743
50,0.43518800,0.84333333,0.78142077,0.95333333,0.85885886,0.79358077,0.57000000,0.56140351,0.64000000,0.59813084
51,0.53393191,0.69666667,0.62343096,0.99333333,0.76606684,0.90346086,0.54000000,0.52439024,0.86000000,0.65151515
52,0.46149373,0.79333333,0.97826087,0.60000000,0.74380165,0.82968169,0.50000000,0.50000000,0.22000000,0.30555556
53,0.45136303,0.77666667,0.69856459,0.97333333,0.81337047,0.86258948,0.56000000,0.54054054,0.80000000,0.64516129
54,0.79731530,0.60000000,0.55555556,1.00000000,0.71428571,1.10611880,0.52000000,0.51063830,0.96000000,0.66666667
55,0.39671513,0.87333333,0.83333333,0.93333333,0.88050314,0.85110128,0.56000000,0.55769231,0.58000000,0.56862745
56,0.45685944,0.78333333,0.96703297,0.58666667,0.73029046,0.87715483,0.48000000,0.45000000,0.18000000,0.25714286
57,0.42572513,0.83666667,0.95495495,0.70666667,0.81226054,0.84299934,0.49000000,0.48000000,0.24000000,0.32000000
58,0.57727969,0.66333333,0.98039216,0.33333333,0.49751244,0.94422150,0.51000000,0.54545455,0.12000000,0.19672131
