epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68507934,0.55666667,0.53159851,0.95333333,0.68257757,0.69632369,0.47000000,0.48351648,0.88000000,0.62411348
2,0.69343925,0.51000000,0.66666667,0.04000000,0.07547170,0.72046500,0.49000000,0.00000000,0.00000000,0.00000000
3,0.68524748,0.54333333,0.52529183,0.90000000,0.66339066,0.71621978,0.44000000,0.46511628,0.80000000,0.58823529
4,0.67413026,0.61000000,0.67741935,0.42000000,0.51851852,0.69249272,0.54000000,0.55263158,0.42000000,0.47727273
5,0.66579193,0.64333333,0.68376068,0.53333333,0.59925094,0.70162708,0.46000000,0.45454545,0.40000000,0.42553191
6,0.66334242,0.61666667,0.56704981,0.98666667,0.72019465,0.71042144,0.52000000,0.51086957,0.94000000,0.66197183
7,0.67263734,0.54666667,0.62500000,0.23333333,0.33980583,0.69554555,0.51000000,0.52000000,0.26000000,0.34666667
8,0.64887983,0.67666667,0.64324324,0.79333333,0.71044776,0.70327514,0.47000000,0.47761194,0.64000000,0.54700855
9,0.64314151,0.64666667,0.72000000,0.48000000,0.57600000,0.69768912,0.50000000,0.50000000,0.36000000,0.41860465
10,0.63221776,0.64000000,0.68750000,0.51333333,0.58778626,0.70600128,0.49000000,0.48387097,0.30000000,0.37037037
11,0.62516034,0.70666667,0.67222222,0.80666667,0.73333333,0.69772583,0.50000000,0.50000000,0.64000000,0.56140351
12,0.62674046,0.67333333,0.66455696,0.70000000,0.68181818,0.70111161,0.51000000,0.50877193,0.58000000,0.54205607
13,0.65073007,0.58333333,0.54612546,0.98666667,0.70308789,0.74906629,0.50000000,0.50000000,0.92000000,0.64788732
14,0.75721294,0.52000000,0.87500000,0.04666667,0.08860759,0.83708769,0.50000000,0.50000000,0.04000000,0.07407407
15,0.68594456,0.51000000,1.00000000,0.02000000,0.03921569,0.76050746,0.51000000,1.00000000,0.02000000,0.03921569
16,0.59240645,0.74000000,0.76865672,0.68666667,0.72535211,0.72454453,0.50000000,0.50000000,0.58000000,0.53703704
17,0.63737625,0.55666667,1.00000000,0.11333333,0.20359281,0.74700135,0.49000000,0.40000000,0.04000000,0.07272727
18,0.55459017,0.77000000,0.75155280,0.80666667,0.77813505,0.71879452,0.50000000,0.50000000,0.58000000,0.53703704
19,0.62517256,0.62333333,0.65289256,0.52666667,0.58302583,0.69746107,0.60000000,0.61363636,0.54000000,0.57446809
20,0.59045494,0.68666667,0.62389381,0.94000000,0.75000000,0.71055883,0.50000000,0.50000000,0.76000000,0.60317460
21,0.62378556,0.59000000,0.55094340,0.97333333,0.70361446,0.70809692,0.54000000,0.52127660,0.98000000,0.68055556
22,0.57595992,0.70666667,0.96969697,0.42666667,0.59259259,0.74566966,0.54000000,0.60000000,0.24000000,0.34285714
23,0.58023918,0.69333333,0.75892857,0.56666667,0.64885496,0.72015405,0.55000000,0.57575758,0.38000000,0.45783133
24,0.57232398,0.68000000,0.82142857,0.46000000,0.58974359,0.76280975,0.55000000,0.59259259,0.32000000,0.41558442
25,0.68403161,0.54000000,1.00000000,0.08000000,0.14814815,0.89174104,0.50000000,0.50000000,0.02000000,0.03846154
26,0.79319620,0.53333333,0.51724138,1.00000000,0.68181818,1.05307114,0.48000000,0.48979592,0.96000000,0.64864865
27,0.49715769,0.77333333,0.70500000,0.94000000,0.80571429,0.76197690,0.49000000,0.49315068,0.72000000,0.58536585
28,0.53767210,0.72666667,0.66037736,0.93333333,0.77348066,0.74513906,0.55000000,0.53424658,0.78000000,0.63414634
29,0.50788772,0.82333333,0.77401130,0.91333333,0.83792049,0.71275192,0.55000000,0.54237288,0.64000000,0.58715596
30,0.53765982,0.69333333,0.62500000,0.96666667,0.75916230,0.86550152,0.54000000,0.52222222,0.94000000,0.67142857
31,0.49118978,0.79666667,0.94059406,0.63333333,0.75697211,0.77222931,0.48000000,0.47058824,0.32000000,0.38095238
32,0.47477958,0.82666667,0.76063830,0.95333333,0.84615385,0.75732547,0.47000000,0.47887324,0.68000000,0.56198347
33,0.49933198,0.74666667,0.74025974,0.76000000,0.75000000,0.75930673,0.58000000,0.58333333,0.56000000,0.57142857
34,0.51995951,0.76333333,0.70256410,0.91333333,0.79420290,0.91917050,0.44000000,0.45714286,0.64000000,0.53333333
35,0.48602775,0.82666667,0.85507246,0.78666667,0.81944444,0.76574641,0.53000000,0.53333333,0.48000000,0.50526316
36,0.48433217,0.81000000,0.74345550,0.94666667,0.83284457,0.93073910,0.50000000,0.50000000,0.70000000,0.58333333
37,0.45348340,0.77333333,0.70098039,0.95333333,0.80790960,0.78798759,0.54000000,0.52777778,0.76000000,0.62295082
38,0.38650107,0.87333333,0.95901639,0.78000000,0.86029412,0.82081538,0.59000000,0.64516129,0.40000000,0.49382716
39,0.40727302,0.82666667,0.76923077,0.93333333,0.84337349,0.78443497,0.50000000,0.50000000,0.68000000,0.57627119
40,0.46955246,0.78333333,0.72727273,0.90666667,0.80712166,0.74123031,0.52000000,0.51666667,0.62000000,0.56363636
41,0.46493012,0.76000000,0.72159091,0.84666667,0.77914110,0.83428437,0.54000000,0.53333333,0.64000000,0.58181818
42,0.36774915,0.87666667,0.99130435,0.76000000,0.86037736,0.85198730,0.54000000,0.56666667,0.34000000,0.42500000
43,0.42472515,0.79666667,0.72820513,0.94666667,0.82318841,1.04459310,0.50000000,0.50000000,0.74000000,0.59677419
44,0.40949941,0.84666667,0.82098765,0.88666667,0.85256410,0.84958386,0.48000000,0.48333333,0.58000000,0.52727273
45,0.50339258,0.74666667,0.94047619,0.52666667,0.67521368,0.82928771,0.52000000,0.54166667,0.26000000,0.35135135
46,0.35775763,0.88333333,0.93233083,0.82666667,0.87632509,0.84457517,0.55000000,0.56410256,0.44000000,0.49438202
47,0.58926505,0.66333333,1.00000000,0.32666667,0.49246231,1.10103738,0.53000000,0.61538462,0.16000000,0.25396825
