epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69110596,0.50666667,0.75000000,0.02000000,0.03896104,0.69373930,0.52000000,1.00000000,0.04000000,0.07692308
2,0.72871798,0.50000000,0.00000000,0.00000000,0.00000000,0.74799973,0.50000000,0.00000000,0.00000000,0.00000000
3,0.68583655,0.57000000,0.54883721,0.78666667,0.64657534,0.69450951,0.48000000,0.48529412,0.66000000,0.55932203
4,0.67454320,0.60000000,0.56355932,0.88666667,0.68911917,0.69706321,0.53000000,0.51898734,0.82000000,0.63565891
5,0.68119794,0.60000000,0.57731959,0.74666667,0.65116279,0.68918782,0.60000000,0.57352941,0.78000000,0.66101695
6,0.66526991,0.58666667,0.59420290,0.54666667,0.56944444,0.70765978,0.51000000,0.51020408,0.50000000,0.50505051
7,0.68036509,0.51666667,0.77777778,0.04666667,0.08805031,0.71868879,0.47000000,0.00000000,0.00000000,0.00000000
8,0.65792519,0.62333333,0.58371041,0.86000000,0.69541779,0.70090586,0.54000000,0.52631579,0.80000000,0.63492063
9,0.66095573,0.54000000,0.56976744,0.32666667,0.41525424,0.73160094,0.46000000,0.43750000,0.28000000,0.34146341
10,0.64575368,0.64000000,0.59210526,0.90000000,0.71428571,0.70932341,0.52000000,0.51282051,0.80000000,0.62500000
11,0.61829114,0.69000000,0.65405405,0.80666667,0.72238806,0.72223562,0.58000000,0.56250000,0.72000000,0.63157895
12,0.62098843,0.68333333,0.64705882,0.80666667,0.71810089,0.72349519,0.58000000,0.56451613,0.70000000,0.62500000
13,0.65147626,0.52000000,0.75000000,0.06000000,0.11111111,0.79043126,0.50000000,0.50000000,0.06000000,0.10714286
14,0.63067335,0.65000000,0.60089686,0.89333333,0.71849866,0.73307478,0.53000000,0.52000000,0.78000000,0.62400000
15,0.62293589,0.62666667,0.73170732,0.40000000,0.51724138,0.77170926,0.59000000,0.64516129,0.40000000,0.49382716
16,0.65697008,0.61000000,0.56179775,1.00000000,0.71942446,0.77977103,0.49000000,0.49450549,0.90000000,0.63829787
17,0.61420923,0.67666667,0.61674009,0.93333333,0.74270557,0.76919848,0.51000000,0.50666667,0.76000000,0.60800000
18,0.66741180,0.60666667,0.56106870,0.98000000,0.71359223,0.77014971,0.50000000,0.50000000,0.88000000,0.63768116
19,0.63362020,0.53666667,0.76190476,0.10666667,0.18713450,0.81791949,0.52000000,0.62500000,0.10000000,0.17241379
20,0.62299663,0.63333333,0.75641026,0.39333333,0.51754386,0.82800871,0.61000000,0.66666667,0.44000000,0.53012048
21,0.58096892,0.68333333,0.61802575,0.96000000,0.75195822,0.80955261,0.53000000,0.51851852,0.84000000,0.64122137
22,0.59215468,0.67666667,0.60995851,0.98000000,0.75191816,0.79150671,0.52000000,0.51190476,0.86000000,0.64179104
23,0.55567706,0.71333333,0.64159292,0.96666667,0.77127660,0.77693647,0.56000000,0.53947368,0.82000000,0.65079365
24,0.54788917,0.73666667,0.80869565,0.62000000,0.70188679,0.81498808,0.58000000,0.60526316,0.46000000,0.52272727
25,0.55407894,0.72000000,0.64732143,0.96666667,0.77540107,0.85935080,0.51000000,0.50632911,0.80000000,0.62015504
26,0.58398855,0.72666667,0.75373134,0.67333333,0.71126761,0.75943679,0.49000000,0.48936170,0.46000000,0.47422680
27,0.52088076,0.76666667,0.69047619,0.96666667,0.80555556,0.79501075,0.55000000,0.53424658,0.78000000,0.63414634
28,0.50077838,0.76333333,0.73939394,0.81333333,0.77460317,0.80086815,0.59000000,0.59183673,0.58000000,0.58585859
29,0.52765346,0.73000000,0.65198238,0.98666667,0.78514589,0.81638718,0.53000000,0.51851852,0.84000000,0.64122137
30,0.67372447,0.65666667,0.59288538,1.00000000,0.74441687,1.01595068,0.45000000,0.47191011,0.84000000,0.60431655
31,0.80206013,0.53000000,0.69565217,0.10666667,0.18497110,0.94444060,0.49000000,0.33333333,0.02000000,0.03773585
32,0.51966214,0.76000000,0.83620690,0.64666667,0.72932331,0.84936064,0.55000000,0.56097561,0.46000000,0.50549451
33,0.50304359,0.77666667,0.77483444,0.78000000,0.77740864,0.91837847,0.53000000,0.52941176,0.54000000,0.53465347
34,0.52059710,0.74666667,0.67452830,0.95333333,0.79005525,0.78701943,0.56000000,0.53947368,0.82000000,0.65079365
35,0.46926004,0.79666667,0.72588832,0.95333333,0.82420749,1.00850916,0.49000000,0.49295775,0.70000000,0.57851240
36,0.70007986,0.62666667,0.57251908,1.00000000,0.72815534,1.02139485,0.49000000,0.49411765,0.84000000,0.62222222
