epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68267739,0.59000000,0.58709677,0.60666667,0.59672131,0.70070410,0.45000000,0.45454545,0.50000000,0.47619048
2,0.67951024,0.58000000,0.58450704,0.55333333,0.56849315,0.70080823,0.50000000,0.50000000,0.42000000,0.45652174
3,0.67609662,0.61000000,0.60645161,0.62666667,0.61639344,0.70075130,0.52000000,0.52000000,0.52000000,0.52000000
4,0.67342776,0.61666667,0.61290323,0.63333333,0.62295082,0.70192975,0.48000000,0.48275862,0.56000000,0.51851852
5,0.67133796,0.62666667,0.59223301,0.81333333,0.68539326,0.70096767,0.50000000,0.50000000,0.78000000,0.60937500
6,0.67543054,0.56333333,0.53612167,0.94000000,0.68280872,0.70359230,0.51000000,0.50549451,0.92000000,0.65248227
7,0.66538060,0.65666667,0.64779874,0.68666667,0.66666667,0.70217419,0.49000000,0.49090909,0.54000000,0.51428571
8,0.66309488,0.65333333,0.63068182,0.74000000,0.68098160,0.70282209,0.49000000,0.49253731,0.66000000,0.56410256
9,0.66471773,0.61000000,0.73913043,0.34000000,0.46575342,0.70808727,0.49000000,0.47619048,0.20000000,0.28169014
10,0.67553824,0.54333333,0.88235294,0.10000000,0.17964072,0.71574742,0.50000000,0.50000000,0.06000000,0.10714286
11,0.66239399,0.59000000,0.76470588,0.26000000,0.38805970,0.71057659,0.49000000,0.47058824,0.16000000,0.23880597
12,0.66095704,0.61000000,0.56470588,0.96000000,0.71111111,0.70715672,0.50000000,0.50000000,0.92000000,0.64788732
13,0.65275419,0.68333333,0.63157895,0.88000000,0.73537604,0.70334321,0.58000000,0.55000000,0.88000000,0.67692308
14,0.64660776,0.69333333,0.68831169,0.70666667,0.69736842,0.70603436,0.54000000,0.53225806,0.66000000,0.58928571
15,0.65949690,0.59666667,0.89189189,0.22000000,0.35294118,0.71879423,0.50000000,0.50000000,0.16000000,0.24242424
16,0.64960122,0.65000000,0.59336100,0.95333333,0.73145780,0.70982742,0.55000000,0.52873563,0.92000000,0.67153285
17,0.63815582,0.69000000,0.70212766,0.66000000,0.68041237,0.70984203,0.50000000,0.50000000,0.56000000,0.52830189
18,0.64892948,0.60666667,0.79629630,0.28666667,0.42156863,0.71920210,0.50000000,0.50000000,0.18000000,0.26470588
19,0.63346571,0.69333333,0.70138889,0.67333333,0.68707483,0.71101868,0.51000000,0.50909091,0.56000000,0.53333333
20,0.64077717,0.63333333,0.78571429,0.36666667,0.50000000,0.71972615,0.49000000,0.47826087,0.22000000,0.30136986
21,0.62608927,0.71000000,0.68639053,0.77333333,0.72727273,0.70930159,0.53000000,0.52173913,0.72000000,0.60504202
22,0.62240714,0.72333333,0.69142857,0.80666667,0.74461538,0.70949131,0.52000000,0.51562500,0.66000000,0.57894737
23,0.63314152,0.63333333,0.82258065,0.34000000,0.48113208,0.72480971,0.50000000,0.50000000,0.22000000,0.30555556
24,0.61681807,0.71333333,0.68823529,0.78000000,0.73125000,0.71524787,0.51000000,0.50793651,0.64000000,0.56637168
25,0.62077123,0.69000000,0.86075949,0.45333333,0.59388646,0.72163755,0.52000000,0.53571429,0.30000000,0.38461538
26,0.62364614,0.67333333,0.61111111,0.95333333,0.74479167,0.71588439,0.59000000,0.55421687,0.92000000,0.69172932
27,0.65272075,0.57666667,0.54181818,0.99333333,0.70117647,0.74330735,0.50000000,0.50000000,0.94000000,0.65277778
28,0.60212588,0.71333333,0.74242424,0.65333333,0.69503546,0.72430402,0.49000000,0.48837209,0.42000000,0.45161290
29,0.59549093,0.73666667,0.70056497,0.82666667,0.75840979,0.71908599,0.52000000,0.51470588,0.70000000,0.59322034
