epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69752854,0.50000000,0.50000000,0.99333333,0.66517857,0.69832253,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68617445,0.55000000,0.56637168,0.42666667,0.48669202,0.69045991,0.52000000,0.52941176,0.36000000,0.42857143
3,0.68198252,0.57333333,0.54263566,0.93333333,0.68627451,0.69180465,0.55000000,0.52747253,0.96000000,0.68085106
4,0.68165135,0.54333333,0.52313167,0.98000000,0.68213457,0.69723886,0.53000000,0.51612903,0.96000000,0.67132867
5,0.67726409,0.58000000,0.70000000,0.28000000,0.40000000,0.69226974,0.53000000,0.57142857,0.24000000,0.33802817
6,0.68002903,0.52000000,0.51027397,0.99333333,0.67420814,0.69950539,0.52000000,0.51041667,0.98000000,0.67123288
7,0.66919011,0.66000000,0.64814815,0.70000000,0.67307692,0.69071698,0.52000000,0.51515152,0.68000000,0.58620690
8,0.67659545,0.51333333,0.50684932,0.98666667,0.66968326,0.70296693,0.51000000,0.50515464,0.98000000,0.66666667
9,0.66618580,0.61333333,0.56910569,0.93333333,0.70707071,0.69715983,0.52000000,0.51136364,0.90000000,0.65217391
10,0.66026187,0.67000000,0.65454545,0.72000000,0.68571429,0.69161910,0.54000000,0.53030303,0.70000000,0.60344828
11,0.66224980,0.63666667,0.78873239,0.37333333,0.50678733,0.69489092,0.52000000,0.54166667,0.26000000,0.35135135
12,0.65458965,0.68333333,0.67080745,0.72000000,0.69453376,0.69584352,0.49000000,0.49206349,0.62000000,0.54867257
13,0.65190542,0.69000000,0.66285714,0.77333333,0.71384615,0.69072324,0.53000000,0.52238806,0.70000000,0.59829060
14,0.64921784,0.71333333,0.68390805,0.79333333,0.73456790,0.69393843,0.53000000,0.52173913,0.72000000,0.60504202
15,0.64937502,0.66000000,0.60000000,0.96000000,0.73846154,0.69775027,0.49000000,0.49411765,0.84000000,0.62222222
16,0.64463204,0.67333333,0.62380952,0.87333333,0.72777778,0.69532728,0.53000000,0.52000000,0.78000000,0.62400000
17,0.64003909,0.70333333,0.69182390,0.73333333,0.71197411,0.69613296,0.49000000,0.49206349,0.62000000,0.54867257
18,0.64639908,0.62666667,0.57539683,0.96666667,0.72139303,0.70644408,0.52000000,0.51162791,0.88000000,0.64705882
19,0.70292735,0.50666667,0.50335570,1.00000000,0.66964286,0.76177812,0.49000000,0.49494949,0.98000000,0.65771812
20,0.64198750,0.66333333,0.91525424,0.36000000,0.51674641,0.69929528,0.49000000,0.47619048,0.20000000,0.28169014
21,0.63122028,0.70000000,0.82608696,0.50666667,0.62809917,0.69097978,0.58000000,0.61111111,0.44000000,0.51162791
22,0.63185036,0.63666667,0.58367347,0.95333333,0.72405063,0.70307142,0.54000000,0.52380952,0.88000000,0.65671642
23,0.62573296,0.66000000,0.60344828,0.93333333,0.73298429,0.70200574,0.57000000,0.54430380,0.86000000,0.66666667
24,0.62680143,0.63666667,0.58367347,0.95333333,0.72405063,0.71183670,0.53000000,0.51764706,0.88000000,0.65185185
25,0.67146707,0.54666667,0.52464789,0.99333333,0.68663594,0.75784767,0.53000000,0.51578947,0.98000000,0.67586207
26,0.64670479,0.58333333,1.00000000,0.16666667,0.28571429,0.71220887,0.52000000,0.58333333,0.14000000,0.22580645
27,0.60417145,0.76333333,0.73099415,0.83333333,0.77881620,0.69601148,0.50000000,0.50000000,0.66000000,0.56896552
28,0.59751248,0.77333333,0.80597015,0.72000000,0.76056338,0.69758743,0.52000000,0.51785714,0.58000000,0.54716981
29,0.59462649,0.75000000,0.69841270,0.88000000,0.77876106,0.70090240,0.52000000,0.51428571,0.72000000,0.60000000
30,0.58925670,0.78333333,0.85123967,0.68666667,0.76014760,0.69678223,0.51000000,0.50943396,0.54000000,0.52427184
31,0.58687502,0.78666667,0.74157303,0.88000000,0.80487805,0.70399880,0.53000000,0.52173913,0.72000000,0.60504202
32,0.59011132,0.72666667,0.93589744,0.48666667,0.64035088,0.70297807,0.55000000,0.59259259,0.32000000,0.41558442
33,0.64112288,0.57000000,0.53818182,0.98666667,0.69647059,0.77764821,0.52000000,0.51086957,0.94000000,0.66197183
34,0.59478170,0.67333333,0.91935484,0.38000000,0.53773585,0.71253312,0.52000000,0.54545455,0.24000000,0.33333333
35,0.59938312,0.62666667,0.57480315,0.97333333,0.72277228,0.75571668,0.54000000,0.52325581,0.90000000,0.66176471
36,0.78703439,0.52000000,0.51020408,1.00000000,0.67567568,0.92583054,0.50000000,0.50000000,0.98000000,0.66216216
