epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69962525,0.53000000,0.58490566,0.20666667,0.30541872,0.69693571,0.50000000,0.50000000,0.18000000,0.26470588
2,0.68666577,0.52333333,0.52447552,0.50000000,0.51194539,0.69300246,0.48000000,0.48000000,0.48000000,0.48000000
3,0.69070375,0.54666667,0.52573529,0.95333333,0.67772512,0.70523506,0.53000000,0.51612903,0.96000000,0.67132867
4,0.67453951,0.58000000,0.59523810,0.50000000,0.54347826,0.69994050,0.45000000,0.45283019,0.48000000,0.46601942
5,0.67853296,0.54666667,0.52692308,0.91333333,0.66829268,0.70734555,0.51000000,0.50588235,0.86000000,0.63703704
6,0.66602510,0.61666667,0.60000000,0.70000000,0.64615385,0.70376235,0.47000000,0.47761194,0.64000000,0.54700855
7,0.66321892,0.62000000,0.67307692,0.46666667,0.55118110,0.70607907,0.46000000,0.45000000,0.36000000,0.40000000
8,0.66482759,0.61000000,0.56903766,0.90666667,0.69922879,0.71070558,0.50000000,0.50000000,0.82000000,0.62121212
9,0.65694535,0.61666667,0.68041237,0.44000000,0.53441296,0.70819551,0.47000000,0.45945946,0.34000000,0.39080460
10,0.66380382,0.58666667,0.55078125,0.94000000,0.69458128,0.71492279,0.54000000,0.52222222,0.94000000,0.67142857
11,0.65420616,0.60333333,0.76271186,0.30000000,0.43062201,0.71108359,0.50000000,0.50000000,0.26000000,0.34210526
12,0.66856021,0.54333333,0.84210526,0.10666667,0.18934911,0.72565007,0.49000000,0.42857143,0.06000000,0.10526316
13,0.64215058,0.68333333,0.66666667,0.73333333,0.69841270,0.70966458,0.51000000,0.50793651,0.64000000,0.56637168
14,0.64286834,0.65000000,0.77777778,0.42000000,0.54545455,0.71379852,0.47000000,0.45161290,0.28000000,0.34567901
15,0.64177442,0.66000000,0.60909091,0.89333333,0.72432432,0.71183914,0.50000000,0.50000000,0.80000000,0.61538462
16,0.63155717,0.69000000,0.67484663,0.73333333,0.70287540,0.71015275,0.53000000,0.52307692,0.68000000,0.59130435
17,0.62766927,0.70666667,0.72794118,0.66000000,0.69230769,0.71234715,0.47000000,0.47058824,0.48000000,0.47524752
18,0.62866646,0.69333333,0.73015873,0.61333333,0.66666667,0.71402371,0.52000000,0.52272727,0.46000000,0.48936170
19,0.63376701,0.60666667,0.80769231,0.28000000,0.41584158,0.72253281,0.49000000,0.47619048,0.20000000,0.28169014
20,0.61691475,0.73333333,0.70833333,0.79333333,0.74842767,0.71590161,0.53000000,0.52307692,0.68000000,0.59130435
21,0.61357373,0.74000000,0.75352113,0.71333333,0.73287671,0.71563923,0.53000000,0.52830189,0.56000000,0.54368932
22,0.61185241,0.73000000,0.68449198,0.85333333,0.75964392,0.71846998,0.55000000,0.53521127,0.76000000,0.62809917
23,0.60740709,0.73000000,0.78991597,0.62666667,0.69888476,0.71869928,0.49000000,0.48780488,0.40000000,0.43956044
24,0.60130954,0.73666667,0.72049689,0.77333333,0.74598071,0.71288234,0.56000000,0.54687500,0.70000000,0.61403509
25,0.60011941,0.73666667,0.72327044,0.76666667,0.74433657,0.71300429,0.57000000,0.55555556,0.70000000,0.61946903
26,0.61539692,0.64000000,0.58606557,0.95333333,0.72588832,0.72278005,0.54000000,0.52325581,0.90000000,0.66176471
27,0.59049004,0.74000000,0.72500000,0.77333333,0.74838710,0.71342605,0.56000000,0.54545455,0.72000000,0.62068966
28,0.65794843,0.53666667,0.92307692,0.08000000,0.14723926,0.76804847,0.50000000,0.50000000,0.02000000,0.03846154
29,0.65037650,0.55000000,0.89473684,0.11333333,0.20118343,0.76658797,0.50000000,0.50000000,0.02000000,0.03846154
30,0.61397582,0.63333333,0.57936508,0.97333333,0.72636816,0.73453355,0.55000000,0.52873563,0.92000000,0.67153285
31,0.58356905,0.73000000,0.66350711,0.93333333,0.77562327,0.72430634,0.57000000,0.54666667,0.82000000,0.65600000
32,0.68001723,0.57666667,0.54151625,1.00000000,0.70257611,0.77815777,0.51000000,0.50526316,0.96000000,0.66206897
33,0.63767546,0.56666667,0.91666667,0.14666667,0.25287356,0.77202713,0.50000000,0.50000000,0.04000000,0.07407407
34,0.60568953,0.64000000,0.58333333,0.98000000,0.73134328,0.75397801,0.54000000,0.52325581,0.90000000,0.66176471
35,0.55795008,0.78666667,0.75595238,0.84666667,0.79874214,0.71989471,0.60000000,0.57575758,0.76000000,0.65517241
36,0.55306166,0.78000000,0.74705882,0.84666667,0.79375000,0.72195995,0.61000000,0.58208955,0.78000000,0.66666667
37,0.59006554,0.65666667,0.59514170,0.98000000,0.74055416,0.76403165,0.55000000,0.52941176,0.90000000,0.66666667
38,0.55187756,0.78333333,0.72251309,0.92000000,0.80938416,0.72225827,0.59000000,0.56338028,0.80000000,0.66115702
39,0.54737389,0.77000000,0.71657754,0.89333333,0.79525223,0.72482467,0.58000000,0.55714286,0.78000000,0.65000000
40,0.60717541,0.64333333,0.58365759,1.00000000,0.73710074,0.78265852,0.54000000,0.52272727,0.92000000,0.66666667
41,0.53408700,0.80000000,0.78125000,0.83333333,0.80645161,0.71804959,0.59000000,0.57142857,0.72000000,0.63716814
42,0.59012324,0.66000000,0.59600000,0.99333333,0.74500000,0.78783262,0.54000000,0.52272727,0.92000000,0.66666667
43,0.60251069,0.65000000,0.58964143,0.98666667,0.73815461,0.80039352,0.52000000,0.51136364,0.90000000,0.65217391
44,0.51433390,0.82666667,0.80246914,0.86666667,0.83333333,0.74369133,0.62000000,0.60000000,0.72000000,0.65454545
45,0.70806760,0.52666667,0.90000000,0.06000000,0.11250000,0.88816750,0.51000000,1.00000000,0.02000000,0.03921569
46,0.56109613,0.65666667,0.92727273,0.34000000,0.49756098,0.77499813,0.50000000,0.50000000,0.16000000,0.24242424
47,0.52757651,0.72666667,0.89534884,0.51333333,0.65254237,0.75996351,0.46000000,0.42307692,0.22000000,0.28947368
48,0.49237549,0.83333333,0.79761905,0.89333333,0.84276730,0.74682724,0.60000000,0.58064516,0.72000000,0.64285714
