epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71328163,0.50000000,0.50000000,0.94666667,0.65437788,0.75322771,0.45000000,0.47368421,0.90000000,0.62068966
2,0.69330704,0.51666667,0.64705882,0.07333333,0.13173653,0.74050659,0.46000000,0.16666667,0.02000000,0.03571429
3,0.66918904,0.58000000,0.57142857,0.64000000,0.60377358,0.72609568,0.42000000,0.43333333,0.52000000,0.47272727
4,0.67899048,0.53000000,0.76470588,0.08666667,0.15568862,0.74650538,0.49000000,0.44444444,0.08000000,0.13559322
5,0.65716249,0.60666667,0.58988764,0.70000000,0.64024390,0.72532868,0.42000000,0.43333333,0.52000000,0.47272727
6,0.65102571,0.65000000,0.67716535,0.57333333,0.62093863,0.72665143,0.37000000,0.37254902,0.38000000,0.37623762
7,0.66081482,0.55000000,0.77777778,0.14000000,0.23728814,0.74465716,0.45000000,0.30769231,0.08000000,0.12698413
8,0.63648552,0.71000000,0.70063694,0.73333333,0.71661238,0.72618181,0.40000000,0.40384615,0.42000000,0.41176471
9,0.63115031,0.69000000,0.65573770,0.80000000,0.72072072,0.73147196,0.41000000,0.42622951,0.52000000,0.46846847
10,0.66268039,0.56000000,0.53214286,0.99333333,0.69302326,0.75250304,0.49000000,0.49473684,0.94000000,0.64827586
11,0.62198412,0.69666667,0.80412371,0.52000000,0.63157895,0.73753494,0.42000000,0.38888889,0.28000000,0.32558140
12,0.63754159,0.59666667,0.96774194,0.20000000,0.33149171,0.76424551,0.48000000,0.42857143,0.12000000,0.18750000
13,0.60765475,0.71333333,0.86363636,0.50666667,0.63865546,0.74204850,0.41000000,0.35483871,0.22000000,0.27160494
14,0.67686331,0.55666667,0.53003534,1.00000000,0.69284065,0.79229909,0.50000000,0.50000000,0.98000000,0.66216216
15,0.59459525,0.76333333,0.80152672,0.70000000,0.74733096,0.73208028,0.39000000,0.36585366,0.30000000,0.32967033
16,0.64415854,0.55333333,1.00000000,0.10666667,0.19277108,0.79800856,0.54000000,1.00000000,0.08000000,0.14814815
17,0.62822324,0.60000000,0.55555556,1.00000000,0.71428571,0.77750319,0.48000000,0.48913043,0.90000000,0.63380282
18,0.57737070,0.77000000,0.69756098,0.95333333,0.80563380,0.73421264,0.45000000,0.46478873,0.66000000,0.54545455
19,0.60576612,0.60000000,1.00000000,0.20000000,0.33333333,0.80808198,0.48000000,0.41666667,0.10000000,0.16129032
20,0.58038497,0.68666667,0.61764706,0.98000000,0.75773196,0.74333048,0.49000000,0.49397590,0.82000000,0.61654135
21,0.58622986,0.63000000,0.97560976,0.26666667,0.41884817,0.81003356,0.44000000,0.35000000,0.14000000,0.20000000
22,0.53450918,0.81333333,0.87903226,0.72666667,0.79562044,0.74874002,0.39000000,0.36585366,0.30000000,0.32967033
23,0.52101034,0.82666667,0.84027778,0.80666667,0.82312925,0.77647722,0.42000000,0.41666667,0.40000000,0.40816327
24,0.58415103,0.63333333,0.57751938,0.99333333,0.73039216,0.80289543,0.52000000,0.51111111,0.92000000,0.65714286
25,0.50251609,0.87000000,0.84905660,0.90000000,0.87378641,0.74622291,0.47000000,0.47058824,0.48000000,0.47524752
26,0.53171569,0.71333333,0.92105263,0.46666667,0.61946903,0.77836227,0.49000000,0.47058824,0.16000000,0.23880597
27,0.47712728,0.88333333,0.88590604,0.88000000,0.88294314,0.76657248,0.42000000,0.41666667,0.40000000,0.40816327
28,0.48652008,0.79333333,0.70952381,0.99333333,0.82777778,0.78244263,0.50000000,0.50000000,0.74000000,0.59677419
29,0.48122692,0.86666667,0.84375000,0.90000000,0.87096774,0.77669150,0.46000000,0.46000000,0.46000000,0.46000000
30,0.64406604,0.58666667,1.00000000,0.17333333,0.29545455,0.96616578,0.54000000,1.00000000,0.08000000,0.14814815
31,0.46467540,0.83666667,0.95495495,0.70666667,0.81226054,0.80869830,0.43000000,0.38709677,0.24000000,0.29629630
32,0.46092498,0.80333333,0.95959596,0.63333333,0.76305221,0.86437070,0.45000000,0.41379310,0.24000000,0.30379747
33,0.44926631,0.85333333,0.79444444,0.95333333,0.86666667,0.79703814,0.48000000,0.48333333,0.58000000,0.52727273
34,0.42043680,0.88666667,0.89726027,0.87333333,0.88513514,0.81655717,0.44000000,0.43181818,0.38000000,0.40425532
35,0.41597617,0.85333333,0.77894737,0.98666667,0.87058824,0.83534628,0.49000000,0.49230769,0.64000000,0.55652174
36,0.56679261,0.67666667,0.60816327,0.99333333,0.75443038,0.95391190,0.50000000,0.50000000,0.92000000,0.64788732
37,0.41831619,0.86333333,0.97391304,0.74666667,0.84528302,0.83661020,0.48000000,0.46875000,0.30000000,0.36585366
38,0.52339661,0.69666667,0.62240664,1.00000000,0.76726343,0.92978722,0.53000000,0.51685393,0.92000000,0.66187050
