epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68927002,0.54333333,0.52471483,0.92000000,0.66828087,0.69645941,0.48000000,0.48837209,0.84000000,0.61764706
2,0.67694396,0.62333333,0.59296482,0.78666667,0.67621777,0.69008887,0.48000000,0.48529412,0.66000000,0.55932203
3,0.67090559,0.63000000,0.58904110,0.86000000,0.69918699,0.69379973,0.50000000,0.50000000,0.72000000,0.59016393
4,0.66719532,0.63666667,0.58874459,0.90666667,0.71391076,0.69685000,0.47000000,0.48101266,0.76000000,0.58914729
5,0.66524136,0.59666667,0.75438596,0.28666667,0.41545894,0.70272058,0.52000000,0.55555556,0.20000000,0.29411765
6,0.67637700,0.54666667,0.52482270,0.98666667,0.68518519,0.71033961,0.49000000,0.49438202,0.88000000,0.63309353
7,0.64939791,0.71000000,0.73333333,0.66000000,0.69473684,0.69768411,0.56000000,0.57142857,0.48000000,0.52173913
8,0.65177292,0.64666667,0.59166667,0.94666667,0.72820513,0.69892800,0.48000000,0.48780488,0.80000000,0.60606061
9,0.63536364,0.72666667,0.69318182,0.81333333,0.74846626,0.69703794,0.50000000,0.50000000,0.56000000,0.52830189
10,0.63152665,0.70666667,0.72142857,0.67333333,0.69655172,0.69697791,0.52000000,0.52173913,0.48000000,0.50000000
11,0.64554578,0.60333333,0.77192982,0.29333333,0.42512077,0.71315718,0.54000000,0.60000000,0.24000000,0.34285714
12,0.62178034,0.71333333,0.72535211,0.68666667,0.70547945,0.69322813,0.56000000,0.56521739,0.52000000,0.54166667
13,0.61179757,0.72666667,0.72666667,0.72666667,0.72666667,0.69873458,0.56000000,0.56250000,0.54000000,0.55102041
14,0.60510397,0.75000000,0.70718232,0.85333333,0.77341390,0.70097756,0.50000000,0.50000000,0.56000000,0.52830189
15,0.61004734,0.69333333,0.64795918,0.84666667,0.73410405,0.69990861,0.52000000,0.51562500,0.66000000,0.57894737
16,0.58837116,0.74000000,0.72784810,0.76666667,0.74675325,0.71130407,0.49000000,0.49090909,0.54000000,0.51428571
17,0.59181589,0.71000000,0.74418605,0.64000000,0.68817204,0.70663851,0.58000000,0.59090909,0.52000000,0.55319149
18,0.57343668,0.77666667,0.76433121,0.80000000,0.78175896,0.71413386,0.52000000,0.51851852,0.56000000,0.53846154
19,0.68841451,0.54666667,0.52447552,1.00000000,0.68807339,0.77194124,0.48000000,0.48913043,0.90000000,0.63380282
20,0.59277570,0.66666667,0.83783784,0.41333333,0.55357143,0.72641730,0.57000000,0.62068966,0.36000000,0.45569620
21,0.56018251,0.75666667,0.77304965,0.72666667,0.74914089,0.71464342,0.58000000,0.59090909,0.52000000,0.55319149
22,0.54987592,0.76000000,0.68571429,0.96000000,0.80000000,0.72826934,0.52000000,0.51388889,0.74000000,0.60655738
23,0.54188061,0.79000000,0.76047904,0.84666667,0.80126183,0.73676246,0.57000000,0.55932203,0.66000000,0.60550459
24,0.53335947,0.80666667,0.74468085,0.93333333,0.82840237,0.73478299,0.56000000,0.54545455,0.72000000,0.62068966
25,0.60548341,0.63333333,0.57692308,1.00000000,0.73170732,0.77622885,0.52000000,0.51219512,0.84000000,0.63636364
26,0.54106396,0.71666667,0.87356322,0.50666667,0.64135021,0.77740079,0.51000000,0.52000000,0.26000000,0.34666667
27,0.50499743,0.79333333,0.80555556,0.77333333,0.78911565,0.74431747,0.54000000,0.54545455,0.48000000,0.51063830
28,0.48343566,0.82000000,0.84285714,0.78666667,0.81379310,0.75853455,0.56000000,0.56818182,0.50000000,0.53191489
29,0.47094187,0.82333333,0.78034682,0.90000000,0.83591331,0.74777359,0.55000000,0.54237288,0.64000000,0.58715596
30,0.46388784,0.82666667,0.87121212,0.76666667,0.81560284,0.76178664,0.57000000,0.58974359,0.46000000,0.51685393
31,0.48099282,0.83000000,0.75916230,0.96666667,0.85043988,0.75441343,0.54000000,0.53030303,0.70000000,0.60344828
32,0.45223969,0.85000000,0.89473684,0.79333333,0.84098940,0.75286728,0.56000000,0.57500000,0.46000000,0.51111111
33,0.64572221,0.62666667,0.57251908,1.00000000,0.72815534,0.87481207,0.51000000,0.50588235,0.86000000,0.63703704
