epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69372952,0.51000000,0.53488372,0.15333333,0.23834197,0.71642256,0.51000000,0.53333333,0.16000000,0.24615385
2,0.68651438,0.51666667,0.53968254,0.22666667,0.31924883,0.71496749,0.42000000,0.34615385,0.18000000,0.23684211
3,0.73678201,0.50333333,0.50167224,1.00000000,0.66815145,0.76018679,0.50000000,0.50000000,1.00000000,0.66666667
4,0.67946970,0.55666667,0.79310345,0.15333333,0.25698324,0.70861351,0.49000000,0.45454545,0.10000000,0.16393443
5,0.66732997,0.62666667,0.65322581,0.54000000,0.59124088,0.70352006,0.47000000,0.46808511,0.44000000,0.45360825
6,0.66380149,0.64666667,0.68032787,0.55333333,0.61029412,0.69883096,0.50000000,0.50000000,0.48000000,0.48979592
7,0.66083801,0.60333333,0.56431535,0.90666667,0.69565217,0.70713234,0.46000000,0.47368421,0.72000000,0.57142857
8,0.65260851,0.66666667,0.77173913,0.47333333,0.58677686,0.70205688,0.54000000,0.55000000,0.44000000,0.48888889
9,0.64818364,0.68666667,0.67073171,0.73333333,0.70063694,0.70146650,0.44000000,0.45000000,0.54000000,0.49090909
10,0.63971460,0.65333333,0.60747664,0.86666667,0.71428571,0.70919085,0.46000000,0.47142857,0.66000000,0.55000000
11,0.64149177,0.63000000,0.58515284,0.89333333,0.70712401,0.72206694,0.45000000,0.46753247,0.72000000,0.56692913
12,0.63160986,0.65000000,0.77777778,0.42000000,0.54545455,0.71676475,0.47000000,0.45714286,0.32000000,0.37647059
13,0.65445018,0.56333333,0.91304348,0.14000000,0.24277457,0.73553872,0.51000000,0.57142857,0.08000000,0.14035088
14,0.61336720,0.70666667,0.67222222,0.80666667,0.73333333,0.71018201,0.44000000,0.45312500,0.58000000,0.50877193
15,0.63315725,0.62000000,0.57200000,0.95333333,0.71500000,0.72971433,0.49000000,0.49397590,0.82000000,0.61654135
16,0.61250073,0.67333333,0.61403509,0.93333333,0.74074074,0.74255389,0.47000000,0.48051948,0.74000000,0.58267717
17,0.65324670,0.58666667,0.54779412,0.99333333,0.70616114,0.77782786,0.47000000,0.48235294,0.82000000,0.60740741
18,0.59219748,0.69000000,0.85185185,0.46000000,0.59740260,0.72107816,0.55000000,0.59259259,0.32000000,0.41558442
19,0.60331988,0.64333333,0.82089552,0.36666667,0.50691244,0.75344175,0.54000000,0.59090909,0.26000000,0.36111111
20,0.56283671,0.78000000,0.84426230,0.68666667,0.75735294,0.73179674,0.57000000,0.58139535,0.50000000,0.53763441
21,0.63547701,0.54666667,1.00000000,0.09333333,0.17073171,0.78019869,0.51000000,0.66666667,0.04000000,0.07547170
22,0.55614871,0.74666667,0.69270833,0.88666667,0.77777778,0.77069819,0.51000000,0.50746269,0.68000000,0.58119658
23,0.57849461,0.65000000,0.86885246,0.35333333,0.50236967,0.76295626,0.51000000,0.52173913,0.24000000,0.32876712
24,0.53776288,0.76666667,0.88461538,0.61333333,0.72440945,0.75402093,0.50000000,0.50000000,0.30000000,0.37500000
25,0.54917264,0.72666667,0.65178571,0.97333333,0.78074866,0.77575117,0.51000000,0.50666667,0.76000000,0.60800000
26,0.68924463,0.52000000,1.00000000,0.04000000,0.07692308,0.87131810,0.51000000,1.00000000,0.02000000,0.03921569
27,0.52268595,0.77666667,0.72928177,0.88000000,0.79758308,0.74308991,0.47000000,0.47540984,0.58000000,0.52252252
28,0.48634654,0.85000000,0.83439490,0.87333333,0.85342020,0.77013659,0.53000000,0.52830189,0.56000000,0.54368932
29,0.56691766,0.68333333,0.61224490,1.00000000,0.75949367,0.85868788,0.47000000,0.48148148,0.78000000,0.59541985
30,0.52731758,0.72666667,0.65178571,0.97333333,0.78074866,0.81391561,0.49000000,0.49333333,0.74000000,0.59200000
31,0.52276456,0.73666667,0.65502183,1.00000000,0.79155673,0.84810275,0.51000000,0.50666667,0.76000000,0.60800000
32,0.52541691,0.73666667,0.66063348,0.97333333,0.78706199,0.79786855,0.57000000,0.54929577,0.78000000,0.64462810
33,0.48638681,0.78000000,0.71428571,0.93333333,0.80924855,0.85612845,0.54000000,0.52941176,0.72000000,0.61016949
34,0.46229473,0.84666667,0.93333333,0.74666667,0.82962963,0.77158767,0.55000000,0.56410256,0.44000000,0.49438202
35,0.45703670,0.80333333,0.72195122,0.98666667,0.83380282,0.84027678,0.55000000,0.53623188,0.74000000,0.62184874
36,0.63203764,0.59666667,1.00000000,0.19333333,0.32402235,0.98623687,0.52000000,0.66666667,0.08000000,0.14285714
37,0.41704157,0.84000000,0.76020408,0.99333333,0.86127168,0.82860565,0.55000000,0.53846154,0.70000000,0.60869565
38,0.40419215,0.85333333,0.94915254,0.74666667,0.83582090,0.80990785,0.50000000,0.50000000,0.34000000,0.40476190
39,0.44100967,0.81666667,0.89915966,0.71333333,0.79553903,0.82835418,0.49000000,0.48484848,0.32000000,0.38554217
40,0.44209555,0.81333333,0.72815534,1.00000000,0.84269663,0.88405901,0.56000000,0.54285714,0.76000000,0.63333333
41,0.81365955,0.53666667,1.00000000,0.07333333,0.13664596,1.19774306,0.51000000,1.00000000,0.02000000,0.03921569
