epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68452644,0.51333333,0.52500000,0.28000000,0.36521739,0.71013200,0.47000000,0.44444444,0.24000000,0.31168831
2,0.67232370,0.59666667,0.60740741,0.54666667,0.57543860,0.71432006,0.44000000,0.43478261,0.40000000,0.41666667
3,0.71281493,0.51000000,0.50508475,0.99333333,0.66966292,0.76630950,0.49000000,0.49494949,0.98000000,0.65771812
4,0.65863025,0.63333333,0.65384615,0.56666667,0.60714286,0.71647042,0.39000000,0.38297872,0.36000000,0.37113402
5,0.66967279,0.55000000,0.80000000,0.13333333,0.22857143,0.72366226,0.50000000,0.50000000,0.08000000,0.13793103
6,0.65369791,0.60666667,0.56299213,0.95333333,0.70792079,0.72457367,0.47000000,0.48314607,0.86000000,0.61870504
7,0.64104760,0.70333333,0.70198675,0.70666667,0.70431894,0.71564937,0.43000000,0.43636364,0.48000000,0.45714286
8,0.63606191,0.66666667,0.69841270,0.58666667,0.63768116,0.72356027,0.43000000,0.42857143,0.42000000,0.42424242
9,0.66662598,0.56000000,0.87500000,0.14000000,0.24137931,0.74414015,0.51000000,0.66666667,0.04000000,0.07547170
10,0.62481600,0.72000000,0.66836735,0.87333333,0.75722543,0.72504258,0.44000000,0.45833333,0.66000000,0.54098361
11,0.64607751,0.59666667,0.55513308,0.97333333,0.70702179,0.75595647,0.46000000,0.47826087,0.88000000,0.61971831
12,0.61462069,0.70333333,0.85057471,0.49333333,0.62447257,0.73479706,0.49000000,0.48571429,0.34000000,0.40000000
13,0.61956263,0.63666667,0.58367347,0.95333333,0.72405063,0.75018966,0.48000000,0.48888889,0.88000000,0.62857143
14,0.60770327,0.69666667,0.62995595,0.95333333,0.75862069,0.73761719,0.49000000,0.49350649,0.76000000,0.59842520
15,0.60173017,0.68666667,0.62280702,0.94666667,0.75132275,0.74957633,0.48000000,0.48717949,0.76000000,0.59375000
16,0.63852990,0.58000000,0.54379562,0.99333333,0.70283019,0.76787043,0.46000000,0.47872340,0.90000000,0.62500000
17,0.59738696,0.69666667,0.91549296,0.43333333,0.58823529,0.76123965,0.48000000,0.46153846,0.24000000,0.31578947
18,0.56112581,0.76666667,0.77027027,0.76000000,0.76510067,0.75570780,0.44000000,0.44642857,0.50000000,0.47169811
19,0.57520390,0.71333333,0.64285714,0.96000000,0.77005348,0.75494707,0.49000000,0.49367089,0.78000000,0.60465116
20,0.63140154,0.57666667,1.00000000,0.15333333,0.26589595,0.81842017,0.51000000,0.60000000,0.06000000,0.10909091
21,0.57309365,0.67666667,0.60905350,0.98666667,0.75318066,0.79019499,0.48000000,0.48863636,0.86000000,0.62318841
22,0.51827681,0.81666667,0.77142857,0.90000000,0.83076923,0.76203352,0.41000000,0.42622951,0.52000000,0.46846847
23,0.56187838,0.69333333,0.62393162,0.97333333,0.76041667,0.82933474,0.50000000,0.50000000,0.82000000,0.62121212
24,0.52174473,0.79333333,0.89285714,0.66666667,0.76335878,0.78370702,0.41000000,0.39024390,0.32000000,0.35164835
25,0.55805373,0.68333333,0.61410788,0.98666667,0.75703325,0.83814126,0.50000000,0.50000000,0.86000000,0.63235294
26,0.48779052,0.84333333,0.79768786,0.92000000,0.85448916,0.75435090,0.46000000,0.46551724,0.54000000,0.50000000
27,0.51277310,0.75000000,0.67123288,0.98000000,0.79674797,0.77977300,0.52000000,0.51250000,0.82000000,0.63076923
28,0.52755308,0.70666667,0.63247863,0.98666667,0.77083333,0.85915619,0.51000000,0.50588235,0.86000000,0.63703704
29,0.53235608,0.71333333,0.98484848,0.43333333,0.60185185,0.81379777,0.52000000,0.55000000,0.22000000,0.31428571
30,0.44175923,0.85666667,0.86896552,0.84000000,0.85423729,0.81064200,0.48000000,0.48000000,0.48000000,0.48000000
31,0.44468322,0.90000000,0.91666667,0.88000000,0.89795918,0.78983635,0.47000000,0.46938776,0.46000000,0.46464646
32,0.90629321,0.50666667,1.00000000,0.01333333,0.02631579,1.20315015,0.50000000,0.00000000,0.00000000,0.00000000
33,0.46427581,0.78666667,0.70673077,0.98000000,0.82122905,0.87767243,0.49000000,0.49350649,0.76000000,0.59842520
34,0.45870477,0.80000000,0.97872340,0.61333333,0.75409836,0.89184576,0.48000000,0.46428571,0.26000000,0.33333333
35,0.42013541,0.88000000,0.82386364,0.96666667,0.88957055,0.80811012,0.51000000,0.50724638,0.70000000,0.58823529
36,0.40314719,0.85333333,0.78804348,0.96666667,0.86826347,0.85156214,0.50000000,0.50000000,0.72000000,0.59016393
37,0.47953632,0.73666667,0.65777778,0.98666667,0.78933333,0.88585579,0.51000000,0.50602410,0.84000000,0.63157895
38,0.35759735,0.92333333,0.90445860,0.94666667,0.92508143,0.81745982,0.50000000,0.50000000,0.54000000,0.51923077
39,0.49607137,0.71666667,0.63829787,1.00000000,0.77922078,0.90688825,0.51000000,0.50588235,0.86000000,0.63703704
40,0.38476899,0.92000000,0.93150685,0.90666667,0.91891892,0.81148165,0.49000000,0.49056604,0.52000000,0.50485437
41,0.50404328,0.70666667,0.63025210,1.00000000,0.77319588,1.03684485,0.50000000,0.50000000,0.86000000,0.63235294
42,1.13508928,0.50666667,1.00000000,0.01333333,0.02631579,1.46517241,0.50000000,0.00000000,0.00000000,0.00000000
