epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68247324,0.54000000,0.53488372,0.61333333,0.57142857,0.68662107,0.54000000,0.53571429,0.60000000,0.56603774
2,0.67588931,0.58000000,0.54918033,0.89333333,0.68020305,0.69762069,0.48000000,0.48888889,0.88000000,0.62857143
3,0.68427551,0.55333333,0.53174603,0.89333333,0.66666667,0.69352090,0.51000000,0.50666667,0.76000000,0.60800000
4,0.67136270,0.63666667,0.61581921,0.72666667,0.66666667,0.68640947,0.55000000,0.53968254,0.68000000,0.60176991
5,0.71216667,0.50333333,1.00000000,0.00666667,0.01324503,0.74559808,0.49000000,0.00000000,0.00000000,0.00000000
6,0.69765514,0.50333333,0.54545455,0.04000000,0.07453416,0.73344916,0.50000000,0.50000000,0.04000000,0.07407407
7,0.64908570,0.64000000,0.62650602,0.69333333,0.65822785,0.70366943,0.57000000,0.55932203,0.66000000,0.60550459
8,0.66493398,0.60000000,0.55952381,0.94000000,0.70149254,0.70074135,0.53000000,0.51648352,0.94000000,0.66666667
9,0.66418248,0.58666667,0.72413793,0.28000000,0.40384615,0.71503371,0.50000000,0.50000000,0.24000000,0.32432432
10,0.67288280,0.61666667,0.59162304,0.75333333,0.66275660,0.69854033,0.49000000,0.49180328,0.60000000,0.54054054
11,0.66573524,0.64000000,0.58677686,0.94666667,0.72448980,0.69013053,0.57000000,0.54117647,0.92000000,0.68148148
12,0.65242046,0.66333333,0.67625899,0.62666667,0.65051903,0.68902129,0.53000000,0.53191489,0.50000000,0.51546392
13,0.66298962,0.61666667,0.57028112,0.94666667,0.71177945,0.70311856,0.48000000,0.48863636,0.86000000,0.62318841
14,0.66719341,0.57000000,0.53790614,0.99333333,0.69789227,0.70705575,0.53000000,0.51648352,0.94000000,0.66666667
15,0.63774729,0.63666667,0.59534884,0.85333333,0.70136986,0.70174646,0.55000000,0.53521127,0.76000000,0.62809917
16,0.67464489,0.55333333,0.52836879,0.99333333,0.68981481,0.74021482,0.50000000,0.50000000,0.94000000,0.65277778
17,0.64610028,0.69666667,0.73600000,0.61333333,0.66909091,0.71001983,0.53000000,0.54545455,0.36000000,0.43373494
18,0.61417127,0.67000000,0.61643836,0.90000000,0.73170732,0.71993846,0.54000000,0.52631579,0.80000000,0.63492063
19,0.65620893,0.61000000,0.56226415,0.99333333,0.71807229,0.72948748,0.49000000,0.49462366,0.92000000,0.64335664
20,0.65970999,0.61333333,0.60000000,0.68000000,0.63750000,0.70728272,0.49000000,0.49152542,0.58000000,0.53211009
21,0.61536926,0.65333333,0.60360360,0.89333333,0.72043011,0.73729050,0.47000000,0.48101266,0.76000000,0.58914729
22,0.64977741,0.58666667,0.54814815,0.98666667,0.70476190,0.73706293,0.49000000,0.49450549,0.90000000,0.63829787
23,0.72692847,0.52666667,0.90000000,0.06000000,0.11250000,0.83195525,0.51000000,1.00000000,0.02000000,0.03921569
24,0.62600422,0.65666667,0.59591837,0.97333333,0.73924051,0.72329080,0.51000000,0.50602410,0.84000000,0.63157895
25,0.74640453,0.52666667,1.00000000,0.05333333,0.10126582,0.86873549,0.50000000,0.50000000,0.02000000,0.03846154
26,0.80000758,0.51333333,1.00000000,0.02666667,0.05194805,0.97486806,0.50000000,0.00000000,0.00000000,0.00000000
27,0.56671315,0.72000000,0.67368421,0.85333333,0.75294118,0.77262527,0.51000000,0.50793651,0.64000000,0.56637168
28,0.56466365,0.72333333,0.90361446,0.50000000,0.64377682,0.77116376,0.56000000,0.61538462,0.32000000,0.42105263
29,0.65840173,0.54666667,0.93750000,0.10000000,0.18072289,0.82569116,0.48000000,0.25000000,0.02000000,0.03703704
30,0.52039957,0.78333333,0.76729560,0.81333333,0.78964401,0.77626008,0.57000000,0.57446809,0.54000000,0.55670103
31,0.71656525,0.51333333,0.50675676,1.00000000,0.67264574,0.80922014,0.49000000,0.49494949,0.98000000,0.65771812
