epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.72140688,0.50000000,0.50000000,1.00000000,0.66666667,0.72261077,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68180054,0.57000000,0.65217391,0.30000000,0.41095890,0.69669706,0.55000000,0.69230769,0.18000000,0.28571429
3,0.68176371,0.54666667,0.65909091,0.19333333,0.29896907,0.69931465,0.50000000,0.50000000,0.08000000,0.13793103
4,0.68521863,0.49666667,0.42857143,0.02000000,0.03821656,0.70135778,0.51000000,1.00000000,0.02000000,0.03921569
5,0.67760843,0.67000000,0.63636364,0.79333333,0.70623145,0.69103211,0.52000000,0.51724138,0.60000000,0.55555556
6,0.69026208,0.50333333,0.50168350,0.99333333,0.66666667,0.70623749,0.48000000,0.48958333,0.94000000,0.64383562
7,0.66558915,0.61000000,0.72602740,0.35333333,0.47533632,0.70177060,0.53000000,0.55555556,0.30000000,0.38961039
8,0.67795235,0.53333333,0.51760563,0.98000000,0.67741935,0.70258802,0.50000000,0.50000000,0.92000000,0.64788732
9,0.65496480,0.62333333,0.72839506,0.39333333,0.51082251,0.70404279,0.53000000,0.55172414,0.32000000,0.40506329
10,0.66345721,0.62000000,0.57142857,0.96000000,0.71641791,0.69183648,0.53000000,0.51724138,0.90000000,0.65693431
11,0.64114851,0.69000000,0.63902439,0.87333333,0.73802817,0.69282156,0.57000000,0.55223881,0.74000000,0.63247863
12,0.64201283,0.62333333,0.74666667,0.37333333,0.49777778,0.72914016,0.56000000,0.60000000,0.36000000,0.45000000
13,0.64423007,0.60000000,0.62500000,0.50000000,0.55555556,0.79113227,0.47000000,0.46808511,0.44000000,0.45360825
14,0.61501050,0.73000000,0.73793103,0.71333333,0.72542373,0.70793825,0.58000000,0.58000000,0.58000000,0.58000000
15,0.63352287,0.63333333,0.58064516,0.96000000,0.72361809,0.73529005,0.52000000,0.51282051,0.80000000,0.62500000
16,0.60591394,0.70333333,0.79047619,0.55333333,0.65098039,0.75213957,0.55000000,0.57575758,0.38000000,0.45783133
17,0.92503965,0.52000000,1.00000000,0.04000000,0.07692308,1.08151579,0.49000000,0.33333333,0.02000000,0.03773585
18,0.69909960,0.58666667,0.86111111,0.20666667,0.33333333,0.86395949,0.53000000,0.71428571,0.10000000,0.17543860
19,0.63683045,0.61333333,0.56488550,0.98666667,0.71844660,0.78406626,0.48000000,0.48863636,0.86000000,0.62318841
20,0.58268523,0.70666667,0.78703704,0.56666667,0.65891473,0.73915404,0.54000000,0.55555556,0.40000000,0.46511628
21,0.60491580,0.68666667,0.85897436,0.44666667,0.58771930,0.73151916,0.53000000,0.56521739,0.26000000,0.35616438
22,0.60096127,0.61000000,0.97142857,0.22666667,0.36756757,0.80558020,0.54000000,0.66666667,0.16000000,0.25806452
23,0.54049855,0.75000000,0.69841270,0.88000000,0.77876106,0.79338723,0.51000000,0.50847458,0.60000000,0.55045872
24,0.58509910,0.72333333,0.81308411,0.58000000,0.67704280,0.74878711,0.51000000,0.51724138,0.30000000,0.37974684
25,0.62724763,0.62666667,0.95238095,0.26666667,0.41666667,0.79013896,0.51000000,0.54545455,0.12000000,0.19672131
26,0.54606980,0.76666667,0.71978022,0.87333333,0.78915663,0.74279767,0.52000000,0.51612903,0.64000000,0.57142857
27,0.53233945,0.72666667,0.65454545,0.96000000,0.77837838,0.80736232,0.55000000,0.53846154,0.70000000,0.60869565
28,0.53119230,0.72333333,0.66666667,0.89333333,0.76353276,0.76823151,0.53000000,0.52542373,0.62000000,0.56880734
29,0.48914835,0.79333333,0.76190476,0.85333333,0.80503145,0.79222083,0.53000000,0.52542373,0.62000000,0.56880734
30,0.49293137,0.75333333,0.68446602,0.94000000,0.79213483,0.88859499,0.48000000,0.48571429,0.68000000,0.56666667
31,0.45174098,0.82666667,0.85507246,0.78666667,0.81944444,0.86100191,0.50000000,0.50000000,0.40000000,0.44444444
32,0.57302058,0.68333333,0.61410788,0.98666667,0.75703325,0.93319052,0.55000000,0.53164557,0.84000000,0.65116279
33,0.59354830,0.58666667,0.93333333,0.18666667,0.31111111,0.83102876,0.52000000,0.62500000,0.10000000,0.17241379
34,0.48760927,0.76666667,0.71052632,0.90000000,0.79411765,0.80808389,0.53000000,0.52631579,0.60000000,0.56074766
35,0.56845498,0.66000000,0.60000000,0.96000000,0.73846154,0.79035127,0.53000000,0.51851852,0.84000000,0.64122137
36,0.54932779,0.69666667,0.62343096,0.99333333,0.76606684,0.99481034,0.49000000,0.49350649,0.76000000,0.59842520
37,0.48301432,0.80333333,0.90990991,0.67333333,0.77394636,0.90981656,0.52000000,0.53571429,0.30000000,0.38461538
38,0.39282724,0.84000000,0.78977273,0.92666667,0.85276074,0.93123281,0.54000000,0.53571429,0.60000000,0.56603774
39,0.47441489,0.78666667,0.77215190,0.81333333,0.79220779,1.03879488,0.46000000,0.46000000,0.46000000,0.46000000
40,0.43436655,0.83666667,0.78212291,0.93333333,0.85106383,0.84876055,0.47000000,0.47368421,0.54000000,0.50467290
41,0.71158284,0.63333333,0.57692308,1.00000000,0.73170732,1.23287380,0.49000000,0.49425287,0.86000000,0.62773723
