epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68847913,0.52333333,0.51254480,0.95333333,0.66666667,0.69758040,0.51000000,0.50574713,0.88000000,0.64233577
2,0.68005383,0.54666667,0.76923077,0.13333333,0.22727273,0.69444954,0.55000000,0.85714286,0.12000000,0.21052632
3,0.66489398,0.63333333,0.64492754,0.59333333,0.61805556,0.68960452,0.53000000,0.53061224,0.52000000,0.52525253
4,0.65749329,0.65666667,0.69421488,0.56000000,0.61992620,0.67903167,0.59000000,0.61538462,0.48000000,0.53932584
5,0.65845746,0.63333333,0.79411765,0.36000000,0.49541284,0.69579226,0.56000000,0.61538462,0.32000000,0.42105263
6,0.64492238,0.66333333,0.71304348,0.54666667,0.61886792,0.67647684,0.63000000,0.66666667,0.52000000,0.58426966
7,0.63537592,0.72333333,0.69142857,0.80666667,0.74461538,0.68227422,0.62000000,0.60344828,0.70000000,0.64814815
8,0.63207173,0.71333333,0.67391304,0.82666667,0.74251497,0.67511338,0.69000000,0.66101695,0.78000000,0.71559633
9,0.63099700,0.68000000,0.81395349,0.46666667,0.59322034,0.67920321,0.55000000,0.58064516,0.36000000,0.44444444
10,0.61319572,0.72000000,0.66836735,0.87333333,0.75722543,0.69064593,0.62000000,0.59375000,0.76000000,0.66666667
11,0.65909320,0.59000000,0.54981550,0.99333333,0.70783848,0.73930925,0.50000000,0.50000000,0.94000000,0.65277778
12,0.61086357,0.72000000,0.65000000,0.95333333,0.77297297,0.70260894,0.54000000,0.52631579,0.80000000,0.63492063
13,0.58983672,0.78333333,0.80575540,0.74666667,0.77508651,0.68440932,0.59000000,0.60975610,0.50000000,0.54945055
14,0.58304614,0.75333333,0.75675676,0.74666667,0.75167785,0.69436049,0.59000000,0.58823529,0.60000000,0.59405941
15,0.58550835,0.72666667,0.65596330,0.95333333,0.77717391,0.72017741,0.55000000,0.53424658,0.78000000,0.63414634
16,0.57025719,0.75666667,0.68965517,0.93333333,0.79320113,0.70726424,0.60000000,0.57352941,0.78000000,0.66101695
17,0.58134604,0.72000000,0.64601770,0.97333333,0.77659574,0.73154795,0.57000000,0.54320988,0.88000000,0.67175573
18,0.54197091,0.79333333,0.76506024,0.84666667,0.80379747,0.70777982,0.62000000,0.60000000,0.72000000,0.65454545
19,0.53713328,0.80333333,0.85271318,0.73333333,0.78853047,0.70601428,0.53000000,0.54054054,0.40000000,0.45977011
20,0.52669591,0.78000000,0.73076923,0.88666667,0.80120482,0.72550511,0.58000000,0.56451613,0.70000000,0.62500000
21,0.51098233,0.84333333,0.82802548,0.86666667,0.84690554,0.72154832,0.53000000,0.53488372,0.46000000,0.49462366
22,0.53373355,0.75333333,0.80158730,0.67333333,0.73188406,0.74487501,0.54000000,0.55000000,0.44000000,0.48888889
23,0.49041677,0.83000000,0.87786260,0.76666667,0.81850534,0.73688245,0.54000000,0.55263158,0.42000000,0.47727273
24,0.51074922,0.78333333,0.71144279,0.95333333,0.81481481,0.77638793,0.54000000,0.52941176,0.72000000,0.61016949
25,0.60452253,0.58333333,0.96296296,0.17333333,0.29378531,0.81037641,0.56000000,0.87500000,0.14000000,0.24137931
26,0.45870876,0.86000000,0.83333333,0.90000000,0.86538462,0.74302733,0.58000000,0.58000000,0.58000000,0.58000000
27,0.45385915,0.85333333,0.80459770,0.93333333,0.86419753,0.73948407,0.57000000,0.56363636,0.62000000,0.59047619
28,0.49782410,0.73000000,0.93670886,0.49333333,0.64628821,0.78942543,0.52000000,0.54545455,0.24000000,0.33333333
29,0.53656477,0.68000000,0.98214286,0.36666667,0.53398058,0.82481813,0.52000000,0.57142857,0.16000000,0.25000000
30,0.62212980,0.57333333,1.00000000,0.14666667,0.25581395,0.90930879,0.54000000,0.66666667,0.16000000,0.25806452
