epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69822687,0.50000000,0.50000000,0.00666667,0.01315789,0.70466077,0.49000000,0.00000000,0.00000000,0.00000000
2,0.69469076,0.49666667,0.33333333,0.00666667,0.01307190,0.70747566,0.49000000,0.00000000,0.00000000,0.00000000
3,0.69215441,0.50000000,0.50000000,0.00666667,0.01315789,0.69769460,0.50000000,0.00000000,0.00000000,0.00000000
4,0.67795545,0.64000000,0.60606061,0.80000000,0.68965517,0.69472897,0.52000000,0.51470588,0.70000000,0.59322034
5,0.68854481,0.50666667,0.58333333,0.04666667,0.08641975,0.71190292,0.50000000,0.50000000,0.06000000,0.10714286
6,0.68174696,0.50666667,0.66666667,0.02666667,0.05128205,0.70466459,0.50000000,0.00000000,0.00000000,0.00000000
7,0.67159748,0.63000000,0.58297872,0.91333333,0.71168831,0.69736165,0.44000000,0.46341463,0.76000000,0.57575758
8,0.66839975,0.59333333,0.60144928,0.55333333,0.57638889,0.70733750,0.46000000,0.45833333,0.44000000,0.44897959
9,0.64851588,0.70666667,0.66315789,0.84000000,0.74117647,0.69766223,0.53000000,0.52238806,0.70000000,0.59829060
10,0.65470564,0.59000000,0.55056180,0.98000000,0.70503597,0.69691956,0.53000000,0.51724138,0.90000000,0.65693431
11,0.65428329,0.54333333,0.93333333,0.09333333,0.16969697,0.71361768,0.47000000,0.28571429,0.04000000,0.07017544
12,0.76168346,0.50333333,0.50167224,1.00000000,0.66815145,0.80967146,0.49000000,0.49494949,0.98000000,0.65771812
13,0.61536294,0.71666667,0.65402844,0.92000000,0.76454294,0.70523530,0.54000000,0.52702703,0.78000000,0.62903226
14,0.60621858,0.72333333,0.65437788,0.94666667,0.77384196,0.71374327,0.55000000,0.53424658,0.78000000,0.63414634
15,0.62530214,0.61333333,0.88636364,0.26000000,0.40206186,0.75477916,0.53000000,0.61538462,0.16000000,0.25396825
16,0.61169875,0.66333333,0.92982456,0.35333333,0.51207729,0.73248792,0.56000000,0.68750000,0.22000000,0.33333333
17,0.69721538,0.56000000,0.53214286,0.99333333,0.69302326,0.81790388,0.48000000,0.48936170,0.92000000,0.63888889
18,0.58820850,0.71000000,0.64383562,0.94000000,0.76422764,0.74551266,0.53000000,0.52000000,0.78000000,0.62400000
19,0.61793238,0.64333333,0.66929134,0.56666667,0.61371841,0.80455959,0.47000000,0.46808511,0.44000000,0.45360825
20,0.70935112,0.56333333,0.53380783,1.00000000,0.69605568,0.85249174,0.51000000,0.50537634,0.94000000,0.65734266
21,0.58626992,0.75333333,0.70879121,0.86000000,0.77710843,0.70657134,0.53000000,0.52380952,0.66000000,0.58407080
22,0.56721383,0.77000000,0.70558376,0.92666667,0.80115274,0.73892957,0.50000000,0.50000000,0.70000000,0.58333333
23,0.57926840,0.74666667,0.67289720,0.96000000,0.79120879,0.73082393,0.54000000,0.52631579,0.80000000,0.63492063
24,0.51827306,0.79666667,0.77639752,0.83333333,0.80385852,0.74159485,0.51000000,0.50943396,0.54000000,0.52427184
25,0.50882751,0.79666667,0.75428571,0.88000000,0.81230769,0.74588680,0.56000000,0.55000000,0.66000000,0.60000000
26,0.71964902,0.56000000,0.53191489,1.00000000,0.69444444,0.93082923,0.47000000,0.48453608,0.94000000,0.63945578
27,0.55113077,0.69000000,0.93846154,0.40666667,0.56744186,0.88077343,0.52000000,0.55555556,0.20000000,0.29411765
28,0.49938914,0.79333333,0.78571429,0.80666667,0.79605263,0.79621655,0.48000000,0.47916667,0.46000000,0.46938776
29,0.49847072,0.81666667,0.73869347,0.98000000,0.84240688,0.77596754,0.54000000,0.52857143,0.74000000,0.61666667
30,0.59522945,0.65666667,0.59362550,0.99333333,0.74314214,0.78518307,0.53000000,0.51724138,0.90000000,0.65693431
31,0.62469363,0.57000000,0.95652174,0.14666667,0.25433526,0.92949146,0.52000000,0.75000000,0.06000000,0.11111111
