epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68530250,0.56333333,0.56209150,0.57333333,0.56765677,0.70607227,0.47000000,0.46938776,0.46000000,0.46464646
2,0.69459796,0.52333333,0.51291513,0.92666667,0.66033254,0.72262335,0.50000000,0.50000000,0.98000000,0.66216216
3,0.68226218,0.57333333,0.54583333,0.87333333,0.67179487,0.71190047,0.49000000,0.49411765,0.84000000,0.62222222
4,0.67341763,0.58000000,0.57894737,0.58666667,0.58278146,0.70641875,0.45000000,0.43902439,0.36000000,0.39560440
5,0.67078191,0.60333333,0.57487923,0.79333333,0.66666667,0.70746732,0.47000000,0.47826087,0.66000000,0.55462185
6,0.67429692,0.58000000,0.54761905,0.92000000,0.68656716,0.71369338,0.48000000,0.48863636,0.86000000,0.62318841
7,0.66516453,0.61000000,0.57399103,0.85333333,0.68632708,0.70830566,0.50000000,0.50000000,0.72000000,0.59016393
8,0.65951633,0.62333333,0.60451977,0.71333333,0.65443425,0.70789427,0.45000000,0.45098039,0.46000000,0.45544554
9,0.66821522,0.59000000,0.55335968,0.93333333,0.69478908,0.71619529,0.48000000,0.48837209,0.84000000,0.61764706
10,0.65459853,0.65000000,0.60663507,0.85333333,0.70914127,0.71005821,0.47000000,0.47826087,0.66000000,0.55462185
11,0.67180032,0.55333333,0.78571429,0.14666667,0.24719101,0.72041303,0.55000000,0.72727273,0.16000000,0.26229508
12,0.64653659,0.65333333,0.67424242,0.59333333,0.63120567,0.70917493,0.43000000,0.41025641,0.32000000,0.35955056
13,0.64154726,0.65000000,0.63975155,0.68666667,0.66237942,0.71131378,0.47000000,0.46938776,0.46000000,0.46464646
14,0.63960516,0.67000000,0.62200957,0.86666667,0.72423398,0.71327114,0.44000000,0.45833333,0.66000000,0.54098361
15,0.64898169,0.61000000,0.77049180,0.31333333,0.44549763,0.71818542,0.55000000,0.60869565,0.28000000,0.38356164
16,0.63664907,0.63000000,0.58297872,0.91333333,0.71168831,0.71706229,0.49000000,0.49367089,0.78000000,0.60465116
17,0.62538242,0.72666667,0.73287671,0.71333333,0.72297297,0.71023077,0.49000000,0.48888889,0.44000000,0.46315789
18,0.65236491,0.58333333,0.54789272,0.95333333,0.69586375,0.74216658,0.49000000,0.49438202,0.88000000,0.63309353
19,0.61690247,0.73666667,0.73509934,0.74000000,0.73754153,0.71063739,0.46000000,0.45833333,0.44000000,0.44897959
20,0.64011180,0.59333333,0.55468750,0.94666667,0.69950739,0.73720646,0.52000000,0.51136364,0.90000000,0.65217391
21,0.61372983,0.65666667,0.60262009,0.92000000,0.72823219,0.72937483,0.49000000,0.49350649,0.76000000,0.59842520
22,0.59742582,0.74000000,0.72222222,0.78000000,0.75000000,0.72101605,0.46000000,0.46153846,0.48000000,0.47058824
23,0.59198040,0.75000000,0.74193548,0.76666667,0.75409836,0.71923780,0.48000000,0.48000000,0.48000000,0.48000000
24,0.59192944,0.73000000,0.67164179,0.90000000,0.76923077,0.72320110,0.45000000,0.46376812,0.64000000,0.53781513
25,0.58593529,0.78000000,0.86206897,0.66666667,0.75187970,0.72502148,0.52000000,0.52941176,0.36000000,0.42857143
26,0.58089966,0.76666667,0.83898305,0.66000000,0.73880597,0.73380005,0.52000000,0.53125000,0.34000000,0.41463415
27,0.61042637,0.62666667,0.57480315,0.97333333,0.72277228,0.76519364,0.50000000,0.50000000,0.84000000,0.62686567
28,0.62830657,0.60666667,0.56153846,0.97333333,0.71219512,0.77110088,0.49000000,0.49411765,0.84000000,0.62222222
29,0.56339002,0.79333333,0.76190476,0.85333333,0.80503145,0.72268248,0.49000000,0.49152542,0.58000000,0.53211009
30,0.66516888,0.58333333,0.54545455,1.00000000,0.70588235,0.83273971,0.50000000,0.50000000,0.94000000,0.65277778
