epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69529057,0.53333333,0.55681818,0.32666667,0.41176471,0.69455314,0.53000000,0.53658537,0.44000000,0.48351648
2,0.69376487,0.54000000,0.70000000,0.14000000,0.23333333,0.69955945,0.52000000,0.55555556,0.20000000,0.29411765
3,0.68300247,0.55666667,0.56115108,0.52000000,0.53979239,0.69146848,0.49000000,0.49180328,0.60000000,0.54054054
4,0.68121856,0.53666667,0.52244898,0.85333333,0.64810127,0.69453412,0.46000000,0.47500000,0.76000000,0.58461538
5,0.67636400,0.58333333,0.55605381,0.82666667,0.66487936,0.69166076,0.48000000,0.48717949,0.76000000,0.59375000
6,0.67509133,0.57666667,0.54852321,0.86666667,0.67183463,0.69291878,0.50000000,0.50000000,0.82000000,0.62121212
7,0.66987652,0.61333333,0.59340659,0.72000000,0.65060241,0.69092441,0.53000000,0.52173913,0.72000000,0.60504202
8,0.67186320,0.58000000,0.72222222,0.26000000,0.38235294,0.69802749,0.50000000,0.50000000,0.24000000,0.32432432
9,0.66720319,0.59666667,0.55598456,0.96000000,0.70415648,0.69859052,0.49000000,0.49425287,0.86000000,0.62773723
10,0.66069794,0.66666667,0.62626263,0.82666667,0.71264368,0.69379431,0.50000000,0.50000000,0.72000000,0.59016393
11,0.65770572,0.63000000,0.67256637,0.50666667,0.57794677,0.69507962,0.52000000,0.52272727,0.46000000,0.48936170
12,0.65354162,0.63666667,0.69523810,0.48666667,0.57254902,0.69709855,0.52000000,0.52272727,0.46000000,0.48936170
13,0.65215588,0.67333333,0.61403509,0.93333333,0.74074074,0.69863409,0.48000000,0.48717949,0.76000000,0.59375000
14,0.64538223,0.69666667,0.66298343,0.80000000,0.72507553,0.69623780,0.52000000,0.51428571,0.72000000,0.60000000
15,0.65418208,0.58666667,0.74074074,0.26666667,0.39215686,0.70603442,0.54000000,0.60000000,0.24000000,0.34285714
16,0.66143548,0.55333333,0.52836879,0.99333333,0.68981481,0.71115363,0.50000000,0.50000000,0.92000000,0.64788732
17,0.63639760,0.72000000,0.65714286,0.92000000,0.76666667,0.70198959,0.50000000,0.50000000,0.74000000,0.59677419
18,0.66130084,0.55333333,0.86363636,0.12666667,0.22093023,0.72097987,0.51000000,0.54545455,0.12000000,0.19672131
19,0.62774503,0.71666667,0.65402844,0.92000000,0.76454294,0.70179826,0.51000000,0.50724638,0.70000000,0.58823529
20,0.65586561,0.57333333,0.53985507,0.99333333,0.69953052,0.72681212,0.51000000,0.50537634,0.94000000,0.65734266
21,0.62055230,0.68666667,0.73333333,0.58666667,0.65185185,0.70461220,0.52000000,0.52272727,0.46000000,0.48936170
22,0.61460990,0.70666667,0.64351852,0.92666667,0.75956284,0.70542967,0.52000000,0.51388889,0.74000000,0.60655738
23,0.61422110,0.67666667,0.75728155,0.52000000,0.61660079,0.70933837,0.54000000,0.55000000,0.44000000,0.48888889
24,0.60182428,0.75666667,0.71270718,0.86000000,0.77945619,0.70556366,0.51000000,0.50819672,0.62000000,0.55855856
25,0.60597003,0.68333333,0.77227723,0.52000000,0.62151394,0.71328998,0.56000000,0.57894737,0.44000000,0.50000000
26,0.61007142,0.68666667,0.85897436,0.44666667,0.58771930,0.71820557,0.53000000,0.55172414,0.32000000,0.40506329
27,0.59051752,0.77333333,0.77333333,0.77333333,0.77333333,0.70402449,0.53000000,0.52941176,0.54000000,0.53465347
28,0.59811401,0.69666667,0.62660944,0.97333333,0.76240209,0.71858960,0.52000000,0.51250000,0.82000000,0.63076923
29,0.57917249,0.77666667,0.77483444,0.78000000,0.77740864,0.70671958,0.53000000,0.52941176,0.54000000,0.53465347
30,0.58099180,0.75000000,0.68292683,0.93333333,0.78873239,0.70822906,0.54000000,0.52857143,0.74000000,0.61666667
31,0.59567523,0.66666667,0.60162602,0.98666667,0.74747475,0.72535014,0.51000000,0.50588235,0.86000000,0.63703704
32,0.58833992,0.68666667,0.86842105,0.44000000,0.58407080,0.71982431,0.57000000,0.62068966,0.36000000,0.45569620
33,0.56354737,0.78000000,0.71875000,0.92000000,0.80701754,0.70997119,0.52000000,0.51470588,0.70000000,0.59322034
34,0.57461303,0.70666667,0.63362069,0.98000000,0.76963351,0.73956698,0.51000000,0.50617284,0.82000000,0.62595420
35,0.56210983,0.75000000,0.87128713,0.58666667,0.70119522,0.72780764,0.53000000,0.54285714,0.38000000,0.44705882
36,0.54325187,0.79666667,0.76331361,0.86000000,0.80877743,0.72002786,0.53000000,0.52459016,0.64000000,0.57657658
