epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69176108,0.50333333,0.50185874,0.90000000,0.64439141,0.70407814,0.47000000,0.48351648,0.88000000,0.62411348
2,0.68486464,0.56666667,0.54385965,0.82666667,0.65608466,0.70225424,0.46000000,0.47142857,0.66000000,0.55000000
3,0.68185854,0.55666667,0.53744493,0.81333333,0.64721485,0.70622557,0.40000000,0.43055556,0.62000000,0.50819672
4,0.67724603,0.59333333,0.55982906,0.87333333,0.68229167,0.70627499,0.42000000,0.44444444,0.64000000,0.52459016
5,0.67357260,0.61666667,0.58064516,0.84000000,0.68664850,0.70530182,0.43000000,0.44615385,0.58000000,0.50434783
6,0.66944963,0.68000000,0.66071429,0.74000000,0.69811321,0.70634842,0.43000000,0.44067797,0.52000000,0.47706422
7,0.66671699,0.66333333,0.62962963,0.79333333,0.70206490,0.70759350,0.40000000,0.41935484,0.52000000,0.46428571
8,0.66427958,0.70000000,0.67647059,0.76666667,0.71875000,0.70387840,0.45000000,0.45614035,0.52000000,0.48598131
9,0.66219205,0.61000000,0.56903766,0.90666667,0.69922879,0.70866418,0.43000000,0.45454545,0.70000000,0.55118110
10,0.65874130,0.64666667,0.81428571,0.38000000,0.51818182,0.71123779,0.49000000,0.48275862,0.28000000,0.35443038
11,0.65333617,0.70000000,0.78301887,0.55333333,0.64843750,0.70903695,0.48000000,0.47619048,0.40000000,0.43478261
12,0.64604944,0.70333333,0.67039106,0.80000000,0.72948328,0.71077728,0.46000000,0.46551724,0.54000000,0.50000000
13,0.64306098,0.69666667,0.65445026,0.83333333,0.73313783,0.71052474,0.49000000,0.49206349,0.62000000,0.54867257
14,0.63861668,0.71666667,0.81553398,0.56000000,0.66403162,0.71515936,0.50000000,0.50000000,0.38000000,0.43181818
15,0.63488644,0.72333333,0.75968992,0.65333333,0.70250896,0.71597368,0.47000000,0.46808511,0.44000000,0.45360825
16,0.65422237,0.55333333,0.94444444,0.11333333,0.20238095,0.73672038,0.48000000,0.40000000,0.08000000,0.13333333
17,0.62674391,0.70666667,0.64351852,0.92666667,0.75956284,0.71893311,0.45000000,0.46575342,0.68000000,0.55284553
18,0.62310845,0.72666667,0.66831683,0.90000000,0.76704545,0.71281356,0.47000000,0.47692308,0.62000000,0.53913043
19,0.60965323,0.73666667,0.70760234,0.80666667,0.75389408,0.72487622,0.47000000,0.47457627,0.56000000,0.51376147
20,0.60547459,0.76333333,0.72316384,0.85333333,0.78287462,0.71993315,0.45000000,0.45762712,0.54000000,0.49541284
21,0.59843636,0.74333333,0.71856287,0.80000000,0.75709779,0.73210913,0.48000000,0.48333333,0.58000000,0.52727273
22,0.59687948,0.74000000,0.67821782,0.91333333,0.77840909,0.72439688,0.50000000,0.50000000,0.70000000,0.58333333
23,0.58617008,0.75000000,0.82051282,0.64000000,0.71910112,0.72501546,0.54000000,0.55000000,0.44000000,0.48888889
