epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70088685,0.50000000,0.50000000,0.99333333,0.66517857,0.70534873,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68007642,0.53666667,0.56043956,0.34000000,0.42323651,0.69206434,0.50000000,0.50000000,0.42000000,0.45652174
3,0.66898066,0.58666667,0.59154930,0.56000000,0.57534247,0.69256574,0.53000000,0.52727273,0.58000000,0.55238095
4,0.67136687,0.55000000,0.62295082,0.25333333,0.36018957,0.69788957,0.48000000,0.46666667,0.28000000,0.35000000
5,0.66511607,0.56666667,0.63888889,0.30666667,0.41441441,0.69678771,0.52000000,0.52941176,0.36000000,0.42857143
6,0.69285715,0.50333333,0.50167224,1.00000000,0.66815145,0.72741836,0.50000000,0.50000000,1.00000000,0.66666667
7,0.65065855,0.64666667,0.64285714,0.66000000,0.65131579,0.69477236,0.53000000,0.52459016,0.64000000,0.57657658
8,0.65905756,0.58000000,0.54545455,0.96000000,0.69565217,0.70815992,0.50000000,0.50000000,0.90000000,0.64285714
9,0.64290273,0.68666667,0.71875000,0.61333333,0.66187050,0.69458616,0.52000000,0.52173913,0.48000000,0.50000000
10,0.64023888,0.63666667,0.60512821,0.78666667,0.68405797,0.69513154,0.51000000,0.50704225,0.72000000,0.59504132
11,0.63611913,0.65333333,0.60952381,0.85333333,0.71111111,0.70211649,0.46000000,0.47222222,0.68000000,0.55737705
12,0.63430005,0.66000000,0.79268293,0.43333333,0.56034483,0.70372283,0.55000000,0.57575758,0.38000000,0.45783133
13,0.62416941,0.67000000,0.63783784,0.78666667,0.70447761,0.70144850,0.48000000,0.48529412,0.66000000,0.55932203
14,0.61985481,0.70666667,0.70945946,0.70000000,0.70469799,0.70442611,0.51000000,0.50943396,0.54000000,0.52427184
15,0.64155751,0.60666667,0.56250000,0.96000000,0.70935961,0.73168641,0.47000000,0.48275862,0.84000000,0.61313869
16,0.62534493,0.65000000,0.90909091,0.33333333,0.48780488,0.71155339,0.58000000,0.66666667,0.32000000,0.43243243
17,0.67670822,0.55000000,1.00000000,0.10000000,0.18181818,0.76105309,0.49000000,0.42857143,0.06000000,0.10526316
18,0.65775329,0.56333333,1.00000000,0.12666667,0.22485207,0.74604189,0.54000000,0.66666667,0.16000000,0.25806452
19,0.62179619,0.65666667,0.59670782,0.96666667,0.73791349,0.73943239,0.49000000,0.49411765,0.84000000,0.62222222
20,0.59464693,0.75333333,0.74358974,0.77333333,0.75816993,0.71467119,0.52000000,0.51666667,0.62000000,0.56363636
21,0.61928171,0.64666667,0.94000000,0.31333333,0.47000000,0.73215681,0.55000000,0.63157895,0.24000000,0.34782609
22,0.64546883,0.57000000,1.00000000,0.14000000,0.24561404,0.76168966,0.50000000,0.50000000,0.12000000,0.19354839
23,0.57964617,0.73666667,0.71515152,0.78666667,0.74920635,0.72289675,0.49000000,0.49090909,0.54000000,0.51428571
24,0.58479017,0.79333333,0.91509434,0.64666667,0.75781250,0.71174759,0.56000000,0.57894737,0.44000000,0.50000000
25,0.57644629,0.77333333,0.91000000,0.60666667,0.72800000,0.72050887,0.57000000,0.59459459,0.44000000,0.50574713
26,0.57128721,0.75000000,0.88659794,0.57333333,0.69635628,0.71760476,0.55000000,0.57142857,0.40000000,0.47058824
27,0.55446768,0.80000000,0.78481013,0.82666667,0.80519481,0.71597946,0.58000000,0.57142857,0.64000000,0.60377358
28,0.55767202,0.74666667,0.67619048,0.94666667,0.78888889,0.72276878,0.48000000,0.48648649,0.72000000,0.58064516
29,0.55718631,0.74333333,0.67298578,0.94666667,0.78670360,0.73449892,0.47000000,0.48000000,0.72000000,0.57600000
30,0.57852006,0.67000000,0.60493827,0.98000000,0.74809160,0.75313109,0.51000000,0.50617284,0.82000000,0.62595420
31,0.54957634,0.77333333,0.87962963,0.63333333,0.73643411,0.73942780,0.55000000,0.57575758,0.38000000,0.45783133
32,0.54005468,0.76666667,0.70202020,0.92666667,0.79885057,0.73183548,0.49000000,0.49315068,0.72000000,0.58536585
33,0.53388947,0.81666667,0.90598291,0.70666667,0.79400749,0.72756463,0.52000000,0.52777778,0.38000000,0.44186047
34,0.55255157,0.70000000,0.62820513,0.98000000,0.76562500,0.76370865,0.50000000,0.50000000,0.80000000,0.61538462
35,0.50794101,0.81333333,0.77325581,0.88666667,0.82608696,0.73458600,0.48000000,0.48333333,0.58000000,0.52727273
36,0.60200900,0.62000000,0.56923077,0.98666667,0.72195122,0.82317835,0.50000000,0.50000000,0.86000000,0.63235294
37,0.52228665,0.76333333,0.97590361,0.54000000,0.69527897,0.76290041,0.53000000,0.55555556,0.30000000,0.38961039
38,0.66374362,0.57000000,0.53790614,0.99333333,0.69789227,0.85630220,0.50000000,0.50000000,0.94000000,0.65277778
